REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-39,50+,P_EDUARDO ARTES_18-39,P_FRANCO ALDO PARISI_18-39,P_GABRIEL BORIC_18-39,P_JOSE ANTONIO KAST_18-39,P_MARCO ENRIQUEZ-OMINAMI_18-39,P_NULO BLANCO_18-39,P_SEBASTIAN SICHEL_18-39,P_YASNA PROVOSTE_18-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,RETIRO,ESCUELA MANUEL MONTT,10M,1,15,19,46,7,24,0,1,20,1,1,10,33,3,39,25,19,3,133,52,-1,-1,1,13,15,54,7,3,22,18,44,86,0.0098926269242433,0.18842099926533912,0.19305777166642474,0.3625365109134742,0.04712320905205271,0.015668298744705635,0.09426131088309238,0.08903927255066794,0.005115413806319188,0.06253183098242422,0.13327663422548405,0.39015662519398026,0.07342355988173609,0.018016649131914027,0.19756386588503655,0.11991542089310551,0.006619583338717431,0.055099361090485764,0.07449544831148538,0.4299831784950633,0.05253628781002217,0.026711895141632455,0.20188760756554117,0.15266663824705215,0.0,2.0,4.0,-8.0,0.0,-2.0,2.0,2.0
DEL MAULE,RETIRO,ESCUELA MANUEL MONTT,11M,1,19,9,55,6,29,4,1,21,5,2,13,32,1,51,32,11,3,145,52,-1,-1,1,14,17,59,8,3,24,19,47,97,0.0098926269242433,0.18842099926533912,0.19305777166642474,0.3625365109134742,0.04712320905205271,0.015668298744705635,0.09426131088309238,0.08903927255066794,0.005115413806319188,0.06253183098242422,0.13327663422548405,0.39015662519398026,0.07342355988173609,0.018016649131914027,0.19756386588503655,0.11991542089310551,0.006619583338717431,0.055099361090485764,0.07449544831148538,0.4299831784950633,0.05253628781002217,0.026711895141632455,0.20188760756554117,0.15266663824705215,0.0,5.0,-8.0,-4.0,-2.0,2.0,5.0,2.0
DEL MAULE,RETIRO,ESCUELA MANUEL MONTT,12M,1,12,12,59,7,25,1,1,18,2,1,4,39,2,40,37,11,2,136,52,-1,-1,1,13,16,55,7,3,23,18,44,90,0.0098926269242433,0.18842099926533912,0.19305777166642474,0.3625365109134742,0.04712320905205271,0.015668298744705635,0.09426131088309238,0.08903927255066794,0.005115413806319188,0.06253183098242422,0.13327663422548405,0.39015662519398026,0.07342355988173609,0.018016649131914027,0.19756386588503655,0.11991542089310551,0.006619583338717431,0.055099361090485764,0.07449544831148538,0.4299831784950633,0.05253628781002217,0.026711895141632455,0.20188760756554117,0.15266663824705215,0.0,-1.0,-4.0,4.0,0.0,-1.0,2.0,0.0
DEL MAULE,RETIRO,ESCUELA MANUEL MONTT,1M,0,12,13,42,15,16,1,2,20,3,3,18,7,4,26,36,20,7,121,52,-1,-1,1,10,13,50,6,3,21,17,28,89,0.0098926269242433,0.18842099926533912,0.19305777166642474,0.3625365109134742,0.04712320905205271,0.015668298744705635,0.09426131088309238,0.08903927255066794,0.005115413806319188,0.06253183098242422,0.13327663422548405,0.39015662519398026,0.07342355988173609,0.018016649131914027,0.19756386588503655,0.11991542089310551,0.006619583338717431,0.055099361090485764,0.07449544831148538,0.4299831784950633,0.05253628781002217,0.026711895141632455,0.20188760756554117,0.15266663824705215,-1.0,2.0,0.0,-8.0,9.0,0.0,-5.0,3.0
DEL MAULE,RETIRO,ESCUELA MANUEL MONTT,23V,0,20,24,55,6,28,2,2,19,4,0,30,37,27,24,18,14,6,156,52,-1,-1,1,18,21,62,8,3,24,19,67,62,0.0098926269242433,0.18842099926533912,0.19305777166642474,0.3625365109134742,0.04712320905205271,0.015668298744705635,0.09426131088309238,0.08903927255066794,0.005115413806319188,0.06253183098242422,0.13327663422548405,0.39015662519398026,0.07342355988173609,0.018016649131914027,0.19756386588503655,0.11991542089310551,0.006619583338717431,0.055099361090485764,0.07449544831148538,0.4299831784950633,0.05253628781002217,0.026711895141632455,0.20188760756554117,0.15266663824705215,-1.0,2.0,3.0,-7.0,-2.0,1.0,4.0,0.0
DEL MAULE,RETIRO,ESCUELA MANUEL MONTT,24V,1,19,22,78,9,25,2,0,22,2,2,36,44,33,28,12,17,6,178,52,-1,-1,1,21,25,70,10,3,27,21,82,63,0.0098926269242433,0.18842099926533912,0.19305777166642474,0.3625365109134742,0.04712320905205271,0.015668298744705635,0.09426131088309238,0.08903927255066794,0.005115413806319188,0.06253183098242422,0.13327663422548405,0.39015662519398026,0.07342355988173609,0.018016649131914027,0.19756386588503655,0.11991542089310551,0.006619583338717431,0.055099361090485764,0.07449544831148538,0.4299831784950633,0.05253628781002217,0.026711895141632455,0.20188760756554117,0.15266663824705215,0.0,-2.0,-3.0,8.0,-1.0,-1.0,-2.0,1.0
DEL MAULE,RETIRO,ESCUELA MANUEL MONTT,2M,2,10,18,53,9,28,1,1,18,2,3,15,2,8,30,51,23,8,140,52,-1,-1,1,10,13,59,7,4,26,20,20,112,0.0098926269242433,0.18842099926533912,0.19305777166642474,0.3625365109134742,0.04712320905205271,0.015668298744705635,0.09426131088309238,0.08903927255066794,0.005115413806319188,0.06253183098242422,0.13327663422548405,0.39015662519398026,0.07342355988173609,0.018016649131914027,0.19756386588503655,0.11991542089310551,0.006619583338717431,0.055099361090485764,0.07449544831148538,0.4299831784950633,0.05253628781002217,0.026711895141632455,0.20188760756554117,0.15266663824705215,1.0,0.0,5.0,-6.0,2.0,-2.0,2.0,-2.0
DEL MAULE,RETIRO,ESCUELA MANUEL MONTT,3M,1,5,16,59,5,19,0,0,23,0,2,10,5,6,39,35,28,3,128,52,-1,-1,1,9,12,54,7,3,24,18,17,105,0.0098926269242433,0.18842099926533912,0.19305777166642474,0.3625365109134742,0.04712320905205271,0.015668298744705635,0.09426131088309238,0.08903927255066794,0.005115413806319188,0.06253183098242422,0.13327663422548405,0.39015662519398026,0.07342355988173609,0.018016649131914027,0.19756386588503655,0.11991542089310551,0.006619583338717431,0.055099361090485764,0.07449544831148538,0.4299831784950633,0.05253628781002217,0.026711895141632455,0.20188760756554117,0.15266663824705215,0.0,-4.0,4.0,5.0,-2.0,-3.0,-5.0,5.0
DEL MAULE,RETIRO,ESCUELA MANUEL MONTT,4M,0,5,9,46,7,21,2,2,17,4,1,10,3,15,35,27,15,3,109,52,-1,-1,1,8,11,45,6,3,20,15,14,80,0.0098926269242433,0.18842099926533912,0.19305777166642474,0.3625365109134742,0.04712320905205271,0.015668298744705635,0.09426131088309238,0.08903927255066794,0.005115413806319188,0.06253183098242422,0.13327663422548405,0.39015662519398026,0.07342355988173609,0.018016649131914027,0.19756386588503655,0.11991542089310551,0.006619583338717431,0.055099361090485764,0.07449544831148538,0.4299831784950633,0.05253628781002217,0.026711895141632455,0.20188760756554117,0.15266663824705215,-1.0,-3.0,-2.0,1.0,1.0,1.0,1.0,2.0
DEL MAULE,RETIRO,ESCUELA MANUEL MONTT,5M,0,7,5,63,7,29,3,0,16,3,3,11,3,28,28,28,23,6,130,52,-1,-1,1,10,13,54,7,3,24,18,17,85,0.0098926269242433,0.18842099926533912,0.19305777166642474,0.3625365109134742,0.04712320905205271,0.015668298744705635,0.09426131088309238,0.08903927255066794,0.005115413806319188,0.06253183098242422,0.13327663422548405,0.39015662519398026,0.07342355988173609,0.018016649131914027,0.19756386588503655,0.11991542089310551,0.006619583338717431,0.055099361090485764,0.07449544831148538,0.4299831784950633,0.05253628781002217,0.026711895141632455,0.20188760756554117,0.15266663824705215,-1.0,-3.0,-8.0,9.0,0.0,0.0,5.0,-2.0
