REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,60+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50-59,P_FRANCO ALDO PARISI_50-59,P_GABRIEL BORIC_50-59,P_JOSE ANTONIO KAST_50-59,P_MARCO ENRIQUEZ-OMINAMI_50-59,P_NULO BLANCO_50-59,P_SEBASTIAN SICHEL_50-59,P_YASNA PROVOSTE_50-59,P_EDUARDO ARTES_60+,P_FRANCO ALDO PARISI_60+,P_GABRIEL BORIC_60+,P_JOSE ANTONIO KAST_60+,P_MARCO ENRIQUEZ-OMINAMI_60+,P_NULO BLANCO_60+,P_SEBASTIAN SICHEL_60+,P_YASNA PROVOSTE_60+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ATACAMA,COPIAPO,CENTRO CULTURAL,153,4,60,24,17,8,10,1,0,6,1,3,1,117,5,2,1,2,0,130,350,-1,-1,2,48,29,27,5,1,6,12,4,3,0.027032598985925207,0.359566723051088,0.2904046056296118,0.14233284882987354,0.049310554067769866,0.009759294082911225,0.06182113551493802,0.059772239837882386,0.01435379408192649,0.3843585809187588,0.225262720829846,0.20601615557354588,0.038448919445104486,0.008625357550158282,0.04006857451345153,0.08286589708720847,0.014648314201977177,0.15248694339136626,0.21586378346793605,0.26152734555220436,0.06254942309775732,0.011773337908064774,0.11370850191111434,0.1674423504695796,0.007134641265513897,0.23277170991689003,0.23012016682910302,0.14119430049446094,0.07761162401642942,0.0025462269967467836,0.06179741963025277,0.24682391085060315,0.005604774292254763,0.05972445193572036,0.12057069497888027,0.3074435396981564,0.050724057302887614,0.013940667507267357,0.11143548566489017,0.33055632861994344,2.0,12.0,-5.0,-10.0,3.0,0.0,4.0,-6.0
DE ATACAMA,COPIAPO,CENTRO CULTURAL,154,4,55,29,14,5,1,0,2,12,2,3,7,101,3,6,1,1,0,122,350,-1,-1,2,44,28,24,5,1,6,12,10,2,0.027032598985925207,0.359566723051088,0.2904046056296118,0.14233284882987354,0.049310554067769866,0.009759294082911225,0.06182113551493802,0.059772239837882386,0.01435379408192649,0.3843585809187588,0.225262720829846,0.20601615557354588,0.038448919445104486,0.008625357550158282,0.04006857451345153,0.08286589708720847,0.014648314201977177,0.15248694339136626,0.21586378346793605,0.26152734555220436,0.06254942309775732,0.011773337908064774,0.11370850191111434,0.1674423504695796,0.007134641265513897,0.23277170991689003,0.23012016682910302,0.14119430049446094,0.07761162401642942,0.0025462269967467836,0.06179741963025277,0.24682391085060315,0.005604774292254763,0.05972445193572036,0.12057069497888027,0.3074435396981564,0.050724057302887614,0.013940667507267357,0.11143548566489017,0.33055632861994344,2.0,11.0,1.0,-10.0,0.0,1.0,-5.0,0.0
DE ATACAMA,COPIAPO,CENTRO CULTURAL,155,3,46,29,15,6,3,0,0,9,0,3,6,94,3,3,1,1,0,111,350,-1,-1,2,41,25,22,5,1,5,10,9,2,0.027032598985925207,0.359566723051088,0.2904046056296118,0.14233284882987354,0.049310554067769866,0.009759294082911225,0.06182113551493802,0.059772239837882386,0.01435379408192649,0.3843585809187588,0.225262720829846,0.20601615557354588,0.038448919445104486,0.008625357550158282,0.04006857451345153,0.08286589708720847,0.014648314201977177,0.15248694339136626,0.21586378346793605,0.26152734555220436,0.06254942309775732,0.011773337908064774,0.11370850191111434,0.1674423504695796,0.007134641265513897,0.23277170991689003,0.23012016682910302,0.14119430049446094,0.07761162401642942,0.0025462269967467836,0.06179741963025277,0.24682391085060315,0.005604774292254763,0.05972445193572036,0.12057069497888027,0.3074435396981564,0.050724057302887614,0.013940667507267357,0.11143548566489017,0.33055632861994344,1.0,5.0,4.0,-7.0,1.0,-1.0,-2.0,-1.0
DE ATACAMA,COPIAPO,CENTRO CULTURAL,156,2,43,30,26,4,5,0,0,10,0,7,15,81,3,9,3,1,0,120,350,-1,-1,2,42,28,23,6,1,6,12,22,4,0.027032598985925207,0.359566723051088,0.2904046056296118,0.14233284882987354,0.049310554067769866,0.009759294082911225,0.06182113551493802,0.059772239837882386,0.01435379408192649,0.3843585809187588,0.225262720829846,0.20601615557354588,0.038448919445104486,0.008625357550158282,0.04006857451345153,0.08286589708720847,0.014648314201977177,0.15248694339136626,0.21586378346793605,0.26152734555220436,0.06254942309775732,0.011773337908064774,0.11370850191111434,0.1674423504695796,0.007134641265513897,0.23277170991689003,0.23012016682910302,0.14119430049446094,0.07761162401642942,0.0025462269967467836,0.06179741963025277,0.24682391085060315,0.005604774292254763,0.05972445193572036,0.12057069497888027,0.3074435396981564,0.050724057302887614,0.013940667507267357,0.11143548566489017,0.33055632861994344,0.0,1.0,2.0,3.0,-2.0,-1.0,-1.0,-2.0
DE ATACAMA,COPIAPO,CENTRO CULTURAL,66V,1,19,34,28,4,13,0,0,31,0,1,10,22,7,34,31,21,4,130,350,-1,-1,1,25,24,30,7,1,11,31,11,56,0.027032598985925207,0.359566723051088,0.2904046056296118,0.14233284882987354,0.049310554067769866,0.009759294082911225,0.06182113551493802,0.059772239837882386,0.01435379408192649,0.3843585809187588,0.225262720829846,0.20601615557354588,0.038448919445104486,0.008625357550158282,0.04006857451345153,0.08286589708720847,0.014648314201977177,0.15248694339136626,0.21586378346793605,0.26152734555220436,0.06254942309775732,0.011773337908064774,0.11370850191111434,0.1674423504695796,0.007134641265513897,0.23277170991689003,0.23012016682910302,0.14119430049446094,0.07761162401642942,0.0025462269967467836,0.06179741963025277,0.24682391085060315,0.005604774292254763,0.05972445193572036,0.12057069497888027,0.3074435396981564,0.050724057302887614,0.013940667507267357,0.11143548566489017,0.33055632861994344,0.0,-6.0,10.0,-2.0,-3.0,-1.0,2.0,0.0
DE ATACAMA,COPIAPO,CENTRO CULTURAL,67V,1,20,29,20,6,10,1,1,27,2,2,12,21,8,42,20,9,1,115,350,-1,-1,1,26,24,24,7,1,8,24,14,30,0.027032598985925207,0.359566723051088,0.2904046056296118,0.14233284882987354,0.049310554067769866,0.009759294082911225,0.06182113551493802,0.059772239837882386,0.01435379408192649,0.3843585809187588,0.225262720829846,0.20601615557354588,0.038448919445104486,0.008625357550158282,0.04006857451345153,0.08286589708720847,0.014648314201977177,0.15248694339136626,0.21586378346793605,0.26152734555220436,0.06254942309775732,0.011773337908064774,0.11370850191111434,0.1674423504695796,0.007134641265513897,0.23277170991689003,0.23012016682910302,0.14119430049446094,0.07761162401642942,0.0025462269967467836,0.06179741963025277,0.24682391085060315,0.005604774292254763,0.05972445193572036,0.12057069497888027,0.3074435396981564,0.050724057302887614,0.013940667507267357,0.11143548566489017,0.33055632861994344,0.0,-6.0,5.0,-4.0,-1.0,1.0,2.0,3.0
DE ATACAMA,COPIAPO,CENTRO CULTURAL,68V,0,20,30,16,11,13,0,0,26,0,5,8,24,7,37,22,11,2,116,350,-1,-1,1,26,23,24,7,1,9,25,13,35,0.027032598985925207,0.359566723051088,0.2904046056296118,0.14233284882987354,0.049310554067769866,0.009759294082911225,0.06182113551493802,0.059772239837882386,0.01435379408192649,0.3843585809187588,0.225262720829846,0.20601615557354588,0.038448919445104486,0.008625357550158282,0.04006857451345153,0.08286589708720847,0.014648314201977177,0.15248694339136626,0.21586378346793605,0.26152734555220436,0.06254942309775732,0.011773337908064774,0.11370850191111434,0.1674423504695796,0.007134641265513897,0.23277170991689003,0.23012016682910302,0.14119430049446094,0.07761162401642942,0.0025462269967467836,0.06179741963025277,0.24682391085060315,0.005604774292254763,0.05972445193572036,0.12057069497888027,0.3074435396981564,0.050724057302887614,0.013940667507267357,0.11143548566489017,0.33055632861994344,-1.0,-6.0,7.0,-8.0,4.0,-1.0,4.0,1.0
DE ATACAMA,COPIAPO,CENTRO CULTURAL,69V,3,19,21,24,10,8,1,0,39,1,1,8,30,3,32,35,14,2,125,350,-1,-1,1,26,24,28,7,1,10,28,9,51,0.027032598985925207,0.359566723051088,0.2904046056296118,0.14233284882987354,0.049310554067769866,0.009759294082911225,0.06182113551493802,0.059772239837882386,0.01435379408192649,0.3843585809187588,0.225262720829846,0.20601615557354588,0.038448919445104486,0.008625357550158282,0.04006857451345153,0.08286589708720847,0.014648314201977177,0.15248694339136626,0.21586378346793605,0.26152734555220436,0.06254942309775732,0.011773337908064774,0.11370850191111434,0.1674423504695796,0.007134641265513897,0.23277170991689003,0.23012016682910302,0.14119430049446094,0.07761162401642942,0.0025462269967467836,0.06179741963025277,0.24682391085060315,0.005604774292254763,0.05972445193572036,0.12057069497888027,0.3074435396981564,0.050724057302887614,0.013940667507267357,0.11143548566489017,0.33055632861994344,2.0,-7.0,-3.0,-4.0,3.0,0.0,-2.0,11.0
DE ATACAMA,COPIAPO,CENTRO CULTURAL,70V,1,24,36,25,10,10,0,1,27,1,2,16,42,4,33,23,12,1,134,350,-1,-1,2,33,28,28,7,1,9,26,18,36,0.027032598985925207,0.359566723051088,0.2904046056296118,0.14233284882987354,0.049310554067769866,0.009759294082911225,0.06182113551493802,0.059772239837882386,0.01435379408192649,0.3843585809187588,0.225262720829846,0.20601615557354588,0.038448919445104486,0.008625357550158282,0.04006857451345153,0.08286589708720847,0.014648314201977177,0.15248694339136626,0.21586378346793605,0.26152734555220436,0.06254942309775732,0.011773337908064774,0.11370850191111434,0.1674423504695796,0.007134641265513897,0.23277170991689003,0.23012016682910302,0.14119430049446094,0.07761162401642942,0.0025462269967467836,0.06179741963025277,0.24682391085060315,0.005604774292254763,0.05972445193572036,0.12057069497888027,0.3074435396981564,0.050724057302887614,0.013940667507267357,0.11143548566489017,0.33055632861994344,-1.0,-9.0,8.0,-3.0,3.0,0.0,1.0,1.0
DE ATACAMA,COPIAPO,CENTRO CULTURAL,71V,3,30,30,20,7,7,1,0,26,1,1,15,37,4,26,26,8,7,124,350,-1,-1,1,29,25,27,7,1,9,25,16,41,0.027032598985925207,0.359566723051088,0.2904046056296118,0.14233284882987354,0.049310554067769866,0.009759294082911225,0.06182113551493802,0.059772239837882386,0.01435379408192649,0.3843585809187588,0.225262720829846,0.20601615557354588,0.038448919445104486,0.008625357550158282,0.04006857451345153,0.08286589708720847,0.014648314201977177,0.15248694339136626,0.21586378346793605,0.26152734555220436,0.06254942309775732,0.011773337908064774,0.11370850191111434,0.1674423504695796,0.007134641265513897,0.23277170991689003,0.23012016682910302,0.14119430049446094,0.07761162401642942,0.0025462269967467836,0.06179741963025277,0.24682391085060315,0.005604774292254763,0.05972445193572036,0.12057069497888027,0.3074435396981564,0.050724057302887614,0.013940667507267357,0.11143548566489017,0.33055632861994344,2.0,1.0,5.0,-7.0,0.0,0.0,-2.0,1.0
