REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-39,50+,P_EDUARDO ARTES_18-39,P_FRANCO ALDO PARISI_18-39,P_GABRIEL BORIC_18-39,P_JOSE ANTONIO KAST_18-39,P_MARCO ENRIQUEZ-OMINAMI_18-39,P_NULO BLANCO_18-39,P_SEBASTIAN SICHEL_18-39,P_YASNA PROVOSTE_18-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,FRESIA,GIMNASIO EXTERIOR CARLOS IBANEZ DEL CAMPO,10M,1,12,20,49,7,14,1,3,20,4,1,44,1,0,35,35,8,3,127,37,-1,-1,1,11,19,49,5,3,11,28,46,81,0.01686071468389974,0.11963625200622358,0.20654527862622168,0.35077366672648674,0.03872814119069198,0.015127692269654987,0.07320326653141433,0.1791249879654069,1.0382021575718457e-07,0.13717310856012457,0.19249861763109152,0.41698081695227524,0.021814700078536614,0.012890546831328988,0.08136175024534954,0.13728035588107781,0.004843476233630757,0.062253193075913676,0.11444648088667662,0.4073329546699071,0.0438502162647637,0.03486896394078895,0.09423854633837311,0.23816616858994602,0.0,1.0,1.0,0.0,2.0,1.0,3.0,-8.0
DE LOS LAGOS,FRESIA,GIMNASIO EXTERIOR CARLOS IBANEZ DEL CAMPO,1M,0,5,9,37,3,11,3,1,24,4,1,10,5,1,17,35,20,4,93,37,-1,-1,1,7,12,37,4,3,8,21,16,76,0.01686071468389974,0.11963625200622358,0.20654527862622168,0.35077366672648674,0.03872814119069198,0.015127692269654987,0.07320326653141433,0.1791249879654069,1.0382021575718457e-07,0.13717310856012457,0.19249861763109152,0.41698081695227524,0.021814700078536614,0.012890546831328988,0.08136175024534954,0.13728035588107781,0.004843476233630757,0.062253193075913676,0.11444648088667662,0.4073329546699071,0.0438502162647637,0.03486896394078895,0.09423854633837311,0.23816616858994602,-1.0,-2.0,-3.0,0.0,-1.0,1.0,3.0,3.0
DE LOS LAGOS,FRESIA,GIMNASIO EXTERIOR CARLOS IBANEZ DEL CAMPO,2M,1,4,9,50,7,12,0,0,25,0,4,9,1,1,20,40,25,8,108,37,-1,-1,1,7,14,43,5,3,10,25,14,93,0.01686071468389974,0.11963625200622358,0.20654527862622168,0.35077366672648674,0.03872814119069198,0.015127692269654987,0.07320326653141433,0.1791249879654069,1.0382021575718457e-07,0.13717310856012457,0.19249861763109152,0.41698081695227524,0.021814700078536614,0.012890546831328988,0.08136175024534954,0.13728035588107781,0.004843476233630757,0.062253193075913676,0.11444648088667662,0.4073329546699071,0.0438502162647637,0.03486896394078895,0.09423854633837311,0.23816616858994602,0.0,-3.0,-5.0,7.0,2.0,-3.0,2.0,0.0
DE LOS LAGOS,FRESIA,GIMNASIO EXTERIOR CARLOS IBANEZ DEL CAMPO,3M,1,8,14,41,3,14,1,1,25,2,5,7,1,1,32,35,18,9,108,37,-1,-1,1,7,14,43,5,3,10,25,13,94,0.01686071468389974,0.11963625200622358,0.20654527862622168,0.35077366672648674,0.03872814119069198,0.015127692269654987,0.07320326653141433,0.1791249879654069,1.0382021575718457e-07,0.13717310856012457,0.19249861763109152,0.41698081695227524,0.021814700078536614,0.012890546831328988,0.08136175024534954,0.13728035588107781,0.004843476233630757,0.062253193075913676,0.11444648088667662,0.4073329546699071,0.0438502162647637,0.03486896394078895,0.09423854633837311,0.23816616858994602,0.0,1.0,0.0,-2.0,-2.0,-1.0,4.0,0.0
DE LOS LAGOS,FRESIA,GIMNASIO EXTERIOR CARLOS IBANEZ DEL CAMPO,4M,0,9,17,56,1,14,1,0,18,1,4,9,4,24,32,21,16,6,116,37,-1,-1,1,10,17,47,4,3,10,24,17,75,0.01686071468389974,0.11963625200622358,0.20654527862622168,0.35077366672648674,0.03872814119069198,0.015127692269654987,0.07320326653141433,0.1791249879654069,1.0382021575718457e-07,0.13717310856012457,0.19249861763109152,0.41698081695227524,0.021814700078536614,0.012890546831328988,0.08136175024534954,0.13728035588107781,0.004843476233630757,0.062253193075913676,0.11444648088667662,0.4073329546699071,0.0438502162647637,0.03486896394078895,0.09423854633837311,0.23816616858994602,-1.0,-1.0,0.0,9.0,-3.0,-2.0,4.0,-6.0
DE LOS LAGOS,FRESIA,GIMNASIO EXTERIOR CARLOS IBANEZ DEL CAMPO,5M,0,10,15,42,2,9,0,0,23,0,1,6,3,23,29,21,11,6,101,37,-1,-1,0,9,14,41,4,3,9,21,10,67,0.01686071468389974,0.11963625200622358,0.20654527862622168,0.35077366672648674,0.03872814119069198,0.015127692269654987,0.07320326653141433,0.1791249879654069,1.0382021575718457e-07,0.13717310856012457,0.19249861763109152,0.41698081695227524,0.021814700078536614,0.012890546831328988,0.08136175024534954,0.13728035588107781,0.004843476233630757,0.062253193075913676,0.11444648088667662,0.4073329546699071,0.0438502162647637,0.03486896394078895,0.09423854633837311,0.23816616858994602,0.0,1.0,1.0,1.0,-2.0,-3.0,0.0,2.0
DE LOS LAGOS,FRESIA,GIMNASIO EXTERIOR CARLOS IBANEZ DEL CAMPO,6M,0,11,11,55,6,8,0,3,20,3,2,5,29,5,29,28,14,2,114,37,-1,-1,1,10,17,44,5,3,10,24,36,73,0.01686071468389974,0.11963625200622358,0.20654527862622168,0.35077366672648674,0.03872814119069198,0.015127692269654987,0.07320326653141433,0.1791249879654069,1.0382021575718457e-07,0.13717310856012457,0.19249861763109152,0.41698081695227524,0.021814700078536614,0.012890546831328988,0.08136175024534954,0.13728035588107781,0.004843476233630757,0.062253193075913676,0.11444648088667662,0.4073329546699071,0.0438502162647637,0.03486896394078895,0.09423854633837311,0.23816616858994602,-1.0,1.0,-6.0,11.0,1.0,0.0,-2.0,-4.0
DE LOS LAGOS,FRESIA,GIMNASIO EXTERIOR CARLOS IBANEZ DEL CAMPO,7M,0,11,23,52,5,9,4,6,39,10,0,7,31,3,48,37,14,7,149,37,-1,-1,1,12,21,59,6,4,13,33,38,106,0.01686071468389974,0.11963625200622358,0.20654527862622168,0.35077366672648674,0.03872814119069198,0.015127692269654987,0.07320326653141433,0.1791249879654069,1.0382021575718457e-07,0.13717310856012457,0.19249861763109152,0.41698081695227524,0.021814700078536614,0.012890546831328988,0.08136175024534954,0.13728035588107781,0.004843476233630757,0.062253193075913676,0.11444648088667662,0.4073329546699071,0.0438502162647637,0.03486896394078895,0.09423854633837311,0.23816616858994602,-1.0,-1.0,2.0,-7.0,-1.0,6.0,-4.0,6.0
DE LOS LAGOS,FRESIA,GIMNASIO EXTERIOR CARLOS IBANEZ DEL CAMPO,8M,0,15,23,47,6,10,5,0,19,5,1,5,33,7,27,35,12,5,125,37,-1,-1,1,11,18,49,5,3,11,27,39,79,0.01686071468389974,0.11963625200622358,0.20654527862622168,0.35077366672648674,0.03872814119069198,0.015127692269654987,0.07320326653141433,0.1791249879654069,1.0382021575718457e-07,0.13717310856012457,0.19249861763109152,0.41698081695227524,0.021814700078536614,0.012890546831328988,0.08136175024534954,0.13728035588107781,0.004843476233630757,0.062253193075913676,0.11444648088667662,0.4073329546699071,0.0438502162647637,0.03486896394078895,0.09423854633837311,0.23816616858994602,-1.0,4.0,5.0,-2.0,1.0,2.0,-1.0,-8.0
DE LOS LAGOS,FRESIA,GIMNASIO EXTERIOR CARLOS IBANEZ DEL CAMPO,9M,1,15,18,65,7,8,2,0,26,2,0,21,27,5,37,28,17,6,142,37,-1,-1,1,12,21,55,6,4,12,31,48,88,0.01686071468389974,0.11963625200622358,0.20654527862622168,0.35077366672648674,0.03872814119069198,0.015127692269654987,0.07320326653141433,0.1791249879654069,1.0382021575718457e-07,0.13717310856012457,0.19249861763109152,0.41698081695227524,0.021814700078536614,0.012890546831328988,0.08136175024534954,0.13728035588107781,0.004843476233630757,0.062253193075913676,0.11444648088667662,0.4073329546699071,0.0438502162647637,0.03486896394078895,0.09423854633837311,0.23816616858994602,0.0,3.0,-3.0,10.0,1.0,-2.0,-4.0,-5.0
