REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,60+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50-59,P_FRANCO ALDO PARISI_50-59,P_GABRIEL BORIC_50-59,P_JOSE ANTONIO KAST_50-59,P_MARCO ENRIQUEZ-OMINAMI_50-59,P_NULO BLANCO_50-59,P_SEBASTIAN SICHEL_50-59,P_YASNA PROVOSTE_50-59,P_EDUARDO ARTES_60+,P_FRANCO ALDO PARISI_60+,P_GABRIEL BORIC_60+,P_JOSE ANTONIO KAST_60+,P_MARCO ENRIQUEZ-OMINAMI_60+,P_NULO BLANCO_60+,P_SEBASTIAN SICHEL_60+,P_YASNA PROVOSTE_60+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS RIOS,RIO BUENO,ESCUELA BASICA PATRICIO LYNCH,10V,3,16,20,54,5,15,3,1,15,4,2,13,16,36,24,28,13,0,132,85,-1,-1,1,15,21,53,6,2,14,20,15,41,0.02941418754410137,0.2404865664238314,0.23624061003886662,0.3449633935824537,0.02001672756938454,0.017374644358151198,0.06401946706966115,0.04748440341355018,0.005566691012694016,0.1859630986833025,0.24842234003023925,0.36729481969944616,0.0351983060711819,0.006513263933669203,0.07897031335883682,0.07207116721063025,0.006067765866102555,0.11096229335409265,0.16241445431656468,0.4134003049119842,0.05221771818338933,0.006055960001951287,0.14802457165986024,0.10085693170605502,0.004322238352665513,0.12334964244854663,0.1425522461613182,0.33794460378140767,0.04815261861436086,0.035733338712731384,0.11594118215237743,0.19200412977659229,0.010312738357733204,0.034724641771420456,0.0905309294802217,0.46951540124163427,0.04773839208554979,0.017689705264125076,0.1001521930911467,0.22933599870816881,2.0,1.0,-1.0,1.0,-1.0,2.0,1.0,-5.0
DE LOS RIOS,RIO BUENO,ESCUELA BASICA PATRICIO LYNCH,11V,2,10,18,64,3,19,1,0,20,1,4,19,10,38,23,26,13,4,137,85,-1,-1,2,16,21,55,6,2,15,20,23,43,0.02941418754410137,0.2404865664238314,0.23624061003886662,0.3449633935824537,0.02001672756938454,0.017374644358151198,0.06401946706966115,0.04748440341355018,0.005566691012694016,0.1859630986833025,0.24842234003023925,0.36729481969944616,0.0351983060711819,0.006513263933669203,0.07897031335883682,0.07207116721063025,0.006067765866102555,0.11096229335409265,0.16241445431656468,0.4134003049119842,0.05221771818338933,0.006055960001951287,0.14802457165986024,0.10085693170605502,0.004322238352665513,0.12334964244854663,0.1425522461613182,0.33794460378140767,0.04815261861436086,0.035733338712731384,0.11594118215237743,0.19200412977659229,0.010312738357733204,0.034724641771420456,0.0905309294802217,0.46951540124163427,0.04773839208554979,0.017689705264125076,0.1001521930911467,0.22933599870816881,0.0,-6.0,-3.0,9.0,-3.0,-1.0,4.0,0.0
DE LOS RIOS,RIO BUENO,ESCUELA BASICA PATRICIO LYNCH,12V,2,17,24,42,3,12,0,0,17,0,4,18,17,13,27,26,9,3,117,85,-1,-1,1,15,19,46,5,2,12,17,22,38,0.02941418754410137,0.2404865664238314,0.23624061003886662,0.3449633935824537,0.02001672756938454,0.017374644358151198,0.06401946706966115,0.04748440341355018,0.005566691012694016,0.1859630986833025,0.24842234003023925,0.36729481969944616,0.0351983060711819,0.006513263933669203,0.07897031335883682,0.07207116721063025,0.006067765866102555,0.11096229335409265,0.16241445431656468,0.4134003049119842,0.05221771818338933,0.006055960001951287,0.14802457165986024,0.10085693170605502,0.004322238352665513,0.12334964244854663,0.1425522461613182,0.33794460378140767,0.04815261861436086,0.035733338712731384,0.11594118215237743,0.19200412977659229,0.010312738357733204,0.034724641771420456,0.0905309294802217,0.46951540124163427,0.04773839208554979,0.017689705264125076,0.1001521930911467,0.22933599870816881,1.0,2.0,5.0,-4.0,-2.0,-2.0,0.0,0.0
DE LOS RIOS,RIO BUENO,ESCUELA BASICA PATRICIO LYNCH,13V,0,14,23,52,5,14,4,3,25,7,4,12,42,4,33,22,16,6,140,85,-1,-1,1,18,24,55,6,2,13,21,16,44,0.02941418754410137,0.2404865664238314,0.23624061003886662,0.3449633935824537,0.02001672756938454,0.017374644358151198,0.06401946706966115,0.04748440341355018,0.005566691012694016,0.1859630986833025,0.24842234003023925,0.36729481969944616,0.0351983060711819,0.006513263933669203,0.07897031335883682,0.07207116721063025,0.006067765866102555,0.11096229335409265,0.16241445431656468,0.4134003049119842,0.05221771818338933,0.006055960001951287,0.14802457165986024,0.10085693170605502,0.004322238352665513,0.12334964244854663,0.1425522461613182,0.33794460378140767,0.04815261861436086,0.035733338712731384,0.11594118215237743,0.19200412977659229,0.010312738357733204,0.034724641771420456,0.0905309294802217,0.46951540124163427,0.04773839208554979,0.017689705264125076,0.1001521930911467,0.22933599870816881,-1.0,-4.0,-1.0,-3.0,-1.0,5.0,1.0,4.0
DE LOS RIOS,RIO BUENO,ESCUELA BASICA PATRICIO LYNCH,14V,1,18,19,34,2,15,0,3,30,3,3,12,30,14,19,25,12,7,122,85,-1,-1,1,15,20,49,5,2,12,18,15,44,0.02941418754410137,0.2404865664238314,0.23624061003886662,0.3449633935824537,0.02001672756938454,0.017374644358151198,0.06401946706966115,0.04748440341355018,0.005566691012694016,0.1859630986833025,0.24842234003023925,0.36729481969944616,0.0351983060711819,0.006513263933669203,0.07897031335883682,0.07207116721063025,0.006067765866102555,0.11096229335409265,0.16241445431656468,0.4134003049119842,0.05221771818338933,0.006055960001951287,0.14802457165986024,0.10085693170605502,0.004322238352665513,0.12334964244854663,0.1425522461613182,0.33794460378140767,0.04815261861436086,0.035733338712731384,0.11594118215237743,0.19200412977659229,0.010312738357733204,0.034724641771420456,0.0905309294802217,0.46951540124163427,0.04773839208554979,0.017689705264125076,0.1001521930911467,0.22933599870816881,0.0,3.0,-1.0,-15.0,-3.0,1.0,3.0,12.0
DE LOS RIOS,RIO BUENO,ESCUELA BASICA PATRICIO LYNCH,15V,1,12,26,45,6,16,1,0,15,1,1,21,40,5,22,22,7,4,122,85,-1,-1,2,17,22,47,5,2,11,16,22,33,0.02941418754410137,0.2404865664238314,0.23624061003886662,0.3449633935824537,0.02001672756938454,0.017374644358151198,0.06401946706966115,0.04748440341355018,0.005566691012694016,0.1859630986833025,0.24842234003023925,0.36729481969944616,0.0351983060711819,0.006513263933669203,0.07897031335883682,0.07207116721063025,0.006067765866102555,0.11096229335409265,0.16241445431656468,0.4134003049119842,0.05221771818338933,0.006055960001951287,0.14802457165986024,0.10085693170605502,0.004322238352665513,0.12334964244854663,0.1425522461613182,0.33794460378140767,0.04815261861436086,0.035733338712731384,0.11594118215237743,0.19200412977659229,0.010312738357733204,0.034724641771420456,0.0905309294802217,0.46951540124163427,0.04773839208554979,0.017689705264125076,0.1001521930911467,0.22933599870816881,-1.0,-5.0,4.0,-2.0,1.0,-1.0,5.0,-1.0
DE LOS RIOS,RIO BUENO,ESCUELA BASICA PATRICIO LYNCH,16V,1,19,15,55,11,12,3,4,17,7,6,13,41,8,22,25,19,3,137,85,-1,-1,1,18,23,54,6,2,13,20,19,47,0.02941418754410137,0.2404865664238314,0.23624061003886662,0.3449633935824537,0.02001672756938454,0.017374644358151198,0.06401946706966115,0.04748440341355018,0.005566691012694016,0.1859630986833025,0.24842234003023925,0.36729481969944616,0.0351983060711819,0.006513263933669203,0.07897031335883682,0.07207116721063025,0.006067765866102555,0.11096229335409265,0.16241445431656468,0.4134003049119842,0.05221771818338933,0.006055960001951287,0.14802457165986024,0.10085693170605502,0.004322238352665513,0.12334964244854663,0.1425522461613182,0.33794460378140767,0.04815261861436086,0.035733338712731384,0.11594118215237743,0.19200412977659229,0.010312738357733204,0.034724641771420456,0.0905309294802217,0.46951540124163427,0.04773839208554979,0.017689705264125076,0.1001521930911467,0.22933599870816881,0.0,1.0,-8.0,1.0,5.0,5.0,-1.0,-3.0
DE LOS RIOS,RIO BUENO,ESCUELA BASICA PATRICIO LYNCH,17V,1,23,22,48,5,11,0,2,20,2,5,10,46,5,27,27,11,1,132,85,-1,-1,1,18,23,52,5,2,12,19,15,39,0.02941418754410137,0.2404865664238314,0.23624061003886662,0.3449633935824537,0.02001672756938454,0.017374644358151198,0.06401946706966115,0.04748440341355018,0.005566691012694016,0.1859630986833025,0.24842234003023925,0.36729481969944616,0.0351983060711819,0.006513263933669203,0.07897031335883682,0.07207116721063025,0.006067765866102555,0.11096229335409265,0.16241445431656468,0.4134003049119842,0.05221771818338933,0.006055960001951287,0.14802457165986024,0.10085693170605502,0.004322238352665513,0.12334964244854663,0.1425522461613182,0.33794460378140767,0.04815261861436086,0.035733338712731384,0.11594118215237743,0.19200412977659229,0.010312738357733204,0.034724641771420456,0.0905309294802217,0.46951540124163427,0.04773839208554979,0.017689705264125076,0.1001521930911467,0.22933599870816881,0.0,5.0,-1.0,-4.0,0.0,0.0,-1.0,1.0
DE LOS RIOS,RIO BUENO,ESCUELA BASICA PATRICIO LYNCH,1V,1,7,13,33,1,4,0,0,14,0,3,18,5,4,8,10,13,12,73,85,-1,-1,1,9,11,30,3,1,7,11,21,35,0.02941418754410137,0.2404865664238314,0.23624061003886662,0.3449633935824537,0.02001672756938454,0.017374644358151198,0.06401946706966115,0.04748440341355018,0.005566691012694016,0.1859630986833025,0.24842234003023925,0.36729481969944616,0.0351983060711819,0.006513263933669203,0.07897031335883682,0.07207116721063025,0.006067765866102555,0.11096229335409265,0.16241445431656468,0.4134003049119842,0.05221771818338933,0.006055960001951287,0.14802457165986024,0.10085693170605502,0.004322238352665513,0.12334964244854663,0.1425522461613182,0.33794460378140767,0.04815261861436086,0.035733338712731384,0.11594118215237743,0.19200412977659229,0.010312738357733204,0.034724641771420456,0.0905309294802217,0.46951540124163427,0.04773839208554979,0.017689705264125076,0.1001521930911467,0.22933599870816881,0.0,-2.0,2.0,3.0,-2.0,-1.0,-3.0,3.0
DE LOS RIOS,RIO BUENO,ESCUELA BASICA PATRICIO LYNCH,2V,2,6,14,27,5,5,2,0,16,2,3,13,3,2,12,17,18,9,77,85,-1,-1,1,8,11,32,3,1,7,14,16,44,0.02941418754410137,0.2404865664238314,0.23624061003886662,0.3449633935824537,0.02001672756938454,0.017374644358151198,0.06401946706966115,0.04748440341355018,0.005566691012694016,0.1859630986833025,0.24842234003023925,0.36729481969944616,0.0351983060711819,0.006513263933669203,0.07897031335883682,0.07207116721063025,0.006067765866102555,0.11096229335409265,0.16241445431656468,0.4134003049119842,0.05221771818338933,0.006055960001951287,0.14802457165986024,0.10085693170605502,0.004322238352665513,0.12334964244854663,0.1425522461613182,0.33794460378140767,0.04815261861436086,0.035733338712731384,0.11594118215237743,0.19200412977659229,0.010312738357733204,0.034724641771420456,0.0905309294802217,0.46951540124163427,0.04773839208554979,0.017689705264125076,0.1001521930911467,0.22933599870816881,1.0,-2.0,3.0,-5.0,2.0,1.0,-2.0,2.0
