REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,MAULLIN,ESCUELA ENCARNACION OLIVARES,10M,0,11,14,34,4,6,0,0,22,0,0,9,16,2,24,27,11,2,91,38,-1,-1,1,8,13,38,3,2,9,17,27,64,0.010838446575903661,0.19667009734088856,0.23381421323859414,0.34295763804035934,0.04112157378833636,0.022889330164998,0.06701968955087265,0.0846890113000473,0.008048249080159603,0.04801123934986894,0.1072084420484686,0.4435275420028076,0.03339156546726627,0.014808926975122693,0.11436571378660773,0.23063832128969874,-1.0,3.0,1.0,-4.0,1.0,-2.0,-3.0,5.0
DE LOS LAGOS,MAULLIN,ESCUELA ENCARNACION OLIVARES,11M,2,19,14,31,2,11,0,1,12,1,2,11,23,4,25,16,10,1,92,38,-1,-1,1,10,15,37,3,2,9,15,40,52,0.010838446575903661,0.19667009734088856,0.23381421323859414,0.34295763804035934,0.04112157378833636,0.022889330164998,0.06701968955087265,0.0846890113000473,0.008048249080159603,0.04801123934986894,0.1072084420484686,0.4435275420028076,0.03339156546726627,0.014808926975122693,0.11436571378660773,0.23063832128969874,1.0,9.0,-1.0,-6.0,-1.0,-1.0,2.0,-3.0
DE LOS LAGOS,MAULLIN,ESCUELA ENCARNACION OLIVARES,12M,3,12,27,39,9,7,0,1,20,1,2,6,25,32,30,17,4,2,118,38,-1,-1,1,15,21,46,5,2,10,18,65,53,0.010838446575903661,0.19667009734088856,0.23381421323859414,0.34295763804035934,0.04112157378833636,0.022889330164998,0.06701968955087265,0.0846890113000473,0.008048249080159603,0.04801123934986894,0.1072084420484686,0.4435275420028076,0.03339156546726627,0.014808926975122693,0.11436571378660773,0.23063832128969874,2.0,-3.0,6.0,-7.0,4.0,-1.0,-3.0,2.0
DE LOS LAGOS,MAULLIN,ESCUELA ENCARNACION OLIVARES,13M,1,18,18,55,3,13,3,1,19,4,2,18,16,52,28,9,6,0,131,38,-1,-1,1,20,25,49,5,3,11,17,88,43,0.010838446575903661,0.19667009734088856,0.23381421323859414,0.34295763804035934,0.04112157378833636,0.022889330164998,0.06701968955087265,0.0846890113000473,0.008048249080159603,0.04801123934986894,0.1072084420484686,0.4435275420028076,0.03339156546726627,0.014808926975122693,0.11436571378660773,0.23063832128969874,0.0,-2.0,-7.0,6.0,-2.0,1.0,2.0,2.0
DE LOS LAGOS,MAULLIN,ESCUELA ENCARNACION OLIVARES,14M,0,10,24,41,4,11,2,1,20,3,4,7,25,48,16,9,2,2,113,38,-1,-1,1,18,23,42,4,2,9,14,84,29,0.010838446575903661,0.19667009734088856,0.23381421323859414,0.34295763804035934,0.04112157378833636,0.022889330164998,0.06701968955087265,0.0846890113000473,0.008048249080159603,0.04801123934986894,0.1072084420484686,0.4435275420028076,0.03339156546726627,0.014808926975122693,0.11436571378660773,0.23063832128969874,-1.0,-8.0,1.0,-1.0,0.0,1.0,2.0,6.0
DE LOS LAGOS,MAULLIN,ESCUELA ENCARNACION OLIVARES,15M,0,11,22,40,7,9,1,2,19,3,1,6,44,20,22,8,9,1,111,38,-1,-1,1,16,21,42,4,2,10,15,71,40,0.010838446575903661,0.19667009734088856,0.23381421323859414,0.34295763804035934,0.04112157378833636,0.022889330164998,0.06701968955087265,0.0846890113000473,0.008048249080159603,0.04801123934986894,0.1072084420484686,0.4435275420028076,0.03339156546726627,0.014808926975122693,0.11436571378660773,0.23063832128969874,-1.0,-5.0,1.0,-2.0,3.0,1.0,-1.0,4.0
DE LOS LAGOS,MAULLIN,ESCUELA ENCARNACION OLIVARES,16M,2,17,28,36,0,15,0,1,18,1,1,11,62,15,11,5,11,1,117,38,-1,-1,1,19,24,43,5,2,9,14,89,28,0.010838446575903661,0.19667009734088856,0.23381421323859414,0.34295763804035934,0.04112157378833636,0.022889330164998,0.06701968955087265,0.0846890113000473,0.008048249080159603,0.04801123934986894,0.1072084420484686,0.4435275420028076,0.03339156546726627,0.014808926975122693,0.11436571378660773,0.23063832128969874,1.0,-2.0,4.0,-7.0,-5.0,-1.0,6.0,4.0
DE LOS LAGOS,MAULLIN,ESCUELA ENCARNACION OLIVARES,1M,2,2,6,33,0,9,0,0,10,0,2,7,0,1,10,25,10,7,62,38,-1,-1,1,4,8,26,2,1,7,13,10,52,0.010838446575903661,0.19667009734088856,0.23381421323859414,0.34295763804035934,0.04112157378833636,0.022889330164998,0.06701968955087265,0.0846890113000473,0.008048249080159603,0.04801123934986894,0.1072084420484686,0.4435275420028076,0.03339156546726627,0.014808926975122693,0.11436571378660773,0.23063832128969874,1.0,-2.0,-2.0,7.0,-2.0,-1.0,2.0,-3.0
DE LOS LAGOS,MAULLIN,ESCUELA ENCARNACION OLIVARES,21,2,17,25,28,2,3,0,0,5,0,2,23,41,7,6,2,1,0,82,38,-1,-1,1,15,18,29,3,2,6,8,73,9,0.010838446575903661,0.19667009734088856,0.23381421323859414,0.34295763804035934,0.04112157378833636,0.022889330164998,0.06701968955087265,0.0846890113000473,0.008048249080159603,0.04801123934986894,0.1072084420484686,0.4435275420028076,0.03339156546726627,0.014808926975122693,0.11436571378660773,0.23063832128969874,1.0,2.0,7.0,-1.0,-1.0,-2.0,-3.0,-3.0
DE LOS LAGOS,MAULLIN,ESCUELA ENCARNACION OLIVARES,22,1,19,11,24,6,2,1,0,3,1,0,54,6,2,3,1,0,1,67,38,-1,-1,1,12,15,23,3,2,5,6,62,5,0.010838446575903661,0.19667009734088856,0.23381421323859414,0.34295763804035934,0.04112157378833636,0.022889330164998,0.06701968955087265,0.0846890113000473,0.008048249080159603,0.04801123934986894,0.1072084420484686,0.4435275420028076,0.03339156546726627,0.014808926975122693,0.11436571378660773,0.23063832128969874,0.0,7.0,-4.0,1.0,3.0,-1.0,-3.0,-3.0
DE LOS LAGOS,MAULLIN,ESCUELA ENCARNACION OLIVARES,24,3,7,15,19,3,4,1,1,5,2,5,14,12,7,8,9,1,2,58,38,-1,-1,1,8,11,22,2,1,5,8,38,20,0.010838446575903661,0.19667009734088856,0.23381421323859414,0.34295763804035934,0.04112157378833636,0.022889330164998,0.06701968955087265,0.0846890113000473,0.008048249080159603,0.04801123934986894,0.1072084420484686,0.4435275420028076,0.03339156546726627,0.014808926975122693,0.11436571378660773,0.23063832128969874,2.0,-1.0,4.0,-3.0,1.0,1.0,-1.0,-3.0
DE LOS LAGOS,MAULLIN,ESCUELA ENCARNACION OLIVARES,2M,0,1,8,22,1,6,0,0,9,0,0,3,2,2,12,15,10,3,47,38,-1,-1,0,3,6,20,2,1,5,10,7,40,0.010838446575903661,0.19667009734088856,0.23381421323859414,0.34295763804035934,0.04112157378833636,0.022889330164998,0.06701968955087265,0.0846890113000473,0.008048249080159603,0.04801123934986894,0.1072084420484686,0.4435275420028076,0.03339156546726627,0.014808926975122693,0.11436571378660773,0.23063832128969874,0.0,-2.0,2.0,2.0,-1.0,-1.0,1.0,-1.0
DE LOS LAGOS,MAULLIN,ESCUELA ENCARNACION OLIVARES,3M,0,7,10,24,2,6,1,0,7,1,0,9,2,2,14,17,13,0,57,38,-1,-1,0,5,8,24,2,1,6,11,13,44,0.010838446575903661,0.19667009734088856,0.23381421323859414,0.34295763804035934,0.04112157378833636,0.022889330164998,0.06701968955087265,0.0846890113000473,0.008048249080159603,0.04801123934986894,0.1072084420484686,0.4435275420028076,0.03339156546726627,0.014808926975122693,0.11436571378660773,0.23063832128969874,0.0,2.0,2.0,0.0,0.0,0.0,0.0,-4.0
DE LOS LAGOS,MAULLIN,ESCUELA ENCARNACION OLIVARES,4M,0,5,10,31,3,7,0,1,11,1,3,10,3,4,17,23,5,3,68,38,-1,-1,1,6,10,28,2,1,7,13,20,48,0.010838446575903661,0.19667009734088856,0.23381421323859414,0.34295763804035934,0.04112157378833636,0.022889330164998,0.06701968955087265,0.0846890113000473,0.008048249080159603,0.04801123934986894,0.1072084420484686,0.4435275420028076,0.03339156546726627,0.014808926975122693,0.11436571378660773,0.23063832128969874,-1.0,-1.0,0.0,3.0,1.0,0.0,0.0,-2.0
DE LOS LAGOS,MAULLIN,ESCUELA ENCARNACION OLIVARES,5M,0,5,12,30,3,11,0,0,18,0,4,5,4,1,30,22,8,5,79,38,-1,-1,1,6,10,34,3,1,8,16,14,65,0.010838446575903661,0.19667009734088856,0.23381421323859414,0.34295763804035934,0.04112157378833636,0.022889330164998,0.06701968955087265,0.0846890113000473,0.008048249080159603,0.04801123934986894,0.1072084420484686,0.4435275420028076,0.03339156546726627,0.014808926975122693,0.11436571378660773,0.23063832128969874,-1.0,-1.0,2.0,-4.0,0.0,-1.0,3.0,2.0
