REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,10V,0,17,43,45,4,17,2,1,25,3,4,25,50,25,19,14,12,4,154,21,-1,-1,1,12,33,44,6,3,27,28,104,49,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,-1.0,5.0,10.0,1.0,-2.0,0.0,-10.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,11V,1,7,31,46,4,21,3,0,29,3,5,21,38,30,18,16,9,5,142,21,-1,-1,1,11,30,40,6,3,25,26,94,48,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,0.0,-4.0,1.0,6.0,-2.0,0.0,-4.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,1V,1,5,23,32,6,19,1,2,31,3,4,12,4,17,32,26,13,12,120,21,-1,-1,1,8,19,30,5,2,25,30,37,83,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,0.0,-3.0,4.0,2.0,1.0,1.0,-6.0,1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,2V,0,9,14,31,6,15,3,1,39,4,4,6,16,16,37,14,17,8,118,21,-1,-1,1,8,19,30,5,2,24,29,42,76,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,-1.0,1.0,-5.0,1.0,1.0,2.0,-9.0,10.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,3V,2,13,21,43,5,28,2,1,37,3,4,6,58,5,22,29,24,4,152,21,-1,-1,1,11,28,40,6,3,29,34,73,79,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,1.0,2.0,-7.0,3.0,-1.0,0.0,-1.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,4V,0,13,31,33,9,35,0,0,31,0,3,40,25,6,30,26,14,7,152,21,-1,-1,1,11,28,41,6,3,29,33,74,77,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,-1.0,2.0,3.0,-8.0,3.0,-3.0,6.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,5V,0,21,18,32,5,22,5,0,29,5,6,37,20,4,29,24,12,1,132,21,-1,-1,1,10,25,35,5,2,25,29,67,66,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,-1.0,11.0,-7.0,-3.0,0.0,3.0,-3.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,6V,2,8,18,24,5,25,0,0,30,0,1,26,4,6,30,22,18,5,112,21,-1,-1,1,8,18,28,4,2,23,28,37,75,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,1.0,0.0,0.0,-4.0,1.0,-2.0,2.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,7V,1,10,35,47,6,34,4,0,22,4,6,53,10,27,37,14,11,0,159,21,-1,-1,1,13,33,44,6,3,28,31,96,62,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,0.0,-3.0,2.0,3.0,0.0,1.0,6.0,-9.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LOLOL,ESCUELA GALVARINO VALENZUELA MORAGA,8V,1,10,35,43,10,33,1,2,30,3,8,37,7,65,21,14,10,3,165,21,-1,-1,1,13,36,48,7,3,28,29,117,48,0.0007528543643190262,0.0890095181304708,0.26905209166760796,0.32057795790344074,0.03881900304383167,0.01844950188193026,0.14036139587072963,0.12297767713766991,0.011258546923076195,0.061420413267096234,0.10417570241561364,0.21502975886008371,0.040502052874937654,0.01926303216346169,0.23668901327156197,0.3116614802241688,0.0,-3.0,-1.0,-5.0,3.0,0.0,5.0,1.0
