REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,22V,1,11,11,62,11,9,0,2,17,2,1,40,5,54,7,12,5,0,124,61,-1,-1,1,18,18,48,8,2,10,19,41,24,0.017700985747253015,0.27259573160761486,0.19777831283264097,0.34932617058486376,0.05897840383535947,0.0031754246165941625,0.06105456029722511,0.03939041047844875,0.013483056145356661,0.1571820428191052,0.13221401361447113,0.40278040849355773,0.04369159254516721,0.020398072835389334,0.08968922650290716,0.14056158704404575,0.00032544708169776615,0.0969609732016261,0.11204478699448227,0.4181979630023651,0.0789872509268107,0.01395436395103993,0.08737265462606926,0.19215656021590885,0.015693346670989775,0.02779891368096972,0.12841273920662885,0.3797783258035451,0.048617505933231324,0.025168270353696967,0.11776244802193288,0.2567684503290053,0.0,-7.0,-7.0,14.0,3.0,0.0,-1.0,-2.0
DE LA ARAUCANIA,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,23V,0,18,20,49,16,13,0,3,25,3,4,51,9,40,21,14,2,3,144,61,-1,-1,2,21,22,55,9,2,12,21,55,40,0.017700985747253015,0.27259573160761486,0.19777831283264097,0.34932617058486376,0.05897840383535947,0.0031754246165941625,0.06105456029722511,0.03939041047844875,0.013483056145356661,0.1571820428191052,0.13221401361447113,0.40278040849355773,0.04369159254516721,0.020398072835389334,0.08968922650290716,0.14056158704404575,0.00032544708169776615,0.0969609732016261,0.11204478699448227,0.4181979630023651,0.0789872509268107,0.01395436395103993,0.08737265462606926,0.19215656021590885,0.015693346670989775,0.02779891368096972,0.12841273920662885,0.3797783258035451,0.048617505933231324,0.025168270353696967,0.11776244802193288,0.2567684503290053,-2.0,-3.0,-2.0,-6.0,7.0,1.0,1.0,4.0
DE LA ARAUCANIA,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,24V,0,15,32,56,4,17,0,0,26,0,2,36,35,30,23,12,6,6,150,61,-1,-1,2,20,22,58,8,2,14,24,38,47,0.017700985747253015,0.27259573160761486,0.19777831283264097,0.34932617058486376,0.05897840383535947,0.0031754246165941625,0.06105456029722511,0.03939041047844875,0.013483056145356661,0.1571820428191052,0.13221401361447113,0.40278040849355773,0.04369159254516721,0.020398072835389334,0.08968922650290716,0.14056158704404575,0.00032544708169776615,0.0969609732016261,0.11204478699448227,0.4181979630023651,0.0789872509268107,0.01395436395103993,0.08737265462606926,0.19215656021590885,0.015693346670989775,0.02779891368096972,0.12841273920662885,0.3797783258035451,0.048617505933231324,0.025168270353696967,0.11776244802193288,0.2567684503290053,-2.0,-5.0,10.0,-2.0,-4.0,-2.0,3.0,2.0
DE LA ARAUCANIA,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,25V,1,15,22,64,8,3,1,1,27,2,4,21,41,30,23,11,10,2,142,61,-1,-1,2,17,20,55,8,3,13,24,25,46,0.017700985747253015,0.27259573160761486,0.19777831283264097,0.34932617058486376,0.05897840383535947,0.0031754246165941625,0.06105456029722511,0.03939041047844875,0.013483056145356661,0.1571820428191052,0.13221401361447113,0.40278040849355773,0.04369159254516721,0.020398072835389334,0.08968922650290716,0.14056158704404575,0.00032544708169776615,0.0969609732016261,0.11204478699448227,0.4181979630023651,0.0789872509268107,0.01395436395103993,0.08737265462606926,0.19215656021590885,0.015693346670989775,0.02779891368096972,0.12841273920662885,0.3797783258035451,0.048617505933231324,0.025168270353696967,0.11776244802193288,0.2567684503290053,-1.0,-2.0,2.0,9.0,0.0,-1.0,-10.0,3.0
DE LA ARAUCANIA,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,26V,0,26,23,64,10,9,2,1,24,3,6,23,53,42,17,12,4,1,159,61,-1,-1,2,21,22,62,9,3,14,26,29,34,0.017700985747253015,0.27259573160761486,0.19777831283264097,0.34932617058486376,0.05897840383535947,0.0031754246165941625,0.06105456029722511,0.03939041047844875,0.013483056145356661,0.1571820428191052,0.13221401361447113,0.40278040849355773,0.04369159254516721,0.020398072835389334,0.08968922650290716,0.14056158704404575,0.00032544708169776615,0.0969609732016261,0.11204478699448227,0.4181979630023651,0.0789872509268107,0.01395436395103993,0.08737265462606926,0.19215656021590885,0.015693346670989775,0.02779891368096972,0.12841273920662885,0.3797783258035451,0.048617505933231324,0.025168270353696967,0.11776244802193288,0.2567684503290053,-2.0,5.0,1.0,2.0,1.0,0.0,-5.0,-2.0
DE LA ARAUCANIA,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,27V,0,20,24,59,9,14,1,0,25,1,4,17,60,21,24,7,17,1,152,61,-1,-1,2,19,21,59,8,3,14,26,21,49,0.017700985747253015,0.27259573160761486,0.19777831283264097,0.34932617058486376,0.05897840383535947,0.0031754246165941625,0.06105456029722511,0.03939041047844875,0.013483056145356661,0.1571820428191052,0.13221401361447113,0.40278040849355773,0.04369159254516721,0.020398072835389334,0.08968922650290716,0.14056158704404575,0.00032544708169776615,0.0969609732016261,0.11204478699448227,0.4181979630023651,0.0789872509268107,0.01395436395103993,0.08737265462606926,0.19215656021590885,0.015693346670989775,0.02779891368096972,0.12841273920662885,0.3797783258035451,0.048617505933231324,0.025168270353696967,0.11776244802193288,0.2567684503290053,-2.0,1.0,3.0,0.0,1.0,-2.0,0.0,-1.0
DE LA ARAUCANIA,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,28V,0,18,29,65,8,8,1,1,17,2,6,21,44,32,14,16,13,1,147,61,-1,-1,2,19,20,57,8,2,14,25,27,44,0.017700985747253015,0.27259573160761486,0.19777831283264097,0.34932617058486376,0.05897840383535947,0.0031754246165941625,0.06105456029722511,0.03939041047844875,0.013483056145356661,0.1571820428191052,0.13221401361447113,0.40278040849355773,0.04369159254516721,0.020398072835389334,0.08968922650290716,0.14056158704404575,0.00032544708169776615,0.0969609732016261,0.11204478699448227,0.4181979630023651,0.0789872509268107,0.01395436395103993,0.08737265462606926,0.19215656021590885,0.015693346670989775,0.02779891368096972,0.12841273920662885,0.3797783258035451,0.048617505933231324,0.025168270353696967,0.11776244802193288,0.2567684503290053,-2.0,-1.0,9.0,8.0,0.0,0.0,-6.0,-8.0
DE LA ARAUCANIA,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,29,3,18,11,34,5,5,0,1,9,1,9,9,60,4,2,2,0,0,86,61,-1,-1,1,15,13,34,4,1,7,11,18,4,0.017700985747253015,0.27259573160761486,0.19777831283264097,0.34932617058486376,0.05897840383535947,0.0031754246165941625,0.06105456029722511,0.03939041047844875,0.013483056145356661,0.1571820428191052,0.13221401361447113,0.40278040849355773,0.04369159254516721,0.020398072835389334,0.08968922650290716,0.14056158704404575,0.00032544708169776615,0.0969609732016261,0.11204478699448227,0.4181979630023651,0.0789872509268107,0.01395436395103993,0.08737265462606926,0.19215656021590885,0.015693346670989775,0.02779891368096972,0.12841273920662885,0.3797783258035451,0.048617505933231324,0.025168270353696967,0.11776244802193288,0.2567684503290053,2.0,3.0,-2.0,0.0,1.0,0.0,-2.0,-2.0
DE LA ARAUCANIA,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,30,3,16,10,36,2,5,0,0,7,0,2,9,61,1,2,2,2,0,79,61,-1,-1,1,13,11,31,4,1,7,11,11,6,0.017700985747253015,0.27259573160761486,0.19777831283264097,0.34932617058486376,0.05897840383535947,0.0031754246165941625,0.06105456029722511,0.03939041047844875,0.013483056145356661,0.1571820428191052,0.13221401361447113,0.40278040849355773,0.04369159254516721,0.020398072835389334,0.08968922650290716,0.14056158704404575,0.00032544708169776615,0.0969609732016261,0.11204478699448227,0.4181979630023651,0.0789872509268107,0.01395436395103993,0.08737265462606926,0.19215656021590885,0.015693346670989775,0.02779891368096972,0.12841273920662885,0.3797783258035451,0.048617505933231324,0.025168270353696967,0.11776244802193288,0.2567684503290053,2.0,3.0,-1.0,5.0,-2.0,-1.0,-2.0,-4.0
DE LA ARAUCANIA,CARAHUE,COMPLEJO EDUCACIONAL DARIO SALAS DIAZ,31,1,26,17,32,6,11,1,2,8,3,2,52,38,5,5,1,1,0,104,61,-1,-1,2,21,17,39,6,1,8,10,54,7,0.017700985747253015,0.27259573160761486,0.19777831283264097,0.34932617058486376,0.05897840383535947,0.0031754246165941625,0.06105456029722511,0.03939041047844875,0.013483056145356661,0.1571820428191052,0.13221401361447113,0.40278040849355773,0.04369159254516721,0.020398072835389334,0.08968922650290716,0.14056158704404575,0.00032544708169776615,0.0969609732016261,0.11204478699448227,0.4181979630023651,0.0789872509268107,0.01395436395103993,0.08737265462606926,0.19215656021590885,0.015693346670989775,0.02779891368096972,0.12841273920662885,0.3797783258035451,0.048617505933231324,0.025168270353696967,0.11776244802193288,0.2567684503290053,-1.0,5.0,0.0,-7.0,0.0,2.0,3.0,-2.0
