REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,81M,5,12,50,50,20,16,0,1,10,1,1,0,7,5,39,4,12,45,2,24,1,14,1,6,0,3,164,237,-1,-1,4,12,60,39,14,2,19,14,113,51,0.031093244589358478,0.09572744328688132,0.41531921174587744,0.21137185220493593,0.08743269290945828,0.010493316865701475,0.09359861525653222,0.05496362314125502,0.010013106661524787,0.02477637930900949,0.2681135105533312,0.29159136399132685,0.08180175733090157,0.010427684771494071,0.16412528111848085,0.14915091626393132,1.0,0.0,-10.0,11.0,6.0,-1.0,-3.0,-4.0
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,82M,1,13,59,37,13,23,2,0,12,2,1,2,8,3,47,4,7,36,6,18,1,12,1,10,0,4,160,237,-1,-1,4,11,59,38,14,2,18,14,108,52,0.031093244589358478,0.09572744328688132,0.41531921174587744,0.21137185220493593,0.08743269290945828,0.010493316865701475,0.09359861525653222,0.05496362314125502,0.010013106661524787,0.02477637930900949,0.2681135105533312,0.29159136399132685,0.08180175733090157,0.010427684771494071,0.16412528111848085,0.14915091626393132,-3.0,2.0,0.0,-1.0,-1.0,0.0,5.0,-2.0
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,83M,4,4,49,36,9,19,1,0,14,1,4,0,4,9,27,6,5,30,4,21,3,14,0,6,0,3,136,237,-1,-1,3,9,49,33,12,2,16,12,85,51,0.031093244589358478,0.09572744328688132,0.41531921174587744,0.21137185220493593,0.08743269290945828,0.010493316865701475,0.09359861525653222,0.05496362314125502,0.010013106661524787,0.02477637930900949,0.2681135105533312,0.29159136399132685,0.08180175733090157,0.010427684771494071,0.16412528111848085,0.14915091626393132,1.0,-5.0,0.0,3.0,-3.0,-1.0,3.0,2.0
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,84M,3,7,52,39,14,21,1,1,13,2,1,1,8,4,33,4,6,44,3,18,1,19,0,8,0,0,151,237,-1,-1,4,11,55,36,13,1,18,13,101,49,0.031093244589358478,0.09572744328688132,0.41531921174587744,0.21137185220493593,0.08743269290945828,0.010493316865701475,0.09359861525653222,0.05496362314125502,0.010013106661524787,0.02477637930900949,0.2681135105533312,0.29159136399132685,0.08180175733090157,0.010427684771494071,0.16412528111848085,0.14915091626393132,-1.0,-4.0,-3.0,3.0,1.0,1.0,3.0,0.0
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,85M,4,10,53,32,9,29,0,0,22,0,0,1,9,8,36,4,3,27,3,18,2,31,0,11,0,6,159,237,-1,-1,3,10,56,39,14,2,20,15,88,71,0.031093244589358478,0.09572744328688132,0.41531921174587744,0.21137185220493593,0.08743269290945828,0.010493316865701475,0.09359861525653222,0.05496362314125502,0.010013106661524787,0.02477637930900949,0.2681135105533312,0.29159136399132685,0.08180175733090157,0.010427684771494071,0.16412528111848085,0.14915091626393132,1.0,0.0,-3.0,-7.0,-5.0,-2.0,9.0,7.0
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,86M,5,9,52,37,10,14,1,2,16,3,2,4,10,10,36,5,3,24,1,21,0,21,0,8,0,1,146,237,-1,-1,3,10,53,35,13,2,17,13,94,52,0.031093244589358478,0.09572744328688132,0.41531921174587744,0.21137185220493593,0.08743269290945828,0.010493316865701475,0.09359861525653222,0.05496362314125502,0.010013106661524787,0.02477637930900949,0.2681135105533312,0.29159136399132685,0.08180175733090157,0.010427684771494071,0.16412528111848085,0.14915091626393132,2.0,-1.0,-1.0,2.0,-3.0,1.0,-3.0,3.0
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,87M,5,8,52,37,10,29,0,1,19,1,1,2,9,9,34,3,8,26,0,27,1,22,0,15,0,4,161,237,-1,-1,3,10,57,40,14,2,20,15,92,69,0.031093244589358478,0.09572744328688132,0.41531921174587744,0.21137185220493593,0.08743269290945828,0.010493316865701475,0.09359861525653222,0.05496362314125502,0.010013106661524787,0.02477637930900949,0.2681135105533312,0.29159136399132685,0.08180175733090157,0.010427684771494071,0.16412528111848085,0.14915091626393132,2.0,-2.0,-5.0,-3.0,-4.0,-1.0,9.0,4.0
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,88M,3,14,59,33,13,22,1,3,13,4,1,0,10,7,30,6,6,39,6,20,3,24,0,4,0,5,161,237,-1,-1,4,11,58,39,14,1,19,15,99,62,0.031093244589358478,0.09572744328688132,0.41531921174587744,0.21137185220493593,0.08743269290945828,0.010493316865701475,0.09359861525653222,0.05496362314125502,0.010013106661524787,0.02477637930900949,0.2681135105533312,0.29159136399132685,0.08180175733090157,0.010427684771494071,0.16412528111848085,0.14915091626393132,-1.0,3.0,1.0,-6.0,-1.0,3.0,3.0,-2.0
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,89M,1,6,64,40,12,19,1,2,16,3,1,1,7,9,21,6,5,48,3,20,3,24,0,12,0,2,161,237,-1,-1,4,11,57,39,14,2,19,15,98,64,0.031093244589358478,0.09572744328688132,0.41531921174587744,0.21137185220493593,0.08743269290945828,0.010493316865701475,0.09359861525653222,0.05496362314125502,0.010013106661524787,0.02477637930900949,0.2681135105533312,0.29159136399132685,0.08180175733090157,0.010427684771494071,0.16412528111848085,0.14915091626393132,-3.0,-5.0,7.0,1.0,-2.0,1.0,0.0,1.0
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA ARNALDO FALABELLA,90M,4,13,62,36,13,22,0,0,11,0,3,2,5,12,40,6,10,29,3,23,1,19,1,5,0,2,161,237,-1,-1,4,11,59,38,14,2,19,14,107,54,0.031093244589358478,0.09572744328688132,0.41531921174587744,0.21137185220493593,0.08743269290945828,0.010493316865701475,0.09359861525653222,0.05496362314125502,0.010013106661524787,0.02477637930900949,0.2681135105533312,0.29159136399132685,0.08180175733090157,0.010427684771494071,0.16412528111848085,0.14915091626393132,0.0,2.0,3.0,-2.0,-1.0,-2.0,3.0,-3.0
