REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,100,3,21,38,68,11,26,0,1,15,1,5,29,43,31,30,24,14,7,183,111,-1,-1,2,23,36,69,11,1,22,19,183,0.010248764148138611,0.1257193944597589,0.19962584926374943,0.3780177690292038,0.057666549280895964,0.007428508393609784,0.1181335039347747,0.10315966148986899,1.0,-2.0,2.0,-1.0,0.0,0.0,4.0,-4.0
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,101,1,22,35,68,9,27,5,0,15,5,3,31,37,34,21,32,18,6,182,111,-1,-1,2,23,36,69,10,1,22,19,182,0.010248764148138611,0.1257193944597589,0.19962584926374943,0.3780177690292038,0.057666549280895964,0.007428508393609784,0.1181335039347747,0.10315966148986899,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,5.0,-4.0
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,102,1,26,47,72,7,21,1,1,17,2,6,33,34,38,29,27,22,4,193,111,-1,-1,2,24,39,73,11,1,23,20,193,0.010248764148138611,0.1257193944597589,0.19962584926374943,0.3780177690292038,0.057666549280895964,0.007428508393609784,0.1181335039347747,0.10315966148986899,-1.0,2.0,8.0,-1.0,-4.0,1.0,-2.0,-3.0
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,103,1,19,38,75,14,18,0,1,14,1,1,33,32,29,30,33,18,4,180,111,-1,-1,2,23,36,68,10,1,21,19,180,0.010248764148138611,0.1257193944597589,0.19962584926374943,0.3780177690292038,0.057666549280895964,0.007428508393609784,0.1181335039347747,0.10315966148986899,-1.0,-4.0,2.0,7.0,4.0,0.0,-3.0,-5.0
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,104,1,34,26,72,5,24,0,2,17,2,3,31,40,30,27,26,16,8,181,111,-1,-1,2,23,36,68,11,1,21,19,181,0.010248764148138611,0.1257193944597589,0.19962584926374943,0.3780177690292038,0.057666549280895964,0.007428508393609784,0.1181335039347747,0.10315966148986899,-1.0,11.0,-10.0,4.0,-6.0,1.0,3.0,-2.0
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,105,3,25,42,54,11,27,0,2,19,2,3,31,41,32,26,28,16,5,183,111,-1,-1,2,23,36,69,11,1,22,19,182,0.010248764148138611,0.1257193944597589,0.19962584926374943,0.3780177690292038,0.057666549280895964,0.007428508393609784,0.1181335039347747,0.10315966148986899,1.0,2.0,6.0,-15.0,0.0,1.0,5.0,0.0
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,106,4,27,39,67,4,27,1,0,15,1,2,27,34,34,39,27,13,7,184,111,-1,-1,2,23,37,69,11,1,22,19,183,0.010248764148138611,0.1257193944597589,0.19962584926374943,0.3780177690292038,0.057666549280895964,0.007428508393609784,0.1181335039347747,0.10315966148986899,2.0,4.0,2.0,-2.0,-7.0,0.0,5.0,-4.0
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,107,1,22,36,65,9,24,0,1,18,1,2,27,31,36,31,26,17,6,176,111,-1,-1,2,22,35,67,10,1,21,18,176,0.010248764148138611,0.1257193944597589,0.19962584926374943,0.3780177690292038,0.057666549280895964,0.007428508393609784,0.1181335039347747,0.10315966148986899,-1.0,0.0,1.0,-2.0,-1.0,0.0,3.0,0.0
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,108,1,18,35,70,11,17,0,0,15,0,4,32,37,21,25,30,12,6,167,111,-1,-1,2,21,33,63,10,1,20,17,167,0.010248764148138611,0.1257193944597589,0.19962584926374943,0.3780177690292038,0.057666549280895964,0.007428508393609784,0.1181335039347747,0.10315966148986899,-1.0,-3.0,2.0,7.0,1.0,-1.0,-3.0,-2.0
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,109,2,33,34,64,8,18,2,2,15,4,1,35,33,31,31,26,19,2,178,111,-1,-1,2,23,36,67,10,1,21,18,178,0.010248764148138611,0.1257193944597589,0.19962584926374943,0.3780177690292038,0.057666549280895964,0.007428508393609784,0.1181335039347747,0.10315966148986899,0.0,10.0,-2.0,-3.0,-2.0,3.0,-3.0,-3.0
