REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE ANTOFAGASTA,ANTOFAGASTA SUR,CENTRO DE EDUCACION INTEGRADA DE ADULTOS DR ANTONIO RENDIC IVANOVIC,100M,1,37,33,31,3,17,0,1,14,1,1,16,32,3,34,33,14,4,137,428,-1,-1,2,29,32,36,9,2,14,13,17,85,0.020815667241795083,0.33515997049329455,0.31617836767539925,0.1810264133378415,0.04535066574101907,0.012143351650686897,0.06402207688059511,0.02530348697936817,0.014236746201449364,0.2883193838592449,0.31238971383798936,0.2176231224972767,0.04520000627802079,0.005868324689814009,0.07904350719717601,0.0373191954390289,0.009573377307464777,0.19209168881618657,0.22689441546632413,0.28533489417727753,0.07074098925970494,0.0038108535686142042,0.11602362065864127,0.0955301607457866,0.010137728860528517,0.16079397877492904,0.18990675008723573,0.2932513369233948,0.081538121545175,0.015650235630605632,0.11622956744191855,0.1324922807362125,-1.0,8.0,1.0,-5.0,-6.0,-1.0,3.0,1.0
DE ANTOFAGASTA,ANTOFAGASTA SUR,CENTRO DE EDUCACION INTEGRADA DE ADULTOS DR ANTONIO RENDIC IVANOVIC,101M,0,38,39,29,9,12,0,2,12,2,2,11,41,6,29,36,14,3,141,428,-1,-1,2,30,34,37,9,2,14,13,13,82,0.020815667241795083,0.33515997049329455,0.31617836767539925,0.1810264133378415,0.04535066574101907,0.012143351650686897,0.06402207688059511,0.02530348697936817,0.014236746201449364,0.2883193838592449,0.31238971383798936,0.2176231224972767,0.04520000627802079,0.005868324689814009,0.07904350719717601,0.0373191954390289,0.009573377307464777,0.19209168881618657,0.22689441546632413,0.28533489417727753,0.07074098925970494,0.0038108535686142042,0.11602362065864127,0.0955301607457866,0.010137728860528517,0.16079397877492904,0.18990675008723573,0.2932513369233948,0.081538121545175,0.015650235630605632,0.11622956744191855,0.1324922807362125,-2.0,8.0,5.0,-8.0,0.0,0.0,-2.0,-1.0
DE ANTOFAGASTA,ANTOFAGASTA SUR,CENTRO DE EDUCACION INTEGRADA DE ADULTOS DR ANTONIO RENDIC IVANOVIC,102M,1,26,31,38,9,11,0,5,14,5,0,4,41,2,39,30,16,3,135,428,-1,-1,2,28,31,36,9,2,14,13,4,88,0.020815667241795083,0.33515997049329455,0.31617836767539925,0.1810264133378415,0.04535066574101907,0.012143351650686897,0.06402207688059511,0.02530348697936817,0.014236746201449364,0.2883193838592449,0.31238971383798936,0.2176231224972767,0.04520000627802079,0.005868324689814009,0.07904350719717601,0.0373191954390289,0.009573377307464777,0.19209168881618657,0.22689441546632413,0.28533489417727753,0.07074098925970494,0.0038108535686142042,0.11602362065864127,0.0955301607457866,0.010137728860528517,0.16079397877492904,0.18990675008723573,0.2932513369233948,0.081538121545175,0.015650235630605632,0.11622956744191855,0.1324922807362125,-1.0,-2.0,0.0,2.0,0.0,3.0,-3.0,1.0
DE ANTOFAGASTA,ANTOFAGASTA SUR,CENTRO DE EDUCACION INTEGRADA DE ADULTOS DR ANTONIO RENDIC IVANOVIC,103M,3,33,30,25,8,11,0,1,15,1,2,13,32,3,39,26,6,5,126,428,-1,-1,1,27,30,33,8,2,13,12,15,76,0.020815667241795083,0.33515997049329455,0.31617836767539925,0.1810264133378415,0.04535066574101907,0.012143351650686897,0.06402207688059511,0.02530348697936817,0.014236746201449364,0.2883193838592449,0.31238971383798936,0.2176231224972767,0.04520000627802079,0.005868324689814009,0.07904350719717601,0.0373191954390289,0.009573377307464777,0.19209168881618657,0.22689441546632413,0.28533489417727753,0.07074098925970494,0.0038108535686142042,0.11602362065864127,0.0955301607457866,0.010137728860528517,0.16079397877492904,0.18990675008723573,0.2932513369233948,0.081538121545175,0.015650235630605632,0.11622956744191855,0.1324922807362125,2.0,6.0,0.0,-8.0,0.0,-1.0,-2.0,3.0
DE ANTOFAGASTA,ANTOFAGASTA SUR,CENTRO DE EDUCACION INTEGRADA DE ADULTOS DR ANTONIO RENDIC IVANOVIC,104M,1,38,32,39,8,7,1,1,9,2,1,10,35,2,37,35,12,4,136,428,-1,-1,2,28,32,36,9,2,14,13,11,88,0.020815667241795083,0.33515997049329455,0.31617836767539925,0.1810264133378415,0.04535066574101907,0.012143351650686897,0.06402207688059511,0.02530348697936817,0.014236746201449364,0.2883193838592449,0.31238971383798936,0.2176231224972767,0.04520000627802079,0.005868324689814009,0.07904350719717601,0.0373191954390289,0.009573377307464777,0.19209168881618657,0.22689441546632413,0.28533489417727753,0.07074098925970494,0.0038108535686142042,0.11602362065864127,0.0955301607457866,0.010137728860528517,0.16079397877492904,0.18990675008723573,0.2932513369233948,0.081538121545175,0.015650235630605632,0.11622956744191855,0.1324922807362125,-1.0,10.0,0.0,3.0,-1.0,0.0,-7.0,-4.0
DE ANTOFAGASTA,ANTOFAGASTA SUR,CENTRO DE EDUCACION INTEGRADA DE ADULTOS DR ANTONIO RENDIC IVANOVIC,85M,3,31,29,35,6,15,0,1,8,1,3,16,25,3,35,26,15,5,128,428,-1,-1,2,27,30,33,9,2,13,12,19,81,0.020815667241795083,0.33515997049329455,0.31617836767539925,0.1810264133378415,0.04535066574101907,0.012143351650686897,0.06402207688059511,0.02530348697936817,0.014236746201449364,0.2883193838592449,0.31238971383798936,0.2176231224972767,0.04520000627802079,0.005868324689814009,0.07904350719717601,0.0373191954390289,0.009573377307464777,0.19209168881618657,0.22689441546632413,0.28533489417727753,0.07074098925970494,0.0038108535686142042,0.11602362065864127,0.0955301607457866,0.010137728860528517,0.16079397877492904,0.18990675008723573,0.2932513369233948,0.081538121545175,0.015650235630605632,0.11622956744191855,0.1324922807362125,1.0,4.0,-1.0,2.0,-3.0,-1.0,2.0,-4.0
DE ANTOFAGASTA,ANTOFAGASTA SUR,CENTRO DE EDUCACION INTEGRADA DE ADULTOS DR ANTONIO RENDIC IVANOVIC,86M,3,32,38,28,10,15,0,2,10,2,4,18,27,8,33,30,14,4,138,428,-1,-1,2,30,32,36,9,2,14,13,22,81,0.020815667241795083,0.33515997049329455,0.31617836767539925,0.1810264133378415,0.04535066574101907,0.012143351650686897,0.06402207688059511,0.02530348697936817,0.014236746201449364,0.2883193838592449,0.31238971383798936,0.2176231224972767,0.04520000627802079,0.005868324689814009,0.07904350719717601,0.0373191954390289,0.009573377307464777,0.19209168881618657,0.22689441546632413,0.28533489417727753,0.07074098925970494,0.0038108535686142042,0.11602362065864127,0.0955301607457866,0.010137728860528517,0.16079397877492904,0.18990675008723573,0.2932513369233948,0.081538121545175,0.015650235630605632,0.11622956744191855,0.1324922807362125,1.0,2.0,6.0,-8.0,1.0,0.0,1.0,-3.0
DE ANTOFAGASTA,ANTOFAGASTA SUR,CENTRO DE EDUCACION INTEGRADA DE ADULTOS DR ANTONIO RENDIC IVANOVIC,87M,1,20,29,33,13,13,1,2,14,3,0,10,20,6,33,38,18,2,126,428,-1,-1,1,25,28,34,9,2,13,14,10,91,0.020815667241795083,0.33515997049329455,0.31617836767539925,0.1810264133378415,0.04535066574101907,0.012143351650686897,0.06402207688059511,0.02530348697936817,0.014236746201449364,0.2883193838592449,0.31238971383798936,0.2176231224972767,0.04520000627802079,0.005868324689814009,0.07904350719717601,0.0373191954390289,0.009573377307464777,0.19209168881618657,0.22689441546632413,0.28533489417727753,0.07074098925970494,0.0038108535686142042,0.11602362065864127,0.0955301607457866,0.010137728860528517,0.16079397877492904,0.18990675008723573,0.2932513369233948,0.081538121545175,0.015650235630605632,0.11622956744191855,0.1324922807362125,0.0,-5.0,1.0,-1.0,4.0,1.0,0.0,0.0
DE ANTOFAGASTA,ANTOFAGASTA SUR,CENTRO DE EDUCACION INTEGRADA DE ADULTOS DR ANTONIO RENDIC IVANOVIC,88M,1,31,34,32,8,9,0,2,10,2,1,7,47,7,30,19,14,2,127,428,-1,-1,2,28,31,33,8,1,13,11,8,65,0.020815667241795083,0.33515997049329455,0.31617836767539925,0.1810264133378415,0.04535066574101907,0.012143351650686897,0.06402207688059511,0.02530348697936817,0.014236746201449364,0.2883193838592449,0.31238971383798936,0.2176231224972767,0.04520000627802079,0.005868324689814009,0.07904350719717601,0.0373191954390289,0.009573377307464777,0.19209168881618657,0.22689441546632413,0.28533489417727753,0.07074098925970494,0.0038108535686142042,0.11602362065864127,0.0955301607457866,0.010137728860528517,0.16079397877492904,0.18990675008723573,0.2932513369233948,0.081538121545175,0.015650235630605632,0.11622956744191855,0.1324922807362125,-1.0,3.0,3.0,-1.0,0.0,1.0,-4.0,-1.0
DE ANTOFAGASTA,ANTOFAGASTA SUR,CENTRO DE EDUCACION INTEGRADA DE ADULTOS DR ANTONIO RENDIC IVANOVIC,89M,1,23,32,25,7,16,0,0,13,0,1,12,21,7,24,33,14,5,117,428,-1,-1,1,24,27,31,8,2,12,12,13,76,0.020815667241795083,0.33515997049329455,0.31617836767539925,0.1810264133378415,0.04535066574101907,0.012143351650686897,0.06402207688059511,0.02530348697936817,0.014236746201449364,0.2883193838592449,0.31238971383798936,0.2176231224972767,0.04520000627802079,0.005868324689814009,0.07904350719717601,0.0373191954390289,0.009573377307464777,0.19209168881618657,0.22689441546632413,0.28533489417727753,0.07074098925970494,0.0038108535686142042,0.11602362065864127,0.0955301607457866,0.010137728860528517,0.16079397877492904,0.18990675008723573,0.2932513369233948,0.081538121545175,0.015650235630605632,0.11622956744191855,0.1324922807362125,0.0,-1.0,5.0,-6.0,-1.0,-2.0,4.0,1.0
