REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE VALPARAISO,PLACILLA DE PENUELAS,COLEGIO E-268 REPUBLICA DE MEXICO,1V,4,10,57,43,12,20,0,5,17,5,3,19,5,31,32,38,33,7,168,58,-1,-1,1,12,49,53,12,2,21,18,22,110,0.02984281065676191,0.10118580391493218,0.42734253974975706,0.1827191190121646,0.05257405276759304,0.011506131453649801,0.14103181312464766,0.0537977293204937,0.024522128574990653,0.17269424919934503,0.3227968104607819,0.2301075109566049,0.0487722714557391,0.010193342667348863,0.13192987676114457,0.05898380992404487,0.006012227896761635,0.07361945037074252,0.26845723028679447,0.3589937053000798,0.060960131351106964,0.00014385919513920705,0.14994962507669687,0.08186377052267851,0.003923025706509124,0.05728878831603713,0.2660975596566601,0.3357663927659237,0.07962995398307184,0.01257922955626204,0.11805665848533219,0.12665839153020406,3.0,-2.0,8.0,-10.0,0.0,3.0,-1.0,-1.0
DE VALPARAISO,PLACILLA DE PENUELAS,COLEGIO E-268 REPUBLICA DE MEXICO,2V,0,12,56,57,19,26,0,2,25,2,1,7,8,42,59,40,33,6,197,58,-1,-1,1,13,54,65,15,2,25,22,8,138,0.02984281065676191,0.10118580391493218,0.42734253974975706,0.1827191190121646,0.05257405276759304,0.011506131453649801,0.14103181312464766,0.0537977293204937,0.024522128574990653,0.17269424919934503,0.3227968104607819,0.2301075109566049,0.0487722714557391,0.010193342667348863,0.13192987676114457,0.05898380992404487,0.006012227896761635,0.07361945037074252,0.26845723028679447,0.3589937053000798,0.060960131351106964,0.00014385919513920705,0.14994962507669687,0.08186377052267851,0.003923025706509124,0.05728878831603713,0.2660975596566601,0.3357663927659237,0.07962995398307184,0.01257922955626204,0.11805665848533219,0.12665839153020406,-1.0,-1.0,2.0,-8.0,4.0,0.0,1.0,3.0
DE VALPARAISO,PLACILLA DE PENUELAS,COLEGIO E-268 REPUBLICA DE MEXICO,3V,0,20,57,68,14,25,1,1,32,2,8,8,14,66,51,40,23,8,218,58,-1,-1,2,16,61,71,15,2,28,23,16,122,0.02984281065676191,0.10118580391493218,0.42734253974975706,0.1827191190121646,0.05257405276759304,0.011506131453649801,0.14103181312464766,0.0537977293204937,0.024522128574990653,0.17269424919934503,0.3227968104607819,0.2301075109566049,0.0487722714557391,0.010193342667348863,0.13192987676114457,0.05898380992404487,0.006012227896761635,0.07361945037074252,0.26845723028679447,0.3589937053000798,0.060960131351106964,0.00014385919513920705,0.14994962507669687,0.08186377052267851,0.003923025706509124,0.05728878831603713,0.2660975596566601,0.3357663927659237,0.07962995398307184,0.01257922955626204,0.11805665848533219,0.12665839153020406,-2.0,4.0,-4.0,-3.0,-1.0,0.0,-3.0,9.0
DE VALPARAISO,PLACILLA DE PENUELAS,COLEGIO E-268 REPUBLICA DE MEXICO,4V,4,16,58,71,16,32,1,1,24,2,1,28,30,48,49,36,23,7,223,58,-1,-1,2,18,66,69,15,2,29,22,29,115,0.02984281065676191,0.10118580391493218,0.42734253974975706,0.1827191190121646,0.05257405276759304,0.011506131453649801,0.14103181312464766,0.0537977293204937,0.024522128574990653,0.17269424919934503,0.3227968104607819,0.2301075109566049,0.0487722714557391,0.010193342667348863,0.13192987676114457,0.05898380992404487,0.006012227896761635,0.07361945037074252,0.26845723028679447,0.3589937053000798,0.060960131351106964,0.00014385919513920705,0.14994962507669687,0.08186377052267851,0.003923025706509124,0.05728878831603713,0.2660975596566601,0.3357663927659237,0.07962995398307184,0.01257922955626204,0.11805665848533219,0.12665839153020406,2.0,-2.0,-8.0,2.0,1.0,0.0,3.0,2.0
DE VALPARAISO,PLACILLA DE PENUELAS,COLEGIO E-268 REPUBLICA DE MEXICO,5V,5,11,72,62,12,26,1,4,23,5,3,10,35,44,53,43,24,4,216,58,-1,-1,2,18,61,68,15,2,28,22,13,124,0.02984281065676191,0.10118580391493218,0.42734253974975706,0.1827191190121646,0.05257405276759304,0.011506131453649801,0.14103181312464766,0.0537977293204937,0.024522128574990653,0.17269424919934503,0.3227968104607819,0.2301075109566049,0.0487722714557391,0.010193342667348863,0.13192987676114457,0.05898380992404487,0.006012227896761635,0.07361945037074252,0.26845723028679447,0.3589937053000798,0.060960131351106964,0.00014385919513920705,0.14994962507669687,0.08186377052267851,0.003923025706509124,0.05728878831603713,0.2660975596566601,0.3357663927659237,0.07962995398307184,0.01257922955626204,0.11805665848533219,0.12665839153020406,3.0,-7.0,11.0,-6.0,-3.0,3.0,-2.0,1.0
DE VALPARAISO,PLACILLA DE PENUELAS,COLEGIO E-268 REPUBLICA DE MEXICO,6V,2,22,69,99,9,19,0,0,26,0,2,10,33,57,66,49,19,10,246,58,-1,-1,2,19,69,79,17,2,32,26,12,144,0.02984281065676191,0.10118580391493218,0.42734253974975706,0.1827191190121646,0.05257405276759304,0.011506131453649801,0.14103181312464766,0.0537977293204937,0.024522128574990653,0.17269424919934503,0.3227968104607819,0.2301075109566049,0.0487722714557391,0.010193342667348863,0.13192987676114457,0.05898380992404487,0.006012227896761635,0.07361945037074252,0.26845723028679447,0.3589937053000798,0.060960131351106964,0.00014385919513920705,0.14994962507669687,0.08186377052267851,0.003923025706509124,0.05728878831603713,0.2660975596566601,0.3357663927659237,0.07962995398307184,0.01257922955626204,0.11805665848533219,0.12665839153020406,0.0,3.0,0.0,20.0,-8.0,-2.0,-13.0,0.0
DE VALPARAISO,PLACILLA DE PENUELAS,COLEGIO E-268 REPUBLICA DE MEXICO,7V,2,19,52,94,14,22,2,3,26,5,0,11,33,54,63,47,21,5,234,58,-1,-1,2,19,66,75,16,2,30,24,11,136,0.02984281065676191,0.10118580391493218,0.42734253974975706,0.1827191190121646,0.05257405276759304,0.011506131453649801,0.14103181312464766,0.0537977293204937,0.024522128574990653,0.17269424919934503,0.3227968104607819,0.2301075109566049,0.0487722714557391,0.010193342667348863,0.13192987676114457,0.05898380992404487,0.006012227896761635,0.07361945037074252,0.26845723028679447,0.3589937053000798,0.060960131351106964,0.00014385919513920705,0.14994962507669687,0.08186377052267851,0.003923025706509124,0.05728878831603713,0.2660975596566601,0.3357663927659237,0.07962995398307184,0.01257922955626204,0.11805665848533219,0.12665839153020406,0.0,0.0,-14.0,19.0,-2.0,3.0,-8.0,2.0
DE VALPARAISO,PLACILLA DE PENUELAS,COLEGIO E-268 REPUBLICA DE MEXICO,8V,2,18,69,83,15,34,0,0,23,0,5,13,51,65,61,36,12,1,244,58,-1,-1,3,22,71,75,16,2,32,23,18,110,0.02984281065676191,0.10118580391493218,0.42734253974975706,0.1827191190121646,0.05257405276759304,0.011506131453649801,0.14103181312464766,0.0537977293204937,0.024522128574990653,0.17269424919934503,0.3227968104607819,0.2301075109566049,0.0487722714557391,0.010193342667348863,0.13192987676114457,0.05898380992404487,0.006012227896761635,0.07361945037074252,0.26845723028679447,0.3589937053000798,0.060960131351106964,0.00014385919513920705,0.14994962507669687,0.08186377052267851,0.003923025706509124,0.05728878831603713,0.2660975596566601,0.3357663927659237,0.07962995398307184,0.01257922955626204,0.11805665848533219,0.12665839153020406,-1.0,-4.0,-2.0,8.0,-1.0,-2.0,2.0,0.0
DE VALPARAISO,PLACILLA DE PENUELAS,COLEGIO E-268 REPUBLICA DE MEXICO,9V,3,19,58,65,11,35,0,2,20,2,7,19,15,105,37,22,7,2,213,58,-1,-1,2,17,62,69,14,1,29,19,26,68,0.02984281065676191,0.10118580391493218,0.42734253974975706,0.1827191190121646,0.05257405276759304,0.011506131453649801,0.14103181312464766,0.0537977293204937,0.024522128574990653,0.17269424919934503,0.3227968104607819,0.2301075109566049,0.0487722714557391,0.010193342667348863,0.13192987676114457,0.05898380992404487,0.006012227896761635,0.07361945037074252,0.26845723028679447,0.3589937053000798,0.060960131351106964,0.00014385919513920705,0.14994962507669687,0.08186377052267851,0.003923025706509124,0.05728878831603713,0.2660975596566601,0.3357663927659237,0.07962995398307184,0.01257922955626204,0.11805665848533219,0.12665839153020406,1.0,2.0,-4.0,-4.0,-3.0,1.0,6.0,1.0
DE VALPARAISO,PLACILLA DE PENUELAS,COLEGIO NUEVA ERA SIGLO XXI,10M,2,19,65,75,14,37,2,2,19,4,3,18,33,70,42,38,28,3,235,58,-1,-1,2,19,68,74,16,2,31,23,21,111,0.02984281065676191,0.10118580391493218,0.42734253974975706,0.1827191190121646,0.05257405276759304,0.011506131453649801,0.14103181312464766,0.0537977293204937,0.024522128574990653,0.17269424919934503,0.3227968104607819,0.2301075109566049,0.0487722714557391,0.010193342667348863,0.13192987676114457,0.05898380992404487,0.006012227896761635,0.07361945037074252,0.26845723028679447,0.3589937053000798,0.060960131351106964,0.00014385919513920705,0.14994962507669687,0.08186377052267851,0.003923025706509124,0.05728878831603713,0.2660975596566601,0.3357663927659237,0.07962995398307184,0.01257922955626204,0.11805665848533219,0.12665839153020406,0.0,0.0,-3.0,1.0,-2.0,2.0,6.0,-4.0
