REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V,0,17,49,27,14,6,2,1,18,3,0,1,0,50,3,8,3,6,22,2,18,3,15,1,2,0,134,68,-1,-1,1,16,39,33,12,3,9,21,71,63,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,-1.0,1.0,10.0,-6.0,2.0,0.0,-3.0,-3.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V,1,13,38,38,8,10,1,5,21,6,0,1,6,55,4,9,5,6,22,0,14,3,7,0,3,0,135,68,-1,-1,2,17,41,33,11,3,9,19,86,49,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,-1.0,-4.0,-3.0,5.0,-3.0,3.0,1.0,2.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V,1,6,37,20,6,8,1,1,19,2,1,2,2,3,5,10,5,7,25,6,20,4,8,0,1,0,99,68,-1,-1,1,10,27,24,10,2,7,18,35,64,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,0.0,-4.0,10.0,-4.0,-4.0,0.0,1.0,1.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V,1,5,30,21,6,9,1,1,9,2,1,2,2,11,11,16,12,5,17,0,3,1,1,0,1,0,83,68,-1,-1,1,12,26,20,7,2,5,10,60,23,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,0.0,-7.0,4.0,1.0,-1.0,0.0,4.0,-1.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,23V,1,14,49,47,7,8,1,1,22,2,0,1,5,3,20,17,50,14,20,8,3,5,2,0,1,0,150,68,-1,-1,2,21,47,37,12,3,10,18,110,39,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,-1.0,-7.0,2.0,10.0,-5.0,-1.0,-2.0,4.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,24V,0,18,49,37,10,9,2,3,14,5,7,4,18,14,19,18,16,16,11,4,8,1,2,3,0,1,142,68,-1,-1,2,21,45,35,11,3,9,16,112,30,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,-2.0,-3.0,4.0,2.0,-1.0,2.0,0.0,-2.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,25V,3,17,44,32,13,4,0,1,29,1,3,3,12,12,16,8,32,6,26,2,15,1,5,0,1,0,143,68,-1,-1,2,19,43,35,12,3,10,19,92,50,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,1.0,-2.0,1.0,-3.0,1.0,-2.0,-6.0,10.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,26V,2,18,43,27,12,11,1,2,11,3,4,3,14,20,10,16,27,4,5,4,10,5,3,1,1,0,127,68,-1,-1,2,18,40,31,10,3,8,15,98,29,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,0.0,0.0,3.0,-4.0,2.0,0.0,3.0,-4.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,27V,3,29,61,30,11,14,3,1,17,4,1,5,19,20,14,18,39,10,16,3,13,3,3,2,2,0,169,68,-1,-1,2,24,53,42,13,4,11,20,126,42,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,1.0,5.0,8.0,-12.0,-2.0,0.0,3.0,-3.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,28V,0,16,40,34,4,5,1,0,6,1,0,4,12,15,7,14,25,5,7,6,5,3,1,1,1,0,106,68,-1,-1,1,15,34,26,8,2,7,13,82,24,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,-1.0,1.0,6.0,8.0,-4.0,-1.0,-2.0,-7.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,29V,1,17,45,28,11,10,2,0,20,2,2,2,8,11,13,8,47,16,12,4,5,3,2,0,1,0,134,68,-1,-1,2,20,43,33,10,3,8,15,107,27,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,-1.0,-3.0,2.0,-5.0,1.0,-1.0,2.0,5.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,30V,2,19,38,24,7,5,1,0,15,1,2,3,17,17,11,13,16,6,10,3,7,4,0,0,1,0,111,68,-1,-1,2,16,35,27,9,2,7,13,85,25,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,0.0,3.0,3.0,-3.0,-2.0,-1.0,-2.0,2.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,10M,0,10,32,22,13,3,0,1,27,1,1,1,0,4,3,4,7,1,7,23,2,33,0,15,0,7,108,68,-1,-1,1,9,28,26,11,2,8,23,21,87,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,-1.0,1.0,4.0,-4.0,2.0,-1.0,-5.0,4.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,11M,2,9,27,28,10,13,0,0,20,0,2,0,2,3,2,9,14,1,6,26,1,25,0,16,0,2,109,68,-1,-1,1,10,29,27,11,2,8,21,33,76,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,1.0,-1.0,-2.0,1.0,-1.0,-2.0,5.0,-1.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,1M,1,6,25,27,9,9,1,5,17,6,1,0,6,2,4,3,2,2,1,23,0,22,0,25,0,9,100,68,-1,-1,1,8,26,24,10,2,8,21,20,80,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,0.0,-2.0,-1.0,3.0,-1.0,4.0,1.0,-4.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,2M,1,7,32,26,11,13,0,0,15,0,2,1,4,11,7,5,2,2,0,12,3,21,1,22,2,10,105,68,-1,-1,1,10,28,26,10,2,8,20,34,71,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,0.0,-3.0,4.0,0.0,1.0,-2.0,5.0,-5.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,3M,1,11,30,25,9,11,0,3,15,3,1,0,6,6,6,2,1,1,2,18,0,31,3,16,0,11,105,68,-1,-1,1,9,27,25,11,2,8,22,23,81,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,0.0,2.0,3.0,0.0,-2.0,1.0,3.0,-7.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,4M,1,13,23,28,14,9,1,1,13,2,0,0,4,6,4,8,0,0,0,20,2,28,4,19,0,8,103,68,-1,-1,1,8,27,25,11,2,8,21,22,81,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,0.0,5.0,-4.0,3.0,3.0,0.0,1.0,-8.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,5M,1,5,34,30,14,7,1,0,21,1,0,2,8,11,0,3,1,3,1,18,4,24,3,25,1,9,113,68,-1,-1,1,10,30,27,11,2,9,23,28,85,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,0.0,-5.0,4.0,3.0,3.0,-1.0,-2.0,-2.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,6M,1,9,28,24,9,8,0,0,18,0,0,1,1,1,4,3,3,3,1,24,5,26,0,20,0,5,97,68,-1,-1,1,7,25,23,10,2,8,21,16,81,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,0.0,2.0,3.0,1.0,-1.0,-2.0,0.0,-3.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,7M,1,7,29,28,8,10,1,1,17,2,2,3,3,5,2,6,4,2,5,22,4,25,1,13,0,5,102,68,-1,-1,1,9,27,25,10,2,8,20,27,75,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,0.0,-2.0,2.0,3.0,-2.0,0.0,2.0,-3.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,8M,2,13,31,16,10,7,1,2,24,3,0,1,3,5,4,1,2,1,2,25,5,26,0,21,0,10,106,68,-1,-1,1,8,27,26,11,2,8,23,17,89,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,1.0,5.0,4.0,-10.0,-1.0,1.0,-1.0,1.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA BERNARDO O'HIGGINS,9M,1,13,25,29,11,9,1,1,13,2,3,3,4,3,4,3,0,0,5,28,2,27,0,14,0,7,103,68,-1,-1,1,8,26,25,11,2,8,22,20,83,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,0.0,5.0,-1.0,4.0,0.0,0.0,1.0,-9.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,31V,1,14,36,25,7,9,3,3,12,6,2,3,10,13,9,14,19,6,18,3,8,3,3,0,0,0,110,68,-1,-1,1,15,34,27,9,2,7,15,76,35,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,0.0,-1.0,2.0,-2.0,-2.0,4.0,2.0,-3.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,32V,5,15,31,32,8,6,0,3,12,3,4,1,17,22,10,12,23,5,11,1,3,2,0,0,0,1,112,68,-1,-1,2,17,36,28,8,2,7,12,94,18,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,3.0,-2.0,-5.0,4.0,0.0,1.0,-1.0,0.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,33V,1,18,46,32,8,4,2,2,11,4,3,4,15,16,14,13,21,6,10,5,11,4,0,0,1,0,124,68,-1,-1,1,18,39,30,10,3,8,15,92,31,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,0.0,0.0,7.0,2.0,-2.0,1.0,-4.0,-4.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,34V,2,9,29,30,7,10,1,0,5,1,2,4,7,16,15,15,14,3,5,4,5,2,1,0,0,0,93,68,-1,-1,1,14,30,23,7,2,6,10,76,17,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,1.0,-5.0,-1.0,7.0,0.0,-1.0,4.0,-5.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,35V,1,17,55,47,11,5,2,1,20,3,2,2,12,14,32,8,45,4,23,3,7,2,4,0,1,0,159,68,-1,-1,2,23,50,39,13,3,10,19,119,40,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,-1.0,-6.0,5.0,8.0,-2.0,0.0,-5.0,1.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,36V,2,19,47,41,15,17,2,2,15,4,1,2,9,9,31,11,42,6,17,2,21,2,4,1,1,0,160,68,-1,-1,2,22,49,39,13,3,11,21,111,48,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,0.0,-3.0,-2.0,2.0,2.0,1.0,6.0,-6.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,37V,4,18,38,64,7,10,1,2,16,3,3,2,8,6,50,16,27,1,19,4,10,0,10,0,3,0,160,68,-1,-1,2,22,50,39,13,3,11,20,113,46,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,2.0,-4.0,-12.0,25.0,-6.0,0.0,-1.0,-4.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,38V,5,23,52,42,12,13,2,3,13,5,3,1,8,10,28,14,41,2,25,2,17,4,9,0,1,0,165,68,-1,-1,2,22,50,40,14,3,11,23,107,58,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,3.0,1.0,2.0,2.0,-2.0,2.0,2.0,-10.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,39V,5,27,65,34,9,8,0,3,13,3,7,3,15,24,23,18,15,10,17,12,9,4,5,1,0,0,164,68,-1,-1,2,23,51,40,13,3,11,21,115,48,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,3.0,4.0,14.0,-6.0,-4.0,0.0,-3.0,-8.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,40,1,42,24,28,6,4,0,0,9,0,1,2,5,4,91,4,1,1,1,3,0,0,1,0,0,0,114,68,-1,-1,2,19,38,28,8,2,7,10,109,5,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,-1.0,23.0,-14.0,0.0,-2.0,-2.0,-3.0,-1.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,41,1,31,43,14,5,5,0,2,7,2,2,3,65,3,15,12,5,0,2,0,1,0,0,0,0,0,108,68,-1,-1,2,18,36,27,7,2,7,9,105,3,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,-1.0,13.0,7.0,-13.0,-2.0,0.0,-2.0,-2.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA CAPITAN JUAN LADRILLERO,42,2,18,44,18,1,4,0,1,5,1,0,4,50,11,10,7,3,1,0,3,2,1,1,0,0,0,93,68,-1,-1,1,15,31,23,6,2,6,9,86,7,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,1.0,3.0,13.0,-5.0,-5.0,-1.0,-2.0,-4.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA SANTIAGO BUERAS,12M,1,9,29,26,14,8,2,2,22,4,1,2,0,4,3,7,10,3,9,26,2,29,1,9,1,6,113,68,-1,-1,1,10,30,27,11,3,9,22,30,83,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,0.0,-1.0,-1.0,-1.0,3.0,1.0,-1.0,0.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA SANTIAGO BUERAS,13M,0,13,30,25,14,9,1,0,20,1,1,0,3,7,1,2,17,0,7,29,0,31,0,7,0,7,112,68,-1,-1,1,10,30,27,11,3,8,22,31,81,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,-1.0,3.0,0.0,-2.0,3.0,-2.0,1.0,-2.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA SANTIAGO BUERAS,14M,1,7,28,25,15,9,2,1,22,3,0,3,3,3,6,1,6,4,8,33,0,27,0,13,0,3,110,68,-1,-1,1,9,29,27,11,3,8,22,26,84,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,0.0,-2.0,-1.0,-2.0,4.0,0.0,1.0,0.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,ESCUELA SANTIAGO BUERAS,15M,0,12,26,27,12,4,2,2,23,4,0,0,2,3,2,5,13,0,1,35,0,31,1,11,0,5,108,68,-1,-1,1,9,28,26,11,3,8,22,25,84,0.01422781567812825,0.17144987904803818,0.34056891093240177,0.24689325778055085,0.06664483099629638,0.01944478469137524,0.05969565773755926,0.08107486313565007,0.00698075669506573,0.05659399318407734,0.23688823103886594,0.2420836711058782,0.11145042388147389,0.02351526460838946,0.08195448939684341,0.24053317008940608,-1.0,3.0,-2.0,1.0,1.0,1.0,-4.0,1.0
