REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,1,2,26,16,41,4,13,0,1,15,1,2,0,13,11,6,14,4,15,12,12,7,10,2,4,3,3,118,10,-1,-1,1,16,16,44,5,3,14,19,65,53,3.4373567084744005e-07,0.15053173574973855,0.19807885526590055,0.3688925945983017,0.07219705616139267,0.04261559750823729,0.11329203338746639,0.05439178359329197,0.017792820416735338,0.10855010483093055,0.05277263976147471,0.3835990652860935,0.008424855587193953,8.528541310441172e-05,0.12893953721736703,0.2998356914871005,1.0,10.0,0.0,-3.0,-1.0,-2.0,-1.0,-4.0
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,10,0,10,19,35,6,10,3,0,16,3,11,6,4,8,5,15,7,12,7,10,5,4,2,3,0,0,99,10,-1,-1,0,14,15,37,5,3,12,13,68,31,3.4373567084744005e-07,0.15053173574973855,0.19807885526590055,0.3688925945983017,0.07219705616139267,0.04261559750823729,0.11329203338746639,0.05439178359329197,0.017792820416735338,0.10855010483093055,0.05277263976147471,0.3835990652860935,0.008424855587193953,8.528541310441172e-05,0.12893953721736703,0.2998356914871005,0.0,-4.0,4.0,-2.0,1.0,0.0,-2.0,3.0
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,2,1,16,14,35,5,18,1,2,17,3,1,1,13,14,6,9,12,9,9,5,9,7,5,6,2,1,109,10,-1,-1,1,14,15,41,5,3,13,17,65,44,3.4373567084744005e-07,0.15053173574973855,0.19807885526590055,0.3688925945983017,0.07219705616139267,0.04261559750823729,0.11329203338746639,0.05439178359329197,0.017792820416735338,0.10855010483093055,0.05277263976147471,0.3835990652860935,0.008424855587193953,8.528541310441172e-05,0.12893953721736703,0.2998356914871005,0.0,2.0,-1.0,-6.0,0.0,0.0,5.0,0.0
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,3,3,13,17,42,5,20,1,2,21,3,0,0,12,11,13,9,6,12,9,14,14,8,7,8,0,1,124,10,-1,-1,1,16,16,46,5,3,15,22,63,61,3.4373567084744005e-07,0.15053173574973855,0.19807885526590055,0.3688925945983017,0.07219705616139267,0.04261559750823729,0.11329203338746639,0.05439178359329197,0.017792820416735338,0.10855010483093055,0.05277263976147471,0.3835990652860935,0.008424855587193953,8.528541310441172e-05,0.12893953721736703,0.2998356914871005,2.0,-3.0,1.0,-4.0,0.0,0.0,5.0,-1.0
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,4,0,15,18,52,5,11,1,2,19,3,0,0,11,10,13,12,8,9,13,12,12,5,8,6,2,2,123,10,-1,-1,1,16,16,46,5,3,15,21,63,60,3.4373567084744005e-07,0.15053173574973855,0.19807885526590055,0.3688925945983017,0.07219705616139267,0.04261559750823729,0.11329203338746639,0.05439178359329197,0.017792820416735338,0.10855010483093055,0.05277263976147471,0.3835990652860935,0.008424855587193953,8.528541310441172e-05,0.12893953721736703,0.2998356914871005,-1.0,-1.0,2.0,6.0,0.0,0.0,-4.0,-2.0
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,5,0,12,20,42,5,17,0,1,20,1,1,0,10,13,5,15,7,8,8,15,9,14,7,1,2,2,117,10,-1,-1,1,15,15,44,5,2,14,21,59,58,3.4373567084744005e-07,0.15053173574973855,0.19807885526590055,0.3688925945983017,0.07219705616139267,0.04261559750823729,0.11329203338746639,0.05439178359329197,0.017792820416735338,0.10855010483093055,0.05277263976147471,0.3835990652860935,0.008424855587193953,8.528541310441172e-05,0.12893953721736703,0.2998356914871005,-1.0,-3.0,5.0,-2.0,0.0,-1.0,3.0,-1.0
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,6,1,20,15,45,9,12,2,0,23,2,0,1,10,15,6,20,5,11,14,12,8,9,8,8,0,0,127,10,-1,-1,1,17,17,48,5,3,15,21,68,59,3.4373567084744005e-07,0.15053173574973855,0.19807885526590055,0.3688925945983017,0.07219705616139267,0.04261559750823729,0.11329203338746639,0.05439178359329197,0.017792820416735338,0.10855010483093055,0.05277263976147471,0.3835990652860935,0.008424855587193953,8.528541310441172e-05,0.12893953721736703,0.2998356914871005,0.0,3.0,-2.0,-3.0,4.0,-1.0,-3.0,2.0
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,7,0,12,12,58,6,14,6,0,19,6,2,0,13,17,12,11,5,12,14,8,12,9,7,3,1,1,127,10,-1,-1,1,17,17,48,6,3,15,20,72,55,3.4373567084744005e-07,0.15053173574973855,0.19807885526590055,0.3688925945983017,0.07219705616139267,0.04261559750823729,0.11329203338746639,0.05439178359329197,0.017792820416735338,0.10855010483093055,0.05277263976147471,0.3835990652860935,0.008424855587193953,8.528541310441172e-05,0.12893953721736703,0.2998356914871005,-1.0,-5.0,-5.0,10.0,0.0,3.0,-1.0,-1.0
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,8,1,19,14,56,3,16,1,2,18,3,0,0,17,15,11,14,9,10,15,14,4,7,7,5,1,1,130,10,-1,-1,1,17,18,49,6,3,16,20,76,54,3.4373567084744005e-07,0.15053173574973855,0.19807885526590055,0.3688925945983017,0.07219705616139267,0.04261559750823729,0.11329203338746639,0.05439178359329197,0.017792820416735338,0.10855010483093055,0.05277263976147471,0.3835990652860935,0.008424855587193953,8.528541310441172e-05,0.12893953721736703,0.2998356914871005,0.0,2.0,-4.0,7.0,-3.0,0.0,0.0,-2.0
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,9,2,21,20,62,6,19,0,4,37,4,1,2,13,17,11,12,13,16,12,19,12,15,8,12,3,5,171,10,-1,-1,2,22,21,64,7,4,21,30,85,86,3.4373567084744005e-07,0.15053173574973855,0.19807885526590055,0.3688925945983017,0.07219705616139267,0.04261559750823729,0.11329203338746639,0.05439178359329197,0.017792820416735338,0.10855010483093055,0.05277263976147471,0.3835990652860935,0.008424855587193953,8.528541310441172e-05,0.12893953721736703,0.2998356914871005,0.0,-1.0,-1.0,-2.0,-1.0,0.0,-2.0,7.0
