REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,PITRUFQUEN,ESCUELA JUAN BAUTISTA CHESTA,18M,2,18,15,77,6,18,1,2,23,3,3,8,24,68,32,18,9,0,162,64,-1,-1,1,14,22,75,11,2,17,20,11,59,0.010219360587200996,0.21060014526740273,0.2545746115162506,0.3347802299024599,0.03841610291191209,0.016654028925644472,0.07034908616634014,0.06440643472278894,9.591704649943237e-05,0.20525689116753545,0.20141040102666122,0.4797888518133463,0.0467687157337642,0.006960874214829802,0.03953772385940359,0.02018062513796,0.0049283937268724855,0.050192177814335326,0.10165206504380593,0.4971347934117005,0.08983696691181343,0.008031135556117756,0.13207469118872134,0.11614977634663308,0.011523511974222977,0.06144784312469676,0.12801843210210373,0.4389702376981312,0.055200027389214285,0.011814243791861183,0.11137174458914492,0.18165395933062506,1.0,4.0,-7.0,2.0,-5.0,1.0,1.0,3.0
DE LA ARAUCANIA,PITRUFQUEN,ESCUELA JUAN BAUTISTA CHESTA,19M,3,16,21,82,6,21,1,0,18,1,1,9,20,78,39,14,7,0,168,64,-1,-1,1,14,22,78,12,2,18,21,10,60,0.010219360587200996,0.21060014526740273,0.2545746115162506,0.3347802299024599,0.03841610291191209,0.016654028925644472,0.07034908616634014,0.06440643472278894,9.591704649943237e-05,0.20525689116753545,0.20141040102666122,0.4797888518133463,0.0467687157337642,0.006960874214829802,0.03953772385940359,0.02018062513796,0.0049283937268724855,0.050192177814335326,0.10165206504380593,0.4971347934117005,0.08983696691181343,0.008031135556117756,0.13207469118872134,0.11614977634663308,0.011523511974222977,0.06144784312469676,0.12801843210210373,0.4389702376981312,0.055200027389214285,0.011814243791861183,0.11137174458914492,0.18165395933062506,2.0,2.0,-1.0,4.0,-6.0,-1.0,3.0,-3.0
DE LA ARAUCANIA,PITRUFQUEN,ESCUELA JUAN BAUTISTA CHESTA,20M,2,13,19,72,17,19,1,0,17,1,1,11,26,64,25,19,12,1,160,64,-1,-1,1,15,22,74,11,1,17,19,12,57,0.010219360587200996,0.21060014526740273,0.2545746115162506,0.3347802299024599,0.03841610291191209,0.016654028925644472,0.07034908616634014,0.06440643472278894,9.591704649943237e-05,0.20525689116753545,0.20141040102666122,0.4797888518133463,0.0467687157337642,0.006960874214829802,0.03953772385940359,0.02018062513796,0.0049283937268724855,0.050192177814335326,0.10165206504380593,0.4971347934117005,0.08983696691181343,0.008031135556117756,0.13207469118872134,0.11614977634663308,0.011523511974222977,0.06144784312469676,0.12801843210210373,0.4389702376981312,0.055200027389214285,0.011814243791861183,0.11137174458914492,0.18165395933062506,1.0,-2.0,-3.0,-2.0,6.0,0.0,2.0,-2.0
DE LA ARAUCANIA,PITRUFQUEN,ESCUELA JUAN BAUTISTA CHESTA,21M,0,12,20,89,16,18,0,3,17,3,2,13,19,75,27,25,11,3,175,64,-1,-1,1,15,24,80,12,2,19,22,15,66,0.010219360587200996,0.21060014526740273,0.2545746115162506,0.3347802299024599,0.03841610291191209,0.016654028925644472,0.07034908616634014,0.06440643472278894,9.591704649943237e-05,0.20525689116753545,0.20141040102666122,0.4797888518133463,0.0467687157337642,0.006960874214829802,0.03953772385940359,0.02018062513796,0.0049283937268724855,0.050192177814335326,0.10165206504380593,0.4971347934117005,0.08983696691181343,0.008031135556117756,0.13207469118872134,0.11614977634663308,0.011523511974222977,0.06144784312469676,0.12801843210210373,0.4389702376981312,0.055200027389214285,0.011814243791861183,0.11137174458914492,0.18165395933062506,-1.0,-3.0,-4.0,9.0,4.0,1.0,-1.0,-5.0
DE LA ARAUCANIA,PITRUFQUEN,ESCUELA JUAN BAUTISTA CHESTA,22M,1,15,25,85,7,18,0,3,18,3,2,10,46,31,41,27,11,4,172,64,-1,-1,1,19,26,78,10,2,16,20,12,83,0.010219360587200996,0.21060014526740273,0.2545746115162506,0.3347802299024599,0.03841610291191209,0.016654028925644472,0.07034908616634014,0.06440643472278894,9.591704649943237e-05,0.20525689116753545,0.20141040102666122,0.4797888518133463,0.0467687157337642,0.006960874214829802,0.03953772385940359,0.02018062513796,0.0049283937268724855,0.050192177814335326,0.10165206504380593,0.4971347934117005,0.08983696691181343,0.008031135556117756,0.13207469118872134,0.11614977634663308,0.011523511974222977,0.06144784312469676,0.12801843210210373,0.4389702376981312,0.055200027389214285,0.011814243791861183,0.11137174458914492,0.18165395933062506,0.0,-4.0,-1.0,7.0,-3.0,1.0,2.0,-2.0
DE LA ARAUCANIA,PITRUFQUEN,ESCUELA JUAN BAUTISTA CHESTA,23M,2,15,31,89,10,22,0,0,14,0,2,9,59,37,39,20,11,5,183,64,-1,-1,1,21,28,84,11,2,16,20,11,75,0.010219360587200996,0.21060014526740273,0.2545746115162506,0.3347802299024599,0.03841610291191209,0.016654028925644472,0.07034908616634014,0.06440643472278894,9.591704649943237e-05,0.20525689116753545,0.20141040102666122,0.4797888518133463,0.0467687157337642,0.006960874214829802,0.03953772385940359,0.02018062513796,0.0049283937268724855,0.050192177814335326,0.10165206504380593,0.4971347934117005,0.08983696691181343,0.008031135556117756,0.13207469118872134,0.11614977634663308,0.011523511974222977,0.06144784312469676,0.12801843210210373,0.4389702376981312,0.055200027389214285,0.011814243791861183,0.11137174458914492,0.18165395933062506,1.0,-6.0,3.0,5.0,-1.0,-2.0,6.0,-6.0
DE LA ARAUCANIA,PITRUFQUEN,ESCUELA JUAN BAUTISTA CHESTA,24M,2,19,35,77,17,16,1,0,19,1,1,11,68,44,27,20,11,4,186,64,-1,-1,1,22,29,86,11,2,16,19,12,62,0.010219360587200996,0.21060014526740273,0.2545746115162506,0.3347802299024599,0.03841610291191209,0.016654028925644472,0.07034908616634014,0.06440643472278894,9.591704649943237e-05,0.20525689116753545,0.20141040102666122,0.4797888518133463,0.0467687157337642,0.006960874214829802,0.03953772385940359,0.02018062513796,0.0049283937268724855,0.050192177814335326,0.10165206504380593,0.4971347934117005,0.08983696691181343,0.008031135556117756,0.13207469118872134,0.11614977634663308,0.011523511974222977,0.06144784312469676,0.12801843210210373,0.4389702376981312,0.055200027389214285,0.011814243791861183,0.11137174458914492,0.18165395933062506,1.0,-3.0,6.0,-9.0,6.0,-1.0,0.0,0.0
DE LA ARAUCANIA,PITRUFQUEN,ESCUELA JUAN BAUTISTA CHESTA,25M,2,22,24,71,17,26,0,0,18,0,4,11,70,36,22,22,14,1,180,64,-1,-1,1,23,29,83,10,2,15,17,15,59,0.010219360587200996,0.21060014526740273,0.2545746115162506,0.3347802299024599,0.03841610291191209,0.016654028925644472,0.07034908616634014,0.06440643472278894,9.591704649943237e-05,0.20525689116753545,0.20141040102666122,0.4797888518133463,0.0467687157337642,0.006960874214829802,0.03953772385940359,0.02018062513796,0.0049283937268724855,0.050192177814335326,0.10165206504380593,0.4971347934117005,0.08983696691181343,0.008031135556117756,0.13207469118872134,0.11614977634663308,0.011523511974222977,0.06144784312469676,0.12801843210210373,0.4389702376981312,0.055200027389214285,0.011814243791861183,0.11137174458914492,0.18165395933062506,1.0,-1.0,-5.0,-12.0,7.0,-2.0,11.0,1.0
DE LA ARAUCANIA,PITRUFQUEN,ESCUELA JUAN BAUTISTA CHESTA,26M,0,17,24,87,5,16,0,1,21,1,4,17,57,27,28,22,14,2,171,64,-1,-1,1,21,28,77,9,2,15,18,21,66,0.010219360587200996,0.21060014526740273,0.2545746115162506,0.3347802299024599,0.03841610291191209,0.016654028925644472,0.07034908616634014,0.06440643472278894,9.591704649943237e-05,0.20525689116753545,0.20141040102666122,0.4797888518133463,0.0467687157337642,0.006960874214829802,0.03953772385940359,0.02018062513796,0.0049283937268724855,0.050192177814335326,0.10165206504380593,0.4971347934117005,0.08983696691181343,0.008031135556117756,0.13207469118872134,0.11614977634663308,0.011523511974222977,0.06144784312469676,0.12801843210210373,0.4389702376981312,0.055200027389214285,0.011814243791861183,0.11137174458914492,0.18165395933062506,-1.0,-4.0,-4.0,10.0,-4.0,-1.0,1.0,3.0
DE LA ARAUCANIA,PITRUFQUEN,ESCUELA JUAN BAUTISTA CHESTA,34,2,17,23,54,9,15,0,0,15,0,5,52,15,19,20,13,8,3,135,64,-1,-1,1,19,25,55,7,2,12,14,57,44,0.010219360587200996,0.21060014526740273,0.2545746115162506,0.3347802299024599,0.03841610291191209,0.016654028925644472,0.07034908616634014,0.06440643472278894,9.591704649943237e-05,0.20525689116753545,0.20141040102666122,0.4797888518133463,0.0467687157337642,0.006960874214829802,0.03953772385940359,0.02018062513796,0.0049283937268724855,0.050192177814335326,0.10165206504380593,0.4971347934117005,0.08983696691181343,0.008031135556117756,0.13207469118872134,0.11614977634663308,0.011523511974222977,0.06144784312469676,0.12801843210210373,0.4389702376981312,0.055200027389214285,0.011814243791861183,0.11137174458914492,0.18165395933062506,1.0,-2.0,-2.0,-1.0,2.0,-2.0,3.0,1.0
