REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,19,1,21,10,65,5,13,1,1,17,2,1,7,5,73,47,0,0,0,134,59,-1,-1,1,29,12,55,9,1,14,13,8,47,0.024247673136629642,0.36417755143902325,0.17877602392222167,0.2794713711123503,0.04892450417730025,0.0032755735214343384,0.0706454048223162,0.03048189786872417,0.0005713040446049262,0.3483066870820964,0.095727267824658,0.38627750144818523,0.04181222036705198,0.006983424483041356,0.08457211973112372,0.03574947501923843,0.001869080948969909,0.2430487998428474,0.08227798358372687,0.443520722610689,0.05689519919667922,0.003810122985984786,0.09370519069470919,0.07487290013639357,0.011957217669341984,0.1353167935339444,0.09392742786759609,0.3921894488004854,0.08481500587241524,0.023076917405561285,0.11813950881073024,0.1405776800399253,0.0,-8.0,-2.0,10.0,-4.0,1.0,-1.0,4.0
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,20,2,30,12,35,10,9,0,0,9,0,0,17,26,33,31,0,0,0,107,59,-1,-1,1,28,11,42,6,1,10,8,17,31,0.024247673136629642,0.36417755143902325,0.17877602392222167,0.2794713711123503,0.04892450417730025,0.0032755735214343384,0.0706454048223162,0.03048189786872417,0.0005713040446049262,0.3483066870820964,0.095727267824658,0.38627750144818523,0.04181222036705198,0.006983424483041356,0.08457211973112372,0.03574947501923843,0.001869080948969909,0.2430487998428474,0.08227798358372687,0.443520722610689,0.05689519919667922,0.003810122985984786,0.09370519069470919,0.07487290013639357,0.011957217669341984,0.1353167935339444,0.09392742786759609,0.3921894488004854,0.08481500587241524,0.023076917405561285,0.11813950881073024,0.1405776800399253,1.0,2.0,1.0,-7.0,4.0,-1.0,-1.0,1.0
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,21,1,35,13,46,4,14,0,0,5,0,0,4,74,31,8,1,0,0,118,59,-1,-1,0,36,11,47,6,1,11,6,4,9,0.024247673136629642,0.36417755143902325,0.17877602392222167,0.2794713711123503,0.04892450417730025,0.0032755735214343384,0.0706454048223162,0.03048189786872417,0.0005713040446049262,0.3483066870820964,0.095727267824658,0.38627750144818523,0.04181222036705198,0.006983424483041356,0.08457211973112372,0.03574947501923843,0.001869080948969909,0.2430487998428474,0.08227798358372687,0.443520722610689,0.05689519919667922,0.003810122985984786,0.09370519069470919,0.07487290013639357,0.011957217669341984,0.1353167935339444,0.09392742786759609,0.3921894488004854,0.08481500587241524,0.023076917405561285,0.11813950881073024,0.1405776800399253,1.0,-1.0,2.0,-1.0,-2.0,-1.0,3.0,-1.0
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,22,0,37,15,43,8,5,0,1,7,1,3,6,46,61,1,0,0,0,116,59,-1,-1,0,34,11,47,6,1,10,7,9,1,0.024247673136629642,0.36417755143902325,0.17877602392222167,0.2794713711123503,0.04892450417730025,0.0032755735214343384,0.0706454048223162,0.03048189786872417,0.0005713040446049262,0.3483066870820964,0.095727267824658,0.38627750144818523,0.04181222036705198,0.006983424483041356,0.08457211973112372,0.03574947501923843,0.001869080948969909,0.2430487998428474,0.08227798358372687,0.443520722610689,0.05689519919667922,0.003810122985984786,0.09370519069470919,0.07487290013639357,0.011957217669341984,0.1353167935339444,0.09392742786759609,0.3921894488004854,0.08481500587241524,0.023076917405561285,0.11813950881073024,0.1405776800399253,0.0,3.0,4.0,-4.0,2.0,0.0,-5.0,0.0
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,23,1,32,15,39,8,14,2,1,6,3,0,18,46,31,22,0,0,0,118,59,-1,-1,1,33,12,46,6,1,11,8,18,22,0.024247673136629642,0.36417755143902325,0.17877602392222167,0.2794713711123503,0.04892450417730025,0.0032755735214343384,0.0706454048223162,0.03048189786872417,0.0005713040446049262,0.3483066870820964,0.095727267824658,0.38627750144818523,0.04181222036705198,0.006983424483041356,0.08457211973112372,0.03574947501923843,0.001869080948969909,0.2430487998428474,0.08227798358372687,0.443520722610689,0.05689519919667922,0.003810122985984786,0.09370519069470919,0.07487290013639357,0.011957217669341984,0.1353167935339444,0.09392742786759609,0.3921894488004854,0.08481500587241524,0.023076917405561285,0.11813950881073024,0.1405776800399253,0.0,-1.0,3.0,-7.0,2.0,2.0,3.0,-2.0
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,24,1,32,17,56,13,13,0,0,7,0,3,18,28,61,29,0,0,0,139,59,-1,-1,1,36,14,55,8,1,13,11,21,29,0.024247673136629642,0.36417755143902325,0.17877602392222167,0.2794713711123503,0.04892450417730025,0.0032755735214343384,0.0706454048223162,0.03048189786872417,0.0005713040446049262,0.3483066870820964,0.095727267824658,0.38627750144818523,0.04181222036705198,0.006983424483041356,0.08457211973112372,0.03574947501923843,0.001869080948969909,0.2430487998428474,0.08227798358372687,0.443520722610689,0.05689519919667922,0.003810122985984786,0.09370519069470919,0.07487290013639357,0.011957217669341984,0.1353167935339444,0.09392742786759609,0.3921894488004854,0.08481500587241524,0.023076917405561285,0.11813950881073024,0.1405776800399253,0.0,-4.0,3.0,1.0,5.0,-1.0,0.0,-4.0
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,25,1,22,14,55,7,7,1,0,9,1,2,1,21,60,26,0,6,0,116,59,-1,-1,1,27,11,48,7,1,11,10,3,32,0.024247673136629642,0.36417755143902325,0.17877602392222167,0.2794713711123503,0.04892450417730025,0.0032755735214343384,0.0706454048223162,0.03048189786872417,0.0005713040446049262,0.3483066870820964,0.095727267824658,0.38627750144818523,0.04181222036705198,0.006983424483041356,0.08457211973112372,0.03574947501923843,0.001869080948969909,0.2430487998428474,0.08227798358372687,0.443520722610689,0.05689519919667922,0.003810122985984786,0.09370519069470919,0.07487290013639357,0.011957217669341984,0.1353167935339444,0.09392742786759609,0.3921894488004854,0.08481500587241524,0.023076917405561285,0.11813950881073024,0.1405776800399253,0.0,-5.0,3.0,7.0,0.0,0.0,-4.0,-1.0
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,26,0,39,8,49,5,10,0,1,5,1,1,2,77,32,5,0,0,0,117,59,-1,-1,0,36,11,47,6,1,10,6,3,5,0.024247673136629642,0.36417755143902325,0.17877602392222167,0.2794713711123503,0.04892450417730025,0.0032755735214343384,0.0706454048223162,0.03048189786872417,0.0005713040446049262,0.3483066870820964,0.095727267824658,0.38627750144818523,0.04181222036705198,0.006983424483041356,0.08457211973112372,0.03574947501923843,0.001869080948969909,0.2430487998428474,0.08227798358372687,0.443520722610689,0.05689519919667922,0.003810122985984786,0.09370519069470919,0.07487290013639357,0.011957217669341984,0.1353167935339444,0.09392742786759609,0.3921894488004854,0.08481500587241524,0.023076917405561285,0.11813950881073024,0.1405776800399253,0.0,3.0,-3.0,2.0,-1.0,0.0,0.0,-1.0
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,27,1,40,16,43,6,10,0,1,6,1,0,22,33,56,8,2,0,1,123,59,-1,-1,1,35,13,48,6,1,11,8,22,11,0.024247673136629642,0.36417755143902325,0.17877602392222167,0.2794713711123503,0.04892450417730025,0.0032755735214343384,0.0706454048223162,0.03048189786872417,0.0005713040446049262,0.3483066870820964,0.095727267824658,0.38627750144818523,0.04181222036705198,0.006983424483041356,0.08457211973112372,0.03574947501923843,0.001869080948969909,0.2430487998428474,0.08227798358372687,0.443520722610689,0.05689519919667922,0.003810122985984786,0.09370519069470919,0.07487290013639357,0.011957217669341984,0.1353167935339444,0.09392742786759609,0.3921894488004854,0.08481500587241524,0.023076917405561285,0.11813950881073024,0.1405776800399253,0.0,5.0,3.0,-5.0,0.0,0.0,-1.0,-2.0
DEL BIOBIO,PAILLIHUE,COLEGIO MARIA INMACULADA DE LOS ANGELES,28,0,25,14,35,6,11,1,0,3,1,7,25,43,5,15,0,0,0,95,59,-1,-1,1,30,12,33,5,1,8,5,32,15,0.024247673136629642,0.36417755143902325,0.17877602392222167,0.2794713711123503,0.04892450417730025,0.0032755735214343384,0.0706454048223162,0.03048189786872417,0.0005713040446049262,0.3483066870820964,0.095727267824658,0.38627750144818523,0.04181222036705198,0.006983424483041356,0.08457211973112372,0.03574947501923843,0.001869080948969909,0.2430487998428474,0.08227798358372687,0.443520722610689,0.05689519919667922,0.003810122985984786,0.09370519069470919,0.07487290013639357,0.011957217669341984,0.1353167935339444,0.09392742786759609,0.3921894488004854,0.08481500587241524,0.023076917405561285,0.11813950881073024,0.1405776800399253,-1.0,-5.0,2.0,2.0,1.0,0.0,3.0,-2.0
