REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,1M,2,35,27,19,12,16,4,3,23,7,1,4,4,4,2,2,4,6,4,31,3,41,2,26,0,10,141,14,-1,-1,3,27,36,22,10,5,10,28,27,117,0.01194326361314385,0.29863923665683934,0.26220504681693363,0.2280220457449774,0.05653177820917315,0.007042335340644235,0.03602892494352248,0.09958736867476596,0.020731704963192328,0.16791176751932368,0.25207490673982663,0.14022515786951692,0.07181864416927838,0.044543617700952526,0.08193571843139093,0.22075848260651856,-1.0,8.0,-9.0,-3.0,2.0,2.0,6.0,-5.0
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,1V,4,14,26,23,8,7,3,2,27,5,1,2,5,2,2,2,3,6,22,3,34,2,20,0,8,0,114,14,-1,-1,2,22,29,18,8,4,8,23,23,89,0.01194326361314385,0.29863923665683934,0.26220504681693363,0.2280220457449774,0.05653177820917315,0.007042335340644235,0.03602892494352248,0.09958736867476596,0.020731704963192328,0.16791176751932368,0.25207490673982663,0.14022515786951692,0.07181864416927838,0.044543617700952526,0.08193571843139093,0.22075848260651856,2.0,-8.0,-3.0,5.0,0.0,1.0,-1.0,4.0
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,2M,2,30,34,22,13,6,2,3,22,5,0,2,1,2,4,4,3,2,5,43,6,41,1,12,1,7,134,14,-1,-1,3,25,34,20,9,5,10,28,18,116,0.01194326361314385,0.29863923665683934,0.26220504681693363,0.2280220457449774,0.05653177820917315,0.007042335340644235,0.03602892494352248,0.09958736867476596,0.020731704963192328,0.16791176751932368,0.25207490673982663,0.14022515786951692,0.07181864416927838,0.044543617700952526,0.08193571843139093,0.22075848260651856,-1.0,5.0,0.0,2.0,4.0,0.0,-4.0,-6.0
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,2V,3,16,43,16,7,11,1,1,27,2,0,3,4,2,0,16,1,9,18,1,42,5,18,2,4,0,125,14,-1,-1,2,26,32,21,8,4,9,23,35,90,0.01194326361314385,0.29863923665683934,0.26220504681693363,0.2280220457449774,0.05653177820917315,0.007042335340644235,0.03602892494352248,0.09958736867476596,0.020731704963192328,0.16791176751932368,0.25207490673982663,0.14022515786951692,0.07181864416927838,0.044543617700952526,0.08193571843139093,0.22075848260651856,1.0,-10.0,11.0,-5.0,-1.0,-2.0,2.0,4.0
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,3M,1,36,25,28,8,6,4,2,26,6,2,2,2,0,6,4,19,29,1,39,2,18,1,9,1,1,136,14,-1,-1,2,31,35,25,9,4,8,22,64,72,0.01194326361314385,0.29863923665683934,0.26220504681693363,0.2280220457449774,0.05653177820917315,0.007042335340644235,0.03602892494352248,0.09958736867476596,0.020731704963192328,0.16791176751932368,0.25207490673982663,0.14022515786951692,0.07181864416927838,0.044543617700952526,0.08193571843139093,0.22075848260651856,-1.0,5.0,-10.0,3.0,-1.0,2.0,-2.0,4.0
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,3V,0,31,34,14,5,7,1,1,17,2,0,1,0,6,0,33,9,1,23,1,21,2,11,1,1,0,110,14,-1,-1,2,25,28,20,7,3,7,18,50,60,0.01194326361314385,0.29863923665683934,0.26220504681693363,0.2280220457449774,0.05653177820917315,0.007042335340644235,0.03602892494352248,0.09958736867476596,0.020731704963192328,0.16791176751932368,0.25207490673982663,0.14022515786951692,0.07181864416927838,0.044543617700952526,0.08193571843139093,0.22075848260651856,-2.0,6.0,6.0,-6.0,-2.0,-1.0,0.0,-1.0
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,4M,3,40,21,21,8,3,2,2,14,4,1,0,3,5,26,2,3,36,3,13,2,9,4,7,0,1,114,14,-1,-1,2,29,29,23,7,2,6,16,76,39,0.01194326361314385,0.29863923665683934,0.26220504681693363,0.2280220457449774,0.05653177820917315,0.007042335340644235,0.03602892494352248,0.09958736867476596,0.020731704963192328,0.16791176751932368,0.25207490673982663,0.14022515786951692,0.07181864416927838,0.044543617700952526,0.08193571843139093,0.22075848260651856,1.0,11.0,-8.0,-2.0,1.0,2.0,-3.0,-2.0
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,4V,1,41,30,27,4,6,0,1,28,1,0,0,2,32,2,11,25,1,20,6,15,4,11,4,7,0,138,14,-1,-1,2,33,35,26,9,3,8,22,73,67,0.01194326361314385,0.29863923665683934,0.26220504681693363,0.2280220457449774,0.05653177820917315,0.007042335340644235,0.03602892494352248,0.09958736867476596,0.020731704963192328,0.16791176751932368,0.25207490673982663,0.14022515786951692,0.07181864416927838,0.044543617700952526,0.08193571843139093,0.22075848260651856,-1.0,8.0,-5.0,1.0,-5.0,-2.0,-2.0,6.0
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,5M,0,36,35,26,13,10,1,2,16,3,0,0,18,1,7,27,1,42,6,12,3,6,1,15,0,0,139,14,-1,-1,2,36,36,28,8,3,7,19,96,43,0.01194326361314385,0.29863923665683934,0.26220504681693363,0.2280220457449774,0.05653177820917315,0.007042335340644235,0.03602892494352248,0.09958736867476596,0.020731704963192328,0.16791176751932368,0.25207490673982663,0.14022515786951692,0.07181864416927838,0.044543617700952526,0.08193571843139093,0.22075848260651856,-2.0,0.0,-1.0,-2.0,5.0,0.0,3.0,-3.0
DE COQUIMBO,LA HIGUERA,ESCUELA BASICA PEDRO PABLO MUNOZ,5V,0,23,34,27,7,3,1,2,24,3,2,1,5,10,7,10,17,15,19,5,16,0,10,1,2,1,121,14,-1,-1,2,29,31,23,8,3,7,18,67,54,0.01194326361314385,0.29863923665683934,0.26220504681693363,0.2280220457449774,0.05653177820917315,0.007042335340644235,0.03602892494352248,0.09958736867476596,0.020731704963192328,0.16791176751932368,0.25207490673982663,0.14022515786951692,0.07181864416927838,0.044543617700952526,0.08193571843139093,0.22075848260651856,-2.0,-6.0,3.0,4.0,-1.0,0.0,-4.0,6.0
