REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,50+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,SAN CLEMENTE,COLEGIO CLEMENTINOS,33M,2,21,29,58,12,13,0,0,22,0,3,15,11,77,27,14,5,5,157,104,-1,-1,2,21,27,49,10,3,19,26,18,51,0.0007431250313624063,0.2720153041246194,0.2558192298317305,0.24338782846056156,0.05494277263258931,0.01651210384237572,0.09270502355930742,0.06387461251745359,0.009083777748758647,0.2668606212183128,0.18066974548937914,0.31278605339315474,0.055692283214120425,0.0019131400319146294,0.08469048281983323,0.08830389608452639,0.01787494374606983,0.11230568123070686,0.15529737771706548,0.3673688827044641,0.0550525468767977,0.015878491341543427,0.12028169550378993,0.15594038087956275,0.008291878689521403,0.0928271398489365,0.16059708350942575,0.2535274722201388,0.08941126263218513,0.027799612258326608,0.12911498759041878,0.23843056325104692,0.0,0.0,2.0,9.0,2.0,-3.0,-6.0,-4.0
DEL MAULE,SAN CLEMENTE,COLEGIO CLEMENTINOS,34M,2,1,35,55,7,14,1,0,22,1,1,10,25,62,34,22,7,1,137,104,-1,-1,2,19,23,42,9,2,16,24,11,64,0.0007431250313624063,0.2720153041246194,0.2558192298317305,0.24338782846056156,0.05494277263258931,0.01651210384237572,0.09270502355930742,0.06387461251745359,0.009083777748758647,0.2668606212183128,0.18066974548937914,0.31278605339315474,0.055692283214120425,0.0019131400319146294,0.08469048281983323,0.08830389608452639,0.01787494374606983,0.11230568123070686,0.15529737771706548,0.3673688827044641,0.0550525468767977,0.015878491341543427,0.12028169550378993,0.15594038087956275,0.008291878689521403,0.0928271398489365,0.16059708350942575,0.2535274722201388,0.08941126263218513,0.027799612258326608,0.12911498759041878,0.23843056325104692,0.0,-18.0,12.0,13.0,-2.0,-1.0,-2.0,-2.0
DEL MAULE,SAN CLEMENTE,COLEGIO CLEMENTINOS,35M,11,4,32,49,15,17,4,4,24,8,1,18,21,50,42,12,10,2,160,104,-1,-1,2,23,28,47,11,3,19,27,19,66,0.0007431250313624063,0.2720153041246194,0.2558192298317305,0.24338782846056156,0.05494277263258931,0.01651210384237572,0.09270502355930742,0.06387461251745359,0.009083777748758647,0.2668606212183128,0.18066974548937914,0.31278605339315474,0.055692283214120425,0.0019131400319146294,0.08469048281983323,0.08830389608452639,0.01787494374606983,0.11230568123070686,0.15529737771706548,0.3673688827044641,0.0550525468767977,0.015878491341543427,0.12028169550378993,0.15594038087956275,0.008291878689521403,0.0928271398489365,0.16059708350942575,0.2535274722201388,0.08941126263218513,0.027799612258326608,0.12911498759041878,0.23843056325104692,9.0,-19.0,4.0,2.0,4.0,5.0,-2.0,-3.0
DEL MAULE,SAN CLEMENTE,COLEGIO CLEMENTINOS,36M,0,16,28,35,9,20,1,2,28,3,0,18,45,30,21,16,7,2,139,104,-1,-1,1,25,25,41,9,2,15,21,18,46,0.0007431250313624063,0.2720153041246194,0.2558192298317305,0.24338782846056156,0.05494277263258931,0.01651210384237572,0.09270502355930742,0.06387461251745359,0.009083777748758647,0.2668606212183128,0.18066974548937914,0.31278605339315474,0.055692283214120425,0.0019131400319146294,0.08469048281983323,0.08830389608452639,0.01787494374606983,0.11230568123070686,0.15529737771706548,0.3673688827044641,0.0550525468767977,0.015878491341543427,0.12028169550378993,0.15594038087956275,0.008291878689521403,0.0928271398489365,0.16059708350942575,0.2535274722201388,0.08941126263218513,0.027799612258326608,0.12911498759041878,0.23843056325104692,-1.0,-9.0,3.0,-6.0,0.0,1.0,5.0,7.0
DEL MAULE,SAN CLEMENTE,COLEGIO CLEMENTINOS,37M,2,29,32,55,9,19,0,0,28,0,5,19,46,44,29,25,4,2,174,104,-1,-1,2,29,31,51,12,3,19,27,24,60,0.0007431250313624063,0.2720153041246194,0.2558192298317305,0.24338782846056156,0.05494277263258931,0.01651210384237572,0.09270502355930742,0.06387461251745359,0.009083777748758647,0.2668606212183128,0.18066974548937914,0.31278605339315474,0.055692283214120425,0.0019131400319146294,0.08469048281983323,0.08830389608452639,0.01787494374606983,0.11230568123070686,0.15529737771706548,0.3673688827044641,0.0550525468767977,0.015878491341543427,0.12028169550378993,0.15594038087956275,0.008291878689521403,0.0928271398489365,0.16059708350942575,0.2535274722201388,0.08941126263218513,0.027799612258326608,0.12911498759041878,0.23843056325104692,0.0,0.0,1.0,4.0,-3.0,-3.0,0.0,1.0
DEL MAULE,SAN CLEMENTE,COLEGIO CLEMENTINOS,38M,1,18,31,50,12,16,0,1,32,1,1,11,61,35,23,15,12,3,161,104,-1,-1,2,29,28,48,11,2,17,24,12,53,0.0007431250313624063,0.2720153041246194,0.2558192298317305,0.24338782846056156,0.05494277263258931,0.01651210384237572,0.09270502355930742,0.06387461251745359,0.009083777748758647,0.2668606212183128,0.18066974548937914,0.31278605339315474,0.055692283214120425,0.0019131400319146294,0.08469048281983323,0.08830389608452639,0.01787494374606983,0.11230568123070686,0.15529737771706548,0.3673688827044641,0.0550525468767977,0.015878491341543427,0.12028169550378993,0.15594038087956275,0.008291878689521403,0.0928271398489365,0.16059708350942575,0.2535274722201388,0.08941126263218513,0.027799612258326608,0.12911498759041878,0.23843056325104692,-1.0,-11.0,3.0,2.0,1.0,-1.0,-1.0,8.0
DEL MAULE,SAN CLEMENTE,COLEGIO CLEMENTINOS,39M,1,21,25,52,14,21,1,2,33,3,1,9,68,24,36,20,8,4,170,104,-1,-1,2,30,29,50,12,2,18,27,10,68,0.0007431250313624063,0.2720153041246194,0.2558192298317305,0.24338782846056156,0.05494277263258931,0.01651210384237572,0.09270502355930742,0.06387461251745359,0.009083777748758647,0.2668606212183128,0.18066974548937914,0.31278605339315474,0.055692283214120425,0.0019131400319146294,0.08469048281983323,0.08830389608452639,0.01787494374606983,0.11230568123070686,0.15529737771706548,0.3673688827044641,0.0550525468767977,0.015878491341543427,0.12028169550378993,0.15594038087956275,0.008291878689521403,0.0928271398489365,0.16059708350942575,0.2535274722201388,0.08941126263218513,0.027799612258326608,0.12911498759041878,0.23843056325104692,-1.0,-9.0,-4.0,2.0,2.0,1.0,3.0,6.0
DEL MAULE,SAN CLEMENTE,COLEGIO CLEMENTINOS,40M,1,31,34,47,11,27,0,2,31,2,4,20,58,44,18,22,11,6,184,104,-1,-1,2,32,33,55,12,3,20,27,24,57,0.0007431250313624063,0.2720153041246194,0.2558192298317305,0.24338782846056156,0.05494277263258931,0.01651210384237572,0.09270502355930742,0.06387461251745359,0.009083777748758647,0.2668606212183128,0.18066974548937914,0.31278605339315474,0.055692283214120425,0.0019131400319146294,0.08469048281983323,0.08830389608452639,0.01787494374606983,0.11230568123070686,0.15529737771706548,0.3673688827044641,0.0550525468767977,0.015878491341543427,0.12028169550378993,0.15594038087956275,0.008291878689521403,0.0928271398489365,0.16059708350942575,0.2535274722201388,0.08941126263218513,0.027799612258326608,0.12911498759041878,0.23843056325104692,-1.0,-1.0,1.0,-8.0,-1.0,-1.0,7.0,4.0
DEL MAULE,SAN CLEMENTE,COLEGIO CLEMENTINOS,41M,1,30,31,50,22,29,0,2,28,2,2,22,72,42,28,17,8,2,193,104,-1,-1,2,36,34,58,13,3,20,27,24,55,0.0007431250313624063,0.2720153041246194,0.2558192298317305,0.24338782846056156,0.05494277263258931,0.01651210384237572,0.09270502355930742,0.06387461251745359,0.009083777748758647,0.2668606212183128,0.18066974548937914,0.31278605339315474,0.055692283214120425,0.0019131400319146294,0.08469048281983323,0.08830389608452639,0.01787494374606983,0.11230568123070686,0.15529737771706548,0.3673688827044641,0.0550525468767977,0.015878491341543427,0.12028169550378993,0.15594038087956275,0.008291878689521403,0.0928271398489365,0.16059708350942575,0.2535274722201388,0.08941126263218513,0.027799612258326608,0.12911498759041878,0.23843056325104692,-1.0,-6.0,-3.0,-8.0,9.0,-1.0,9.0,1.0
DEL MAULE,SAN CLEMENTE,COLEGIO CLEMENTINOS,42M,0,28,17,24,6,11,0,1,11,1,2,10,72,5,6,3,0,0,98,104,-1,-1,1,24,18,29,6,1,9,10,12,9,0.0007431250313624063,0.2720153041246194,0.2558192298317305,0.24338782846056156,0.05494277263258931,0.01651210384237572,0.09270502355930742,0.06387461251745359,0.009083777748758647,0.2668606212183128,0.18066974548937914,0.31278605339315474,0.055692283214120425,0.0019131400319146294,0.08469048281983323,0.08830389608452639,0.01787494374606983,0.11230568123070686,0.15529737771706548,0.3673688827044641,0.0550525468767977,0.015878491341543427,0.12028169550378993,0.15594038087956275,0.008291878689521403,0.0928271398489365,0.16059708350942575,0.2535274722201388,0.08941126263218513,0.027799612258326608,0.12911498759041878,0.23843056325104692,-1.0,4.0,-1.0,-5.0,0.0,0.0,2.0,1.0
