REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18+,P_EDUARDO ARTES_18+,P_FRANCO ALDO PARISI_18+,P_GABRIEL BORIC_18+,P_JOSE ANTONIO KAST_18+,P_MARCO ENRIQUEZ-OMINAMI_18+,P_NULO BLANCO_18+,P_SEBASTIAN SICHEL_18+,P_YASNA PROVOSTE_18+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE COQUIMBO,PUNITAQUI,ESCUELA BELGICA,10M,2,47,28,26,13,11,4,1,15,5,2,16,8,47,44,26,6,0,147,32,-1,-1,1,44,29,24,10,3,11,25,149,0.007503297744874581,0.3010721719121279,0.19825147581433386,0.16504174670186447,0.0634159186171762,0.021542130061879442,0.07163977012285686,0.17153348902488672,1.0,3.0,-1.0,2.0,3.0,2.0,0.0,-10.0
DE COQUIMBO,PUNITAQUI,ESCUELA BELGICA,11M,1,47,16,13,5,15,3,1,33,4,1,26,2,44,27,20,12,2,134,32,-1,-1,1,40,27,22,8,3,10,23,134,0.007503297744874581,0.3010721719121279,0.19825147581433386,0.16504174670186447,0.0634159186171762,0.021542130061879442,0.07163977012285686,0.17153348902488672,0.0,7.0,-11.0,-9.0,-3.0,1.0,5.0,10.0
DE COQUIMBO,PUNITAQUI,ESCUELA BELGICA,12M,2,50,32,21,5,17,0,2,18,2,1,25,15,33,32,29,9,3,147,32,-1,-1,1,44,29,24,10,3,11,25,147,0.007503297744874581,0.3010721719121279,0.19825147581433386,0.16504174670186447,0.0634159186171762,0.021542130061879442,0.07163977012285686,0.17153348902488672,1.0,6.0,3.0,-3.0,-5.0,-1.0,6.0,-7.0
DE COQUIMBO,PUNITAQUI,ESCUELA BELGICA,13M,1,35,32,24,10,12,0,2,29,2,2,6,15,42,42,26,8,4,145,32,-1,-1,1,44,29,24,9,3,10,25,145,0.007503297744874581,0.3010721719121279,0.19825147581433386,0.16504174670186447,0.0634159186171762,0.021542130061879442,0.07163977012285686,0.17153348902488672,0.0,-9.0,3.0,0.0,1.0,-1.0,2.0,4.0
DE COQUIMBO,PUNITAQUI,ESCUELA BELGICA,14M,0,44,31,22,12,17,0,2,30,2,4,5,32,36,29,37,10,5,158,32,-1,-1,1,48,31,26,10,4,11,27,158,0.007503297744874581,0.3010721719121279,0.19825147581433386,0.16504174670186447,0.0634159186171762,0.021542130061879442,0.07163977012285686,0.17153348902488672,-1.0,-4.0,0.0,-4.0,2.0,-2.0,6.0,3.0
DE COQUIMBO,PUNITAQUI,ESCUELA BELGICA,15M,0,44,27,34,6,12,0,1,18,1,4,23,35,31,23,14,9,3,142,32,-1,-1,1,43,28,24,9,3,10,24,142,0.007503297744874581,0.3010721719121279,0.19825147581433386,0.16504174670186447,0.0634159186171762,0.021542130061879442,0.07163977012285686,0.17153348902488672,-1.0,1.0,-1.0,10.0,-3.0,-2.0,2.0,-6.0
DE COQUIMBO,PUNITAQUI,ESCUELA BELGICA,1M,1,36,14,15,7,10,1,1,11,2,4,16,8,4,12,28,18,6,96,32,-1,-1,1,29,19,16,6,2,7,16,96,0.007503297744874581,0.3010721719121279,0.19825147581433386,0.16504174670186447,0.0634159186171762,0.021542130061879442,0.07163977012285686,0.17153348902488672,0.0,7.0,-5.0,-1.0,1.0,0.0,3.0,-5.0
DE COQUIMBO,PUNITAQUI,ESCUELA BELGICA,1V,1,21,19,22,8,7,0,4,18,4,4,17,3,3,22,28,14,9,100,32,-1,-1,1,30,20,17,6,2,7,17,100,0.007503297744874581,0.3010721719121279,0.19825147581433386,0.16504174670186447,0.0634159186171762,0.021542130061879442,0.07163977012285686,0.17153348902488672,0.0,-9.0,-1.0,5.0,2.0,2.0,0.0,1.0
DE COQUIMBO,PUNITAQUI,ESCUELA BELGICA,2M,1,25,17,25,9,10,0,2,23,2,3,6,5,2,28,36,25,7,112,32,-1,-1,1,34,22,19,7,2,8,19,112,0.007503297744874581,0.3010721719121279,0.19825147581433386,0.16504174670186447,0.0634159186171762,0.021542130061879442,0.07163977012285686,0.17153348902488672,0.0,-9.0,-5.0,6.0,2.0,0.0,2.0,4.0
DE COQUIMBO,PUNITAQUI,ESCUELA BELGICA,2V,0,24,26,23,11,10,1,1,19,2,3,9,2,47,11,22,15,6,115,32,-1,-1,1,35,23,19,7,2,8,20,115,0.007503297744874581,0.3010721719121279,0.19825147581433386,0.16504174670186447,0.0634159186171762,0.021542130061879442,0.07163977012285686,0.17153348902488672,-1.0,-11.0,3.0,4.0,4.0,0.0,2.0,-1.0
