REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,60+,P_EDUARDO ARTES_18-19,P_FRANCO ALDO PARISI_18-19,P_GABRIEL BORIC_18-19,P_JOSE ANTONIO KAST_18-19,P_MARCO ENRIQUEZ-OMINAMI_18-19,P_NULO BLANCO_18-19,P_SEBASTIAN SICHEL_18-19,P_YASNA PROVOSTE_18-19,P_EDUARDO ARTES_20-29,P_FRANCO ALDO PARISI_20-29,P_GABRIEL BORIC_20-29,P_JOSE ANTONIO KAST_20-29,P_MARCO ENRIQUEZ-OMINAMI_20-29,P_NULO BLANCO_20-29,P_SEBASTIAN SICHEL_20-29,P_YASNA PROVOSTE_20-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50-59,P_FRANCO ALDO PARISI_50-59,P_GABRIEL BORIC_50-59,P_JOSE ANTONIO KAST_50-59,P_MARCO ENRIQUEZ-OMINAMI_50-59,P_NULO BLANCO_50-59,P_SEBASTIAN SICHEL_50-59,P_YASNA PROVOSTE_50-59,P_EDUARDO ARTES_60+,P_FRANCO ALDO PARISI_60+,P_GABRIEL BORIC_60+,P_JOSE ANTONIO KAST_60+,P_MARCO ENRIQUEZ-OMINAMI_60+,P_NULO BLANCO_60+,P_SEBASTIAN SICHEL_60+,P_YASNA PROVOSTE_60+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,LOS PAJARITOS,CENTRO EDUCACIONAL ROUSSEAU,156,6,9,96,23,15,21,2,2,6,4,1,166,1,4,5,1,2,0,180,206,-1,-1,7,16,92,23,13,2,20,7,3,0.027856418793609304,0.07414485507155928,0.4842130118193686,0.16251597076481522,0.06011294213694286,0.015785186200433166,0.11407419298502716,0.06129742222824425,0.03953129672029213,0.09470981014170815,0.5243625427161033,0.11772886813832215,0.0683316105267053,0.012408322249247022,0.10651124119856877,0.03641630830905333,0.02221669715908002,0.13413464783443355,0.4021317864424492,0.18648908482921636,0.09255020991152749,0.00701932045365338,0.11099105869285854,0.04446719467678173,0.010612180145401894,0.07554804532823403,0.3013954627333555,0.2597709712746457,0.10620056740395893,0.0007640793894790736,0.160320051183546,0.08538864254137897,0.013077305408136447,0.032932382827669866,0.31428414042842784,0.23775329628577652,0.10650352026133045,0.006296564571601106,0.1689792007985001,0.12017358941855774,0.009937425224832163,0.01832046684900249,0.2983267987766637,0.2685997952353057,0.07418730418698835,0.010560428112723647,0.1538973511396922,0.16617043047479174,-1.0,-7.0,4.0,0.0,2.0,2.0,1.0,-1.0
METROPOLITANA DE SANTIAGO,LOS PAJARITOS,CENTRO EDUCACIONAL ROUSSEAU,157,7,13,90,42,18,31,0,0,14,0,5,106,31,19,31,18,5,0,215,206,-1,-1,6,17,93,38,17,2,27,15,23,0.027856418793609304,0.07414485507155928,0.4842130118193686,0.16251597076481522,0.06011294213694286,0.015785186200433166,0.11407419298502716,0.06129742222824425,0.03953129672029213,0.09470981014170815,0.5243625427161033,0.11772886813832215,0.0683316105267053,0.012408322249247022,0.10651124119856877,0.03641630830905333,0.02221669715908002,0.13413464783443355,0.4021317864424492,0.18648908482921636,0.09255020991152749,0.00701932045365338,0.11099105869285854,0.04446719467678173,0.010612180145401894,0.07554804532823403,0.3013954627333555,0.2597709712746457,0.10620056740395893,0.0007640793894790736,0.160320051183546,0.08538864254137897,0.013077305408136447,0.032932382827669866,0.31428414042842784,0.23775329628577652,0.10650352026133045,0.006296564571601106,0.1689792007985001,0.12017358941855774,0.009937425224832163,0.01832046684900249,0.2983267987766637,0.2685997952353057,0.07418730418698835,0.010560428112723647,0.1538973511396922,0.16617043047479174,1.0,-4.0,-3.0,4.0,1.0,-2.0,4.0,-1.0
METROPOLITANA DE SANTIAGO,LOS PAJARITOS,CENTRO EDUCACIONAL ROUSSEAU,158,5,7,89,46,19,29,0,2,13,2,5,81,28,27,45,20,7,1,210,206,-1,-1,5,15,85,40,18,2,28,17,28,0.027856418793609304,0.07414485507155928,0.4842130118193686,0.16251597076481522,0.06011294213694286,0.015785186200433166,0.11407419298502716,0.06129742222824425,0.03953129672029213,0.09470981014170815,0.5243625427161033,0.11772886813832215,0.0683316105267053,0.012408322249247022,0.10651124119856877,0.03641630830905333,0.02221669715908002,0.13413464783443355,0.4021317864424492,0.18648908482921636,0.09255020991152749,0.00701932045365338,0.11099105869285854,0.04446719467678173,0.010612180145401894,0.07554804532823403,0.3013954627333555,0.2597709712746457,0.10620056740395893,0.0007640793894790736,0.160320051183546,0.08538864254137897,0.013077305408136447,0.032932382827669866,0.31428414042842784,0.23775329628577652,0.10650352026133045,0.006296564571601106,0.1689792007985001,0.12017358941855774,0.009937425224832163,0.01832046684900249,0.2983267987766637,0.2685997952353057,0.07418730418698835,0.010560428112723647,0.1538973511396922,0.16617043047479174,0.0,-8.0,4.0,6.0,1.0,0.0,1.0,-4.0
METROPOLITANA DE SANTIAGO,LOS PAJARITOS,CENTRO EDUCACIONAL ROUSSEAU,159,7,19,84,35,15,30,1,1,8,2,6,154,11,8,13,7,1,0,200,206,-1,-1,7,18,97,28,15,2,23,10,8,0.027856418793609304,0.07414485507155928,0.4842130118193686,0.16251597076481522,0.06011294213694286,0.015785186200433166,0.11407419298502716,0.06129742222824425,0.03953129672029213,0.09470981014170815,0.5243625427161033,0.11772886813832215,0.0683316105267053,0.012408322249247022,0.10651124119856877,0.03641630830905333,0.02221669715908002,0.13413464783443355,0.4021317864424492,0.18648908482921636,0.09255020991152749,0.00701932045365338,0.11099105869285854,0.04446719467678173,0.010612180145401894,0.07554804532823403,0.3013954627333555,0.2597709712746457,0.10620056740395893,0.0007640793894790736,0.160320051183546,0.08538864254137897,0.013077305408136447,0.032932382827669866,0.31428414042842784,0.23775329628577652,0.10650352026133045,0.006296564571601106,0.1689792007985001,0.12017358941855774,0.009937425224832163,0.01832046684900249,0.2983267987766637,0.2685997952353057,0.07418730418698835,0.010560428112723647,0.1538973511396922,0.16617043047479174,0.0,1.0,-13.0,7.0,0.0,0.0,7.0,-2.0
METROPOLITANA DE SANTIAGO,LOS PAJARITOS,CENTRO EDUCACIONAL ROUSSEAU,160,8,16,90,46,15,34,1,0,9,1,1,139,26,19,18,14,2,0,219,206,-1,-1,7,19,100,35,17,2,26,13,16,0.027856418793609304,0.07414485507155928,0.4842130118193686,0.16251597076481522,0.06011294213694286,0.015785186200433166,0.11407419298502716,0.06129742222824425,0.03953129672029213,0.09470981014170815,0.5243625427161033,0.11772886813832215,0.0683316105267053,0.012408322249247022,0.10651124119856877,0.03641630830905333,0.02221669715908002,0.13413464783443355,0.4021317864424492,0.18648908482921636,0.09255020991152749,0.00701932045365338,0.11099105869285854,0.04446719467678173,0.010612180145401894,0.07554804532823403,0.3013954627333555,0.2597709712746457,0.10620056740395893,0.0007640793894790736,0.160320051183546,0.08538864254137897,0.013077305408136447,0.032932382827669866,0.31428414042842784,0.23775329628577652,0.10650352026133045,0.006296564571601106,0.1689792007985001,0.12017358941855774,0.009937425224832163,0.01832046684900249,0.2983267987766637,0.2685997952353057,0.07418730418698835,0.010560428112723647,0.1538973511396922,0.16617043047479174,1.0,-3.0,-10.0,11.0,-2.0,-1.0,8.0,-4.0
METROPOLITANA DE SANTIAGO,LOS PAJARITOS,CENTRO EDUCACIONAL ROUSSEAU,161,11,13,92,33,13,29,2,1,12,3,45,116,15,10,11,7,1,1,206,206,-1,-1,7,18,98,31,15,2,24,11,9,0.027856418793609304,0.07414485507155928,0.4842130118193686,0.16251597076481522,0.06011294213694286,0.015785186200433166,0.11407419298502716,0.06129742222824425,0.03953129672029213,0.09470981014170815,0.5243625427161033,0.11772886813832215,0.0683316105267053,0.012408322249247022,0.10651124119856877,0.03641630830905333,0.02221669715908002,0.13413464783443355,0.4021317864424492,0.18648908482921636,0.09255020991152749,0.00701932045365338,0.11099105869285854,0.04446719467678173,0.010612180145401894,0.07554804532823403,0.3013954627333555,0.2597709712746457,0.10620056740395893,0.0007640793894790736,0.160320051183546,0.08538864254137897,0.013077305408136447,0.032932382827669866,0.31428414042842784,0.23775329628577652,0.10650352026133045,0.006296564571601106,0.1689792007985001,0.12017358941855774,0.009937425224832163,0.01832046684900249,0.2983267987766637,0.2685997952353057,0.07418730418698835,0.010560428112723647,0.1538973511396922,0.16617043047479174,4.0,-5.0,-6.0,2.0,-2.0,1.0,5.0,1.0
METROPOLITANA DE SANTIAGO,LOS PAJARITOS,CENTRO EDUCACIONAL ROUSSEAU,162,5,11,91,39,13,27,2,1,17,3,143,6,10,18,18,10,1,0,206,206,-1,-1,5,15,91,38,14,2,26,15,11,0.027856418793609304,0.07414485507155928,0.4842130118193686,0.16251597076481522,0.06011294213694286,0.015785186200433166,0.11407419298502716,0.06129742222824425,0.03953129672029213,0.09470981014170815,0.5243625427161033,0.11772886813832215,0.0683316105267053,0.012408322249247022,0.10651124119856877,0.03641630830905333,0.02221669715908002,0.13413464783443355,0.4021317864424492,0.18648908482921636,0.09255020991152749,0.00701932045365338,0.11099105869285854,0.04446719467678173,0.010612180145401894,0.07554804532823403,0.3013954627333555,0.2597709712746457,0.10620056740395893,0.0007640793894790736,0.160320051183546,0.08538864254137897,0.013077305408136447,0.032932382827669866,0.31428414042842784,0.23775329628577652,0.10650352026133045,0.006296564571601106,0.1689792007985001,0.12017358941855774,0.009937425224832163,0.01832046684900249,0.2983267987766637,0.2685997952353057,0.07418730418698835,0.010560428112723647,0.1538973511396922,0.16617043047479174,0.0,-4.0,0.0,1.0,-1.0,1.0,1.0,2.0
METROPOLITANA DE SANTIAGO,LOS PAJARITOS,CENTRO EDUCACIONAL ROUSSEAU,163,3,16,98,24,20,25,0,0,12,0,117,13,13,17,17,14,5,2,198,206,-1,-1,5,14,85,37,14,3,25,15,21,0.027856418793609304,0.07414485507155928,0.4842130118193686,0.16251597076481522,0.06011294213694286,0.015785186200433166,0.11407419298502716,0.06129742222824425,0.03953129672029213,0.09470981014170815,0.5243625427161033,0.11772886813832215,0.0683316105267053,0.012408322249247022,0.10651124119856877,0.03641630830905333,0.02221669715908002,0.13413464783443355,0.4021317864424492,0.18648908482921636,0.09255020991152749,0.00701932045365338,0.11099105869285854,0.04446719467678173,0.010612180145401894,0.07554804532823403,0.3013954627333555,0.2597709712746457,0.10620056740395893,0.0007640793894790736,0.160320051183546,0.08538864254137897,0.013077305408136447,0.032932382827669866,0.31428414042842784,0.23775329628577652,0.10650352026133045,0.006296564571601106,0.1689792007985001,0.12017358941855774,0.009937425224832163,0.01832046684900249,0.2983267987766637,0.2685997952353057,0.07418730418698835,0.010560428112723647,0.1538973511396922,0.16617043047479174,-2.0,2.0,13.0,-13.0,6.0,-3.0,0.0,-3.0
METROPOLITANA DE SANTIAGO,LOS PAJARITOS,CENTRO EDUCACIONAL ROUSSEAU,164,4,16,99,27,11,22,1,0,15,1,143,11,7,12,10,10,2,0,195,206,-1,-1,5,14,88,34,13,3,24,14,12,0.027856418793609304,0.07414485507155928,0.4842130118193686,0.16251597076481522,0.06011294213694286,0.015785186200433166,0.11407419298502716,0.06129742222824425,0.03953129672029213,0.09470981014170815,0.5243625427161033,0.11772886813832215,0.0683316105267053,0.012408322249247022,0.10651124119856877,0.03641630830905333,0.02221669715908002,0.13413464783443355,0.4021317864424492,0.18648908482921636,0.09255020991152749,0.00701932045365338,0.11099105869285854,0.04446719467678173,0.010612180145401894,0.07554804532823403,0.3013954627333555,0.2597709712746457,0.10620056740395893,0.0007640793894790736,0.160320051183546,0.08538864254137897,0.013077305408136447,0.032932382827669866,0.31428414042842784,0.23775329628577652,0.10650352026133045,0.006296564571601106,0.1689792007985001,0.12017358941855774,0.009937425224832163,0.01832046684900249,0.2983267987766637,0.2685997952353057,0.07418730418698835,0.010560428112723647,0.1538973511396922,0.16617043047479174,-1.0,2.0,11.0,-7.0,-2.0,-2.0,-2.0,1.0
METROPOLITANA DE SANTIAGO,LOS PAJARITOS,CENTRO EDUCACIONAL ROUSSEAU,165,3,15,86,38,15,18,1,6,11,7,116,19,19,19,9,8,1,1,193,206,-1,-1,5,15,86,34,14,2,24,13,10,0.027856418793609304,0.07414485507155928,0.4842130118193686,0.16251597076481522,0.06011294213694286,0.015785186200433166,0.11407419298502716,0.06129742222824425,0.03953129672029213,0.09470981014170815,0.5243625427161033,0.11772886813832215,0.0683316105267053,0.012408322249247022,0.10651124119856877,0.03641630830905333,0.02221669715908002,0.13413464783443355,0.4021317864424492,0.18648908482921636,0.09255020991152749,0.00701932045365338,0.11099105869285854,0.04446719467678173,0.010612180145401894,0.07554804532823403,0.3013954627333555,0.2597709712746457,0.10620056740395893,0.0007640793894790736,0.160320051183546,0.08538864254137897,0.013077305408136447,0.032932382827669866,0.31428414042842784,0.23775329628577652,0.10650352026133045,0.006296564571601106,0.1689792007985001,0.12017358941855774,0.009937425224832163,0.01832046684900249,0.2983267987766637,0.2685997952353057,0.07418730418698835,0.010560428112723647,0.1538973511396922,0.16617043047479174,-2.0,0.0,0.0,4.0,1.0,5.0,-6.0,-2.0
