REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,15V,4,32,26,28,6,15,1,2,22,3,1,0,2,5,4,44,1,2,39,1,19,0,15,0,3,0,136,62,-1,-1,2,31,29,28,8,2,12,24,59,77,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,2.0,1.0,-3.0,0.0,-2.0,1.0,3.0,-2.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,16V,4,48,41,27,5,17,0,1,14,1,4,3,1,2,1,51,3,2,53,0,20,2,12,0,3,0,157,62,-1,-1,2,36,33,32,9,2,14,29,67,90,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,2.0,12.0,8.0,-5.0,-4.0,-1.0,3.0,-15.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,17V,1,34,33,34,10,13,0,4,29,4,0,0,4,4,3,35,41,1,42,2,12,1,10,0,2,0,158,62,-1,-1,2,42,35,31,9,2,13,24,88,69,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,-1.0,-8.0,-2.0,3.0,1.0,2.0,0.0,5.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,18V,0,55,32,32,10,10,1,0,27,1,1,3,4,7,1,32,53,5,38,0,12,3,5,0,2,0,167,62,-1,-1,3,48,37,33,9,2,13,22,106,60,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,-3.0,7.0,-5.0,-1.0,1.0,-1.0,-3.0,5.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,19V,2,34,26,29,5,17,0,1,29,1,1,0,5,2,2,29,52,1,22,4,13,1,8,0,3,0,143,62,-1,-1,2,41,32,28,8,2,11,19,92,51,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,0.0,-7.0,-6.0,1.0,-3.0,-1.0,6.0,10.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,20V,2,45,40,22,6,12,0,1,31,1,4,5,2,5,0,27,62,2,19,1,18,0,11,0,4,0,159,62,-1,-1,3,46,36,31,9,2,12,20,107,53,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,-1.0,-1.0,4.0,-9.0,-3.0,-1.0,0.0,11.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,21V,1,48,31,31,8,16,3,2,25,5,0,4,4,4,6,31,55,6,17,0,22,2,10,0,3,0,165,62,-1,-1,3,48,37,32,9,2,13,21,110,54,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,-2.0,0.0,-6.0,-1.0,-1.0,3.0,3.0,4.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,22V,0,45,32,53,13,11,0,2,37,2,3,3,7,5,31,19,49,4,22,3,24,1,18,0,3,1,193,62,-1,-1,3,54,43,38,11,3,15,26,121,72,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,-3.0,-9.0,-11.0,15.0,2.0,-1.0,-4.0,11.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,23V,4,41,43,35,6,7,0,2,29,2,1,1,4,4,32,8,37,6,32,2,17,0,18,1,4,0,167,62,-1,-1,2,44,36,33,10,2,14,26,93,74,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,2.0,-3.0,7.0,2.0,-4.0,0.0,-7.0,3.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,24V,2,56,40,39,11,13,1,0,18,1,2,2,10,35,37,27,21,4,16,1,11,1,12,0,1,0,180,62,-1,-1,3,57,41,34,10,2,14,19,138,42,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,-1.0,-1.0,-1.0,5.0,1.0,-1.0,-1.0,-1.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,25,3,65,21,23,2,9,0,1,10,1,1,0,5,5,114,2,0,1,1,2,1,1,0,1,0,0,134,62,-1,-1,3,50,32,24,7,1,9,8,128,6,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,0.0,15.0,-11.0,-1.0,-5.0,0.0,0.0,2.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,26,1,66,24,18,11,6,1,1,5,2,0,1,0,9,111,3,3,1,0,1,4,0,0,0,0,0,133,62,-1,-1,3,49,32,24,7,1,9,8,128,5,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,-2.0,17.0,-8.0,-6.0,4.0,1.0,-3.0,-3.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,27,1,54,31,26,5,10,0,0,4,0,0,3,22,15,70,9,1,7,2,0,0,1,0,1,0,0,131,62,-1,-1,3,49,31,24,6,1,9,8,127,4,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,-2.0,5.0,0.0,2.0,-1.0,-1.0,1.0,-4.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,28,5,55,29,27,4,4,0,3,7,3,0,0,54,64,3,2,3,2,1,3,1,0,0,0,0,0,134,62,-1,-1,3,50,32,24,7,1,9,8,128,5,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,2.0,5.0,-3.0,3.0,-3.0,2.0,-5.0,-1.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,29,2,52,31,23,7,8,0,0,3,0,1,0,61,50,3,3,2,1,3,1,2,0,0,0,0,0,126,62,-1,-1,2,47,30,23,6,1,9,8,121,6,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,0.0,5.0,1.0,0.0,1.0,-1.0,-1.0,-5.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,30,0,55,33,24,6,8,0,0,6,0,1,2,55,57,1,3,3,2,0,0,2,3,1,2,0,0,132,62,-1,-1,3,48,31,24,7,1,9,9,124,8,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,-3.0,7.0,2.0,0.0,-1.0,-1.0,-1.0,-3.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,31,2,47,37,20,3,10,0,2,8,2,0,0,29,31,14,16,5,7,6,4,6,5,4,1,1,0,129,62,-1,-1,2,42,30,24,7,1,10,13,102,27,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,0.0,5.0,7.0,-4.0,-4.0,1.0,0.0,-5.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,32,4,42,35,20,7,10,1,0,13,1,0,2,30,31,10,9,9,16,5,6,4,6,1,1,0,1,132,62,-1,-1,2,44,30,25,7,2,10,12,107,24,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,2.0,-2.0,5.0,-5.0,0.0,-1.0,0.0,1.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,33,5,41,32,17,5,8,1,0,4,1,2,2,34,38,7,6,3,5,4,5,2,1,1,0,2,1,113,62,-1,-1,2,39,26,21,6,1,8,10,97,16,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,3.0,2.0,6.0,-4.0,-1.0,0.0,0.0,-6.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,34,2,34,41,23,5,8,0,6,15,6,3,0,32,30,4,12,5,9,7,10,6,6,5,2,1,2,134,62,-1,-1,2,41,30,26,7,2,10,16,95,39,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,0.0,-7.0,11.0,-3.0,-2.0,4.0,-2.0,-1.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,35,3,42,27,19,4,9,0,1,10,1,2,1,39,46,2,6,2,6,1,3,1,3,0,2,0,0,115,62,-1,-1,2,41,27,21,6,1,8,9,104,10,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,1.0,1.0,0.0,-2.0,-2.0,0.0,1.0,1.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,36,2,40,38,25,8,6,1,0,7,1,3,6,35,28,13,11,6,5,7,5,3,3,1,3,0,0,127,62,-1,-1,2,43,29,24,7,1,9,12,107,22,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,0.0,-3.0,9.0,1.0,1.0,0.0,-3.0,-5.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,37,2,47,40,19,3,8,1,1,9,2,30,33,6,6,5,13,6,10,9,4,3,2,1,1,1,0,130,62,-1,-1,2,44,30,24,7,1,10,12,109,21,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,0.0,3.0,10.0,-5.0,-4.0,1.0,-2.0,-3.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,38,3,42,29,28,6,8,1,1,10,2,28,24,5,7,3,8,16,12,8,4,4,6,1,2,0,0,128,62,-1,-1,2,42,30,24,7,2,9,12,103,25,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,1.0,0.0,-1.0,4.0,-1.0,0.0,-1.0,-2.0
DE COQUIMBO,SALAMANCA,COLEGIO PART SUB CUMBRES DEL CHOAPA,39,6,23,26,17,7,4,0,1,7,1,1,1,8,18,19,13,4,5,5,4,2,4,1,5,0,1,91,62,-1,-1,1,29,21,17,5,1,7,10,69,22,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,5.0,-6.0,5.0,0.0,2.0,0.0,-3.0,-3.0
DE COQUIMBO,SALAMANCA,ESCUELA MATILDE SALAMANCA,10M,2,25,19,27,12,11,3,2,22,5,0,1,6,4,2,2,14,1,2,30,1,33,0,22,0,5,123,62,-1,-1,1,22,25,26,8,2,11,28,30,93,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,1.0,3.0,-6.0,1.0,4.0,3.0,0.0,-6.0
DE COQUIMBO,SALAMANCA,ESCUELA MATILDE SALAMANCA,11M,3,37,27,25,5,14,1,1,28,2,0,0,2,5,1,0,32,4,1,40,0,34,0,21,0,1,141,62,-1,-1,2,28,29,29,9,2,13,29,44,97,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,1.0,9.0,-2.0,-4.0,-4.0,0.0,1.0,-1.0
DE COQUIMBO,SALAMANCA,ESCUELA MATILDE SALAMANCA,12M,0,23,38,35,11,16,1,1,19,2,0,2,1,7,0,1,32,2,5,36,0,33,1,19,0,5,144,62,-1,-1,2,28,30,30,9,2,13,30,45,99,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,-2.0,-5.0,8.0,5.0,2.0,0.0,3.0,-11.0
DE COQUIMBO,SALAMANCA,ESCUELA MATILDE SALAMANCA,13M,0,32,31,28,13,18,0,1,25,1,2,1,5,4,3,1,24,2,5,46,2,23,0,22,0,8,148,62,-1,-1,2,28,30,31,9,2,14,32,42,106,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,-2.0,4.0,1.0,-3.0,4.0,-1.0,4.0,-7.0
DE COQUIMBO,SALAMANCA,ESCUELA MATILDE SALAMANCA,14M,2,35,36,31,7,17,1,0,21,1,1,1,3,6,27,3,3,0,1,45,0,40,2,15,0,3,150,62,-1,-1,2,29,31,31,9,2,14,32,44,106,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,0.0,6.0,5.0,0.0,-2.0,-1.0,3.0,-11.0
DE COQUIMBO,SALAMANCA,ESCUELA MATILDE SALAMANCA,15M,1,34,24,33,13,9,0,1,18,1,1,1,8,1,29,2,3,0,1,42,2,29,1,12,0,3,133,62,-1,-1,2,27,27,28,8,2,12,27,45,90,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,-1.0,7.0,-3.0,5.0,5.0,-1.0,-3.0,-9.0
DE COQUIMBO,SALAMANCA,ESCUELA MATILDE SALAMANCA,16M,3,38,35,26,11,15,2,2,33,4,0,3,1,9,29,2,1,49,1,40,1,23,1,4,0,1,165,62,-1,-1,2,44,36,33,9,2,14,25,94,71,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,1.0,-6.0,-1.0,-7.0,2.0,2.0,1.0,8.0
DE COQUIMBO,SALAMANCA,ESCUELA MATILDE SALAMANCA,17M,2,43,36,19,11,16,3,2,27,5,0,2,4,7,26,1,0,54,2,41,0,18,0,3,0,1,159,62,-1,-1,3,43,35,31,9,2,13,23,94,65,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,-1.0,0.0,1.0,-12.0,2.0,3.0,3.0,4.0
DE COQUIMBO,SALAMANCA,ESCUELA MATILDE SALAMANCA,18M,5,41,32,34,11,14,2,0,25,2,2,5,4,4,16,1,1,72,1,31,1,15,0,7,0,3,164,62,-1,-1,3,47,36,32,9,2,13,22,105,58,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,2.0,-6.0,-4.0,2.0,2.0,0.0,1.0,3.0
DE COQUIMBO,SALAMANCA,ESCUELA MATILDE SALAMANCA,19M,2,48,26,32,16,17,1,2,28,3,1,0,5,6,18,1,1,89,1,23,1,11,0,10,1,4,172,62,-1,-1,3,52,39,33,9,2,13,21,121,51,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,-1.0,-4.0,-13.0,-1.0,7.0,1.0,4.0,7.0
DE COQUIMBO,SALAMANCA,ESCUELA MATILDE SALAMANCA,1M,1,24,16,29,4,14,1,2,18,3,1,0,12,13,1,4,1,4,1,16,1,25,1,18,2,9,109,62,-1,-1,1,22,22,23,7,2,10,22,36,73,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,0.0,2.0,-6.0,6.0,-3.0,1.0,4.0,-4.0
DE COQUIMBO,SALAMANCA,ESCUELA MATILDE SALAMANCA,20M,2,38,34,41,10,23,1,1,28,2,0,0,7,4,24,10,1,69,2,32,1,20,0,8,0,1,178,62,-1,-1,3,51,39,35,10,2,14,24,115,64,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,-1.0,-13.0,-5.0,6.0,0.0,0.0,9.0,4.0
DE COQUIMBO,SALAMANCA,ESCUELA MATILDE SALAMANCA,2M,1,17,27,25,11,11,0,2,33,2,2,2,4,8,1,0,3,2,0,23,2,32,9,27,0,12,127,62,-1,-1,2,20,25,27,8,2,12,31,22,105,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,-1.0,-3.0,2.0,-2.0,3.0,0.0,-1.0,2.0
DE COQUIMBO,SALAMANCA,ESCUELA MATILDE SALAMANCA,3M,3,29,27,27,6,15,0,1,25,1,2,0,8,7,4,1,3,1,4,32,9,29,4,21,0,8,133,62,-1,-1,2,22,27,28,8,2,13,31,26,107,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,1.0,7.0,0.0,-1.0,-2.0,-1.0,2.0,-6.0
DE COQUIMBO,SALAMANCA,ESCUELA MATILDE SALAMANCA,4M,2,20,26,20,4,12,1,2,22,3,0,0,4,5,2,1,1,1,11,26,8,25,0,22,0,3,109,62,-1,-1,1,16,22,24,7,2,10,27,14,95,0.019813126605188285,0.3815503470816185,0.24005513973410664,0.17943502646458934,0.04904837239799973,0.009556820639312706,0.06761676687716701,0.05292440020001774,0.008641961232674225,0.11336522642361219,0.19097834979151954,0.22139626568319432,0.06659007914228478,0.019581507381818103,0.10036971532282425,0.2790768950220727,1.0,4.0,4.0,-4.0,-3.0,1.0,2.0,-5.0
