REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DE ARICA Y PARINACOTA,ARICA,COLEGIO DEL ALBA,247V,1,24,21,26,6,4,0,0,9,0,4,10,25,23,16,7,4,2,91,271,0.86,-0.06550154875643228,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO DEL ALBA,248V-252V,2,36,40,54,13,7,0,3,17,3,2,27,46,35,35,17,9,1,172,271,0.13,-0.8860566476931632,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO DEL ALBA,255V,3,16,19,25,7,6,0,0,10,0,3,12,18,18,14,12,7,2,86,271,0.33,-0.4814860601221125,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO DEL ALBA,260V,1,41,36,46,7,10,0,1,14,1,1,14,47,39,29,14,11,1,156,271,0.94,-0.026872146400301365,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO DEL ALBA,263V,1,44,20,18,2,6,0,1,6,1,0,33,19,23,11,10,1,1,98,271,0.07,-1.154901959985743,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO DEL ALBA,266,0,22,11,18,5,5,0,0,7,0,0,16,20,14,5,8,4,1,68,271,0.86,-0.06550154875643228,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,10M-43M,2,28,25,57,6,12,0,0,19,0,2,14,8,19,26,40,29,12,149,271,0.9,-0.045757490560675115,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,12M-26M,1,21,27,65,11,10,1,1,10,2,3,16,8,19,27,41,24,9,147,271,0.04,-1.3979400086720375,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,13M-51M,3,29,20,45,10,14,1,1,18,2,9,7,8,25,23,31,23,15,141,271,0.85,-0.07058107428570728,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,14M,2,30,37,64,7,15,1,3,11,4,3,56,40,7,7,30,18,9,170,271,0.03,-1.5228787452803376,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,15M-73M,1,29,23,46,17,15,0,9,17,9,7,9,9,23,29,50,27,3,157,271,0.0007,-3.154901959985743,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,16M-86M,0,32,16,63,6,18,1,0,9,1,4,14,18,4,29,46,21,9,145,271,0.013,-1.8860566476931633,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,1M-17M,1,26,18,53,7,11,0,0,16,0,6,17,7,6,13,32,33,17,132,271,0.74,-0.13076828026902382,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,2M-11M,1,20,20,40,16,16,0,0,21,0,5,18,5,9,15,36,24,22,134,271,0.14,-0.8538719643217619,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,3M,1,32,31,60,9,13,0,0,15,0,2,30,26,7,30,20,18,15,161,271,0.67,-0.17392519729917355,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,4M-183M,2,27,29,42,12,16,1,0,17,1,3,22,7,18,27,21,39,9,146,271,0.88,-0.05551732784983137,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,5M-21M,0,35,23,49,7,17,0,2,18,2,1,18,9,8,30,34,38,13,151,271,0.73,-0.1366771398795441,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,6M-23M,2,31,12,53,10,14,0,1,15,1,5,17,13,12,24,25,30,12,138,271,0.19,-0.721246399047171,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,7M-25M,1,20,26,63,9,16,1,6,11,7,2,18,12,9,26,39,34,13,153,271,0.03,-1.5228787452803376,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,8M-27M,1,19,22,57,8,20,0,2,13,2,3,9,9,14,25,44,22,16,142,271,0.25,-0.6020599913279624,-1,-1,-1,-1,-1,-1,-1,-1
DE ARICA Y PARINACOTA,ARICA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,9M-46M,1,42,28,35,4,15,1,1,16,2,3,12,13,17,22,41,27,8,143,271,0.07,-1.154901959985743,-1,-1,-1,-1,-1,-1,-1,-1
