REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-49,50+,P_EDUARDO ARTES_18-49,P_FRANCO ALDO PARISI_18-49,P_GABRIEL BORIC_18-49,P_JOSE ANTONIO KAST_18-49,P_MARCO ENRIQUEZ-OMINAMI_18-49,P_NULO BLANCO_18-49,P_SEBASTIAN SICHEL_18-49,P_YASNA PROVOSTE_18-49,P_EDUARDO ARTES_50+,P_FRANCO ALDO PARISI_50+,P_GABRIEL BORIC_50+,P_JOSE ANTONIO KAST_50+,P_MARCO ENRIQUEZ-OMINAMI_50+,P_NULO BLANCO_50+,P_SEBASTIAN SICHEL_50+,P_YASNA PROVOSTE_50+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE VALPARAISO,CATEMU,ESCUELA MARIA TERESA DEL CANTO MOLINA,10V,0,35,34,21,11,12,2,1,25,3,2,8,44,2,39,32,13,1,141,36,-1,-1,1,28,31,27,14,3,17,20,56,85,0.008283527984078685,0.30526510516498834,0.2780647267211731,0.1945281450150145,0.06450730722637486,0.008787064440280897,0.08464983686293935,0.05591428658515036,0.009705344605482644,0.12654471973409223,0.18586269779198397,0.18342010793993532,0.12117892355424313,0.030387369762610035,0.14239921590587176,0.20050162070578093,-1.0,7.0,3.0,-6.0,-3.0,0.0,-5.0,5.0
DE VALPARAISO,CATEMU,ESCUELA MARIA TERESA DEL CANTO MOLINA,11V,2,46,38,23,14,8,0,6,11,6,1,9,37,60,27,10,3,1,148,36,-1,-1,1,38,38,28,12,2,15,14,107,41,0.008283527984078685,0.30526510516498834,0.2780647267211731,0.1945281450150145,0.06450730722637486,0.008787064440280897,0.08464983686293935,0.05591428658515036,0.009705344605482644,0.12654471973409223,0.18586269779198397,0.18342010793993532,0.12117892355424313,0.030387369762610035,0.14239921590587176,0.20050162070578093,1.0,8.0,0.0,-5.0,2.0,4.0,-7.0,-3.0
DE VALPARAISO,CATEMU,ESCUELA MARIA TERESA DEL CANTO MOLINA,12V,1,38,30,29,15,15,1,1,16,2,0,33,12,57,24,6,10,3,146,36,-1,-1,1,37,37,28,12,2,15,14,102,43,0.008283527984078685,0.30526510516498834,0.2780647267211731,0.1945281450150145,0.06450730722637486,0.008787064440280897,0.08464983686293935,0.05591428658515036,0.009705344605482644,0.12654471973409223,0.18586269779198397,0.18342010793993532,0.12117892355424313,0.030387369762610035,0.14239921590587176,0.20050162070578093,0.0,1.0,-7.0,1.0,3.0,0.0,0.0,2.0
DE VALPARAISO,CATEMU,ESCUELA MARIA TERESA DEL CANTO MOLINA,13V,0,36,36,25,11,16,0,2,19,2,2,46,3,59,15,6,10,3,145,36,-1,-1,1,38,37,28,12,2,14,13,110,34,0.008283527984078685,0.30526510516498834,0.2780647267211731,0.1945281450150145,0.06450730722637486,0.008787064440280897,0.08464983686293935,0.05591428658515036,0.009705344605482644,0.12654471973409223,0.18586269779198397,0.18342010793993532,0.12117892355424313,0.030387369762610035,0.14239921590587176,0.20050162070578093,-1.0,-2.0,-1.0,-3.0,-1.0,0.0,2.0,6.0
DE VALPARAISO,CATEMU,ESCUELA MARIA TERESA DEL CANTO MOLINA,14V,3,40,31,39,13,13,0,1,14,1,5,38,25,35,19,20,9,4,154,36,-1,-1,1,38,38,29,13,3,16,16,103,52,0.008283527984078685,0.30526510516498834,0.2780647267211731,0.1945281450150145,0.06450730722637486,0.008787064440280897,0.08464983686293935,0.05591428658515036,0.009705344605482644,0.12654471973409223,0.18586269779198397,0.18342010793993532,0.12117892355424313,0.030387369762610035,0.14239921590587176,0.20050162070578093,2.0,2.0,-7.0,10.0,0.0,-2.0,-3.0,-2.0
DE VALPARAISO,CATEMU,ESCUELA MARIA TERESA DEL CANTO MOLINA,15V,2,45,42,39,10,18,0,1,16,1,3,30,55,30,27,18,5,5,173,36,-1,-1,1,43,43,33,14,3,18,18,118,55,0.008283527984078685,0.30526510516498834,0.2780647267211731,0.1945281450150145,0.06450730722637486,0.008787064440280897,0.08464983686293935,0.05591428658515036,0.009705344605482644,0.12654471973409223,0.18586269779198397,0.18342010793993532,0.12117892355424313,0.030387369762610035,0.14239921590587176,0.20050162070578093,1.0,2.0,-1.0,6.0,-4.0,-2.0,0.0,-2.0
DE VALPARAISO,CATEMU,ESCUELA MARIA TERESA DEL CANTO MOLINA,16V,3,26,39,31,9,13,0,2,13,2,2,40,29,18,19,18,7,2,136,36,-1,-1,1,33,34,26,12,2,14,14,89,46,0.008283527984078685,0.30526510516498834,0.2780647267211731,0.1945281450150145,0.06450730722637486,0.008787064440280897,0.08464983686293935,0.05591428658515036,0.009705344605482644,0.12654471973409223,0.18586269779198397,0.18342010793993532,0.12117892355424313,0.030387369762610035,0.14239921590587176,0.20050162070578093,2.0,-7.0,5.0,5.0,-3.0,0.0,-1.0,-1.0
DE VALPARAISO,CATEMU,ESCUELA MARIA TERESA DEL CANTO MOLINA,17,1,52,27,16,6,8,0,0,3,0,1,14,96,2,0,0,0,0,113,36,-1,-1,1,35,31,22,7,1,10,6,113,0,0.008283527984078685,0.30526510516498834,0.2780647267211731,0.1945281450150145,0.06450730722637486,0.008787064440280897,0.08464983686293935,0.05591428658515036,0.009705344605482644,0.12654471973409223,0.18586269779198397,0.18342010793993532,0.12117892355424313,0.030387369762610035,0.14239921590587176,0.20050162070578093,0.0,17.0,-4.0,-6.0,-1.0,-1.0,-2.0,-3.0
DE VALPARAISO,CATEMU,ESCUELA MARIA TERESA DEL CANTO MOLINA,18,0,57,35,20,1,6,0,3,6,3,5,112,5,1,2,2,1,0,128,36,-1,-1,1,38,35,25,9,1,11,8,123,5,0.008283527984078685,0.30526510516498834,0.2780647267211731,0.1945281450150145,0.06450730722637486,0.008787064440280897,0.08464983686293935,0.05591428658515036,0.009705344605482644,0.12654471973409223,0.18586269779198397,0.18342010793993532,0.12117892355424313,0.030387369762610035,0.14239921590587176,0.20050162070578093,-1.0,19.0,0.0,-5.0,-8.0,2.0,-5.0,-2.0
DE VALPARAISO,CATEMU,ESCUELA MARIA TERESA DEL CANTO MOLINA,19,1,45,39,26,7,10,0,1,8,1,11,105,7,7,3,2,0,1,137,36,-1,-1,1,41,38,27,9,1,12,8,130,6,0.008283527984078685,0.30526510516498834,0.2780647267211731,0.1945281450150145,0.06450730722637486,0.008787064440280897,0.08464983686293935,0.05591428658515036,0.009705344605482644,0.12654471973409223,0.18586269779198397,0.18342010793993532,0.12117892355424313,0.030387369762610035,0.14239921590587176,0.20050162070578093,0.0,4.0,1.0,-1.0,-2.0,0.0,-2.0,0.0
