REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,40+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40+,P_FRANCO ALDO PARISI_40+,P_GABRIEL BORIC_40+,P_JOSE ANTONIO KAST_40+,P_MARCO ENRIQUEZ-OMINAMI_40+,P_NULO BLANCO_40+,P_SEBASTIAN SICHEL_40+,P_YASNA PROVOSTE_40+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,ESCUELA ROMILIO ARELLANO TRONCOSO,10V,0,13,25,30,15,20,3,1,19,4,2,12,33,5,28,31,12,3,126,48,-1,-1,1,13,29,32,11,3,17,20,14,79,0.017132453144947886,0.1817003397038623,0.3758265454464986,0.16582925892634204,0.07785653506349455,0.006775363675401525,0.10389058764333287,0.07098891639612034,0.0062152473888438114,0.19367725582223455,0.265038357294025,0.2823258311336536,0.07307801866877492,0.010696172317390963,0.10699874449433237,0.06197037288074477,0.009997358857348492,0.049003545696056514,0.19159945168212567,0.2554009693647424,0.09521175393901561,0.029565986997519278,0.15701358315131822,0.2122073503118739,-1.0,0.0,-4.0,-2.0,4.0,1.0,3.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,ESCUELA ROMILIO ARELLANO TRONCOSO,11V,2,17,31,35,18,25,4,0,22,4,3,8,51,22,48,10,9,4,154,48,-1,-1,2,16,35,40,13,3,21,24,11,93,0.017132453144947886,0.1817003397038623,0.3758265454464986,0.16582925892634204,0.07785653506349455,0.006775363675401525,0.10389058764333287,0.07098891639612034,0.0062152473888438114,0.19367725582223455,0.265038357294025,0.2823258311336536,0.07307801866877492,0.010696172317390963,0.10699874449433237,0.06197037288074477,0.009997358857348492,0.049003545696056514,0.19159945168212567,0.2554009693647424,0.09521175393901561,0.029565986997519278,0.15701358315131822,0.2122073503118739,0.0,1.0,-4.0,-5.0,5.0,1.0,4.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,ESCUELA ROMILIO ARELLANO TRONCOSO,12V,1,20,28,36,13,28,1,2,26,3,3,7,38,49,29,18,7,4,155,48,-1,-1,1,14,34,40,14,4,22,26,10,107,0.017132453144947886,0.1817003397038623,0.3758265454464986,0.16582925892634204,0.07785653506349455,0.006775363675401525,0.10389058764333287,0.07098891639612034,0.0062152473888438114,0.19367725582223455,0.265038357294025,0.2823258311336536,0.07307801866877492,0.010696172317390963,0.10699874449433237,0.06197037288074477,0.009997358857348492,0.049003545696056514,0.19159945168212567,0.2554009693647424,0.09521175393901561,0.029565986997519278,0.15701358315131822,0.2122073503118739,0.0,6.0,-6.0,-4.0,-1.0,-1.0,6.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,ESCUELA ROMILIO ARELLANO TRONCOSO,13V,2,14,28,39,14,31,2,5,34,7,4,13,38,63,25,14,10,3,169,48,-1,-1,2,16,38,42,15,4,24,28,17,115,0.017132453144947886,0.1817003397038623,0.3758265454464986,0.16582925892634204,0.07785653506349455,0.006775363675401525,0.10389058764333287,0.07098891639612034,0.0062152473888438114,0.19367725582223455,0.265038357294025,0.2823258311336536,0.07307801866877492,0.010696172317390963,0.10699874449433237,0.06197037288074477,0.009997358857348492,0.049003545696056514,0.19159945168212567,0.2554009693647424,0.09521175393901561,0.029565986997519278,0.15701358315131822,0.2122073503118739,0.0,-2.0,-10.0,-3.0,-1.0,3.0,7.0,6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,ESCUELA ROMILIO ARELLANO TRONCOSO,14V,0,17,30,47,15,27,0,2,23,2,3,4,31,62,25,18,12,6,161,48,-1,-1,2,13,34,41,15,4,23,29,7,123,0.017132453144947886,0.1817003397038623,0.3758265454464986,0.16582925892634204,0.07785653506349455,0.006775363675401525,0.10389058764333287,0.07098891639612034,0.0062152473888438114,0.19367725582223455,0.265038357294025,0.2823258311336536,0.07307801866877492,0.010696172317390963,0.10699874449433237,0.06197037288074477,0.009997358857348492,0.049003545696056514,0.19159945168212567,0.2554009693647424,0.09521175393901561,0.029565986997519278,0.15701358315131822,0.2122073503118739,-2.0,4.0,-4.0,6.0,0.0,-2.0,4.0,-6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,ESCUELA ROMILIO ARELLANO TRONCOSO,15V,2,20,43,39,13,20,2,1,35,3,2,9,55,38,32,23,9,7,175,48,-1,-1,2,18,40,45,15,4,24,27,11,109,0.017132453144947886,0.1817003397038623,0.3758265454464986,0.16582925892634204,0.07785653506349455,0.006775363675401525,0.10389058764333287,0.07098891639612034,0.0062152473888438114,0.19367725582223455,0.265038357294025,0.2823258311336536,0.07307801866877492,0.010696172317390963,0.10699874449433237,0.06197037288074477,0.009997358857348492,0.049003545696056514,0.19159945168212567,0.2554009693647424,0.09521175393901561,0.029565986997519278,0.15701358315131822,0.2122073503118739,0.0,2.0,3.0,-6.0,-2.0,-1.0,-4.0,8.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,ESCUELA ROMILIO ARELLANO TRONCOSO,16V,4,15,45,46,18,16,2,2,28,4,2,11,48,37,35,25,12,6,176,48,-1,-1,2,17,40,45,15,4,25,28,13,115,0.017132453144947886,0.1817003397038623,0.3758265454464986,0.16582925892634204,0.07785653506349455,0.006775363675401525,0.10389058764333287,0.07098891639612034,0.0062152473888438114,0.19367725582223455,0.265038357294025,0.2823258311336536,0.07307801866877492,0.010696172317390963,0.10699874449433237,0.06197037288074477,0.009997358857348492,0.049003545696056514,0.19159945168212567,0.2554009693647424,0.09521175393901561,0.029565986997519278,0.15701358315131822,0.2122073503118739,2.0,-2.0,5.0,1.0,3.0,0.0,-9.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,ESCUELA ROMILIO ARELLANO TRONCOSO,17V,4,21,50,42,10,19,0,1,26,1,6,19,66,24,21,19,15,3,173,48,-1,-1,2,21,43,44,15,3,22,23,25,82,0.017132453144947886,0.1817003397038623,0.3758265454464986,0.16582925892634204,0.07785653506349455,0.006775363675401525,0.10389058764333287,0.07098891639612034,0.0062152473888438114,0.19367725582223455,0.265038357294025,0.2823258311336536,0.07307801866877492,0.010696172317390963,0.10699874449433237,0.06197037288074477,0.009997358857348492,0.049003545696056514,0.19159945168212567,0.2554009693647424,0.09521175393901561,0.029565986997519278,0.15701358315131822,0.2122073503118739,2.0,0.0,7.0,-2.0,-5.0,-2.0,-3.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,ESCUELA ROMILIO ARELLANO TRONCOSO,1V,2,6,34,30,9,15,0,1,28,1,0,12,5,2,31,40,25,10,125,48,-1,-1,1,8,27,31,12,3,19,24,12,108,0.017132453144947886,0.1817003397038623,0.3758265454464986,0.16582925892634204,0.07785653506349455,0.006775363675401525,0.10389058764333287,0.07098891639612034,0.0062152473888438114,0.19367725582223455,0.265038357294025,0.2823258311336536,0.07307801866877492,0.010696172317390963,0.10699874449433237,0.06197037288074477,0.009997358857348492,0.049003545696056514,0.19159945168212567,0.2554009693647424,0.09521175393901561,0.029565986997519278,0.15701358315131822,0.2122073503118739,1.0,-2.0,7.0,-1.0,-3.0,-2.0,-4.0,4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,ESCUELA ROMILIO ARELLANO TRONCOSO,27,1,15,33,20,16,14,3,0,15,3,3,72,7,9,19,5,2,0,117,48,-1,-1,2,17,37,23,10,1,14,13,75,35,0.017132453144947886,0.1817003397038623,0.3758265454464986,0.16582925892634204,0.07785653506349455,0.006775363675401525,0.10389058764333287,0.07098891639612034,0.0062152473888438114,0.19367725582223455,0.265038357294025,0.2823258311336536,0.07307801866877492,0.010696172317390963,0.10699874449433237,0.06197037288074477,0.009997358857348492,0.049003545696056514,0.19159945168212567,0.2554009693647424,0.09521175393901561,0.029565986997519278,0.15701358315131822,0.2122073503118739,-1.0,-2.0,-4.0,-3.0,6.0,2.0,0.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,ESCUELA ROMILIO ARELLANO TRONCOSO,28,2,18,44,16,11,14,0,1,12,1,2,100,2,6,1,6,0,1,118,48,-1,-1,2,20,42,21,9,1,13,10,102,14,0.017132453144947886,0.1817003397038623,0.3758265454464986,0.16582925892634204,0.07785653506349455,0.006775363675401525,0.10389058764333287,0.07098891639612034,0.0062152473888438114,0.19367725582223455,0.265038357294025,0.2823258311336536,0.07307801866877492,0.010696172317390963,0.10699874449433237,0.06197037288074477,0.009997358857348492,0.049003545696056514,0.19159945168212567,0.2554009693647424,0.09521175393901561,0.029565986997519278,0.15701358315131822,0.2122073503118739,0.0,-2.0,2.0,-5.0,2.0,0.0,1.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,ESCUELA ROMILIO ARELLANO TRONCOSO,29,1,17,37,31,8,17,1,0,11,1,4,45,10,25,19,15,5,0,123,48,-1,-1,2,14,33,27,11,2,16,18,49,64,0.017132453144947886,0.1817003397038623,0.3758265454464986,0.16582925892634204,0.07785653506349455,0.006775363675401525,0.10389058764333287,0.07098891639612034,0.0062152473888438114,0.19367725582223455,0.265038357294025,0.2823258311336536,0.07307801866877492,0.010696172317390963,0.10699874449433237,0.06197037288074477,0.009997358857348492,0.049003545696056514,0.19159945168212567,0.2554009693647424,0.09521175393901561,0.029565986997519278,0.15701358315131822,0.2122073503118739,-1.0,3.0,4.0,4.0,-3.0,-1.0,1.0,-7.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,ESCUELA ROMILIO ARELLANO TRONCOSO,2V,2,8,29,36,10,9,3,4,29,7,0,11,0,17,49,28,20,5,130,48,-1,-1,1,8,27,32,12,4,20,26,11,119,0.017132453144947886,0.1817003397038623,0.3758265454464986,0.16582925892634204,0.07785653506349455,0.006775363675401525,0.10389058764333287,0.07098891639612034,0.0062152473888438114,0.19367725582223455,0.265038357294025,0.2823258311336536,0.07307801866877492,0.010696172317390963,0.10699874449433237,0.06197037288074477,0.009997358857348492,0.049003545696056514,0.19159945168212567,0.2554009693647424,0.09521175393901561,0.029565986997519278,0.15701358315131822,0.2122073503118739,1.0,0.0,2.0,4.0,-2.0,3.0,-11.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,LAS CABRAS,ESCUELA ROMILIO ARELLANO TRONCOSO,30,1,16,44,27,14,12,0,1,17,1,2,80,17,6,11,7,8,1,132,48,-1,-1,2,20,41,27,11,2,15,14,82,33,0.017132453144947886,0.1817003397038623,0.3758265454464986,0.16582925892634204,0.07785653506349455,0.006775363675401525,0.10389058764333287,0.07098891639612034,0.0062152473888438114,0.19367725582223455,0.265038357294025,0.2823258311336536,0.07307801866877492,0.010696172317390963,0.10699874449433237,0.06197037288074477,0.009997358857348492,0.049003545696056514,0.19159945168212567,0.2554009693647424,0.09521175393901561,0.029565986997519278,0.15701358315131822,0.2122073503118739,-1.0,-4.0,3.0,0.0,3.0,-1.0,-3.0,3.0
