REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE TARAPACA,COLCHANE,LICEO TECNICO PROFESIONAL COLCHANE,1M,0,57,2,58,0,1,0,0,1,0,0,0,7,4,7,6,4,6,6,16,3,23,0,27,1,9,119,14,-1,-1,0,53,2,58,1,2,1,2,34,85,0.007450515377797353,0.509524323690231,0.024664550286943383,0.41838311686065854,4.524786140723225e-05,0.002219761535799488,0.008965240333745685,0.028747244053417376,5.2634498063837465e-05,0.4216771689173663,0.010011592103211071,0.5132535325179454,0.01316183053308417,0.02074742061924365,0.013871306720358018,0.007224514090727495,0.0,4.0,0.0,0.0,-1.0,-2.0,0.0,-1.0
DE TARAPACA,COLCHANE,LICEO TECNICO PROFESIONAL COLCHANE,1V,0,56,3,62,2,2,0,0,1,0,1,1,14,17,7,13,2,6,15,2,16,2,16,2,12,0,126,14,-1,-1,0,59,2,59,1,2,1,2,61,65,0.007450515377797353,0.509524323690231,0.024664550286943383,0.41838311686065854,4.524786140723225e-05,0.002219761535799488,0.008965240333745685,0.028747244053417376,5.2634498063837465e-05,0.4216771689173663,0.010011592103211071,0.5132535325179454,0.01316183053308417,0.02074742061924365,0.013871306720358018,0.007224514090727495,0.0,-3.0,1.0,3.0,1.0,-2.0,1.0,-1.0
DE TARAPACA,COLCHANE,LICEO TECNICO PROFESIONAL COLCHANE,2M,0,28,0,31,1,0,0,1,1,1,1,1,6,5,1,3,0,14,5,14,0,8,0,3,0,1,62,14,-1,-1,0,29,1,29,0,1,1,1,31,31,0.007450515377797353,0.509524323690231,0.024664550286943383,0.41838311686065854,4.524786140723225e-05,0.002219761535799488,0.008965240333745685,0.028747244053417376,5.2634498063837465e-05,0.4216771689173663,0.010011592103211071,0.5132535325179454,0.01316183053308417,0.02074742061924365,0.013871306720358018,0.007224514090727495,0.0,-1.0,-1.0,2.0,1.0,0.0,-1.0,0.0
DE TARAPACA,COLCHANE,LICEO TECNICO PROFESIONAL COLCHANE,2V,0,31,1,31,1,3,0,2,2,2,1,0,2,5,4,3,18,3,12,1,10,2,8,0,3,0,71,14,-1,-1,0,33,1,33,1,1,1,1,36,36,0.007450515377797353,0.509524323690231,0.024664550286943383,0.41838311686065854,4.524786140723225e-05,0.002219761535799488,0.008965240333745685,0.028747244053417376,5.2634498063837465e-05,0.4216771689173663,0.010011592103211071,0.5132535325179454,0.01316183053308417,0.02074742061924365,0.013871306720358018,0.007224514090727495,0.0,-2.0,0.0,-2.0,0.0,1.0,2.0,1.0
DE TARAPACA,COLCHANE,LICEO TECNICO PROFESIONAL COLCHANE,3V,2,20,0,22,0,1,0,0,3,0,0,2,1,2,3,3,15,5,9,1,2,1,4,0,1,0,48,14,-1,-1,0,23,1,22,0,0,1,1,31,18,0.007450515377797353,0.509524323690231,0.024664550286943383,0.41838311686065854,4.524786140723225e-05,0.002219761535799488,0.008965240333745685,0.028747244053417376,5.2634498063837465e-05,0.4216771689173663,0.010011592103211071,0.5132535325179454,0.01316183053308417,0.02074742061924365,0.013871306720358018,0.007224514090727495,2.0,-3.0,-1.0,0.0,0.0,0.0,0.0,2.0
DE TARAPACA,COLCHANE,LICEO TECNICO PROFESIONAL COLCHANE,4M,1,29,1,24,0,0,1,2,2,3,0,0,0,4,2,8,5,10,4,12,5,5,3,1,1,0,60,14,-1,-1,0,28,1,28,0,1,1,1,29,31,0.007450515377797353,0.509524323690231,0.024664550286943383,0.41838311686065854,4.524786140723225e-05,0.002219761535799488,0.008965240333745685,0.028747244053417376,5.2634498063837465e-05,0.4216771689173663,0.010011592103211071,0.5132535325179454,0.01316183053308417,0.02074742061924365,0.013871306720358018,0.007224514090727495,1.0,1.0,0.0,-4.0,0.0,2.0,-1.0,1.0
DE TARAPACA,COLCHANE,LICEO TECNICO PROFESIONAL COLCHANE,5M,0,33,2,19,0,0,0,0,2,0,0,0,4,5,4,4,9,20,2,4,1,1,1,1,0,0,56,14,-1,-1,0,28,1,24,0,0,1,2,46,10,0.007450515377797353,0.509524323690231,0.024664550286943383,0.41838311686065854,4.524786140723225e-05,0.002219761535799488,0.008965240333745685,0.028747244053417376,5.2634498063837465e-05,0.4216771689173663,0.010011592103211071,0.5132535325179454,0.01316183053308417,0.02074742061924365,0.013871306720358018,0.007224514090727495,0.0,5.0,1.0,-5.0,0.0,0.0,-1.0,0.0
DE TARAPACA,COLCHANE,LICEO TECNICO PROFESIONAL COLCHANE,5V,1,22,0,27,0,1,0,0,0,0,0,0,9,7,1,9,12,3,1,3,4,1,0,1,0,0,51,14,-1,-1,1,25,1,22,0,0,1,1,41,10,0.007450515377797353,0.509524323690231,0.024664550286943383,0.41838311686065854,4.524786140723225e-05,0.002219761535799488,0.008965240333745685,0.028747244053417376,5.2634498063837465e-05,0.4216771689173663,0.010011592103211071,0.5132535325179454,0.01316183053308417,0.02074742061924365,0.013871306720358018,0.007224514090727495,0.0,-3.0,-1.0,5.0,0.0,0.0,0.0,-1.0
DE TARAPACA,COLCHANE,LICEO TECNICO PROFESIONAL COLCHANE,6M,0,27,3,24,0,1,0,0,1,0,0,0,4,7,10,16,3,5,2,3,2,3,0,1,0,0,56,14,-1,-1,0,28,1,25,0,0,1,1,45,11,0.007450515377797353,0.509524323690231,0.024664550286943383,0.41838311686065854,4.524786140723225e-05,0.002219761535799488,0.008965240333745685,0.028747244053417376,5.2634498063837465e-05,0.4216771689173663,0.010011592103211071,0.5132535325179454,0.01316183053308417,0.02074742061924365,0.013871306720358018,0.007224514090727495,0.0,-1.0,2.0,-1.0,0.0,0.0,0.0,0.0
DE TARAPACA,COLCHANE,LICEO TECNICO PROFESIONAL COLCHANE,6V,0,18,1,20,0,1,0,2,2,2,1,0,3,4,5,10,4,5,4,4,2,0,1,1,0,0,44,14,-1,-1,0,21,1,20,0,0,1,1,32,12,0.007450515377797353,0.509524323690231,0.024664550286943383,0.41838311686065854,4.524786140723225e-05,0.002219761535799488,0.008965240333745685,0.028747244053417376,5.2634498063837465e-05,0.4216771689173663,0.010011592103211071,0.5132535325179454,0.01316183053308417,0.02074742061924365,0.013871306720358018,0.007224514090727495,0.0,-3.0,0.0,0.0,0.0,2.0,0.0,1.0
