REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,100,3,21,38,68,11,26,0,1,15,1,1,4,15,14,14,29,16,15,18,12,13,11,7,7,2,5,183,111,-1,-1,2,24,37,69,10,1,21,19,108,75,0.01740384168876938,0.18046705442133534,0.24311093076586,0.3164084833404401,0.031186052847499562,0.006907315391036321,0.09831412475209303,0.10620219679296637,0.0007719821127062143,0.05326659184063342,0.14214062375785907,0.45947562624010707,0.09272276927076177,0.008113381843115209,0.14437647367541775,0.0991325512593992,1.0,-3.0,1.0,-1.0,1.0,0.0,5.0,-4.0
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,101,1,22,35,68,9,27,5,0,15,5,2,1,20,11,25,12,17,17,9,12,19,13,8,10,4,2,182,111,-1,-1,2,23,37,69,10,1,21,19,105,77,0.01740384168876938,0.18046705442133534,0.24311093076586,0.3164084833404401,0.031186052847499562,0.006907315391036321,0.09831412475209303,0.10620219679296637,0.0007719821127062143,0.05326659184063342,0.14214062375785907,0.45947562624010707,0.09272276927076177,0.008113381843115209,0.14437647367541775,0.0991325512593992,-1.0,-1.0,-2.0,-1.0,-1.0,4.0,6.0,-4.0
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,102,1,26,47,72,7,21,1,1,17,2,2,4,16,17,18,16,19,19,16,13,10,17,12,10,1,3,193,111,-1,-1,2,24,39,73,11,1,23,20,111,82,0.01740384168876938,0.18046705442133534,0.24311093076586,0.3164084833404401,0.031186052847499562,0.006907315391036321,0.09831412475209303,0.10620219679296637,0.0007719821127062143,0.05326659184063342,0.14214062375785907,0.45947562624010707,0.09272276927076177,0.008113381843115209,0.14437647367541775,0.0991325512593992,-1.0,2.0,8.0,-1.0,-4.0,1.0,-2.0,-3.0
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,103,1,19,38,75,14,18,0,1,14,1,1,0,15,18,13,19,12,17,10,20,12,21,7,11,2,2,180,111,-1,-1,2,22,35,69,11,1,22,18,95,85,0.01740384168876938,0.18046705442133534,0.24311093076586,0.3164084833404401,0.031186052847499562,0.006907315391036321,0.09831412475209303,0.10620219679296637,0.0007719821127062143,0.05326659184063342,0.14214062375785907,0.45947562624010707,0.09272276927076177,0.008113381843115209,0.14437647367541775,0.0991325512593992,-1.0,-3.0,3.0,6.0,3.0,0.0,-4.0,-4.0
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,104,1,34,26,72,5,24,0,2,17,2,2,1,16,15,17,23,16,14,14,13,12,14,7,9,3,5,181,111,-1,-1,2,23,36,68,11,1,21,19,104,77,0.01740384168876938,0.18046705442133534,0.24311093076586,0.3164084833404401,0.031186052847499562,0.006907315391036321,0.09831412475209303,0.10620219679296637,0.0007719821127062143,0.05326659184063342,0.14214062375785907,0.45947562624010707,0.09272276927076177,0.008113381843115209,0.14437647367541775,0.0991325512593992,-1.0,11.0,-10.0,4.0,-6.0,1.0,3.0,-2.0
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,105,3,25,42,54,11,27,0,2,19,2,2,1,19,12,16,25,13,19,16,10,10,18,5,11,3,2,183,111,-1,-1,2,23,37,69,10,1,22,19,107,75,0.01740384168876938,0.18046705442133534,0.24311093076586,0.3164084833404401,0.031186052847499562,0.006907315391036321,0.09831412475209303,0.10620219679296637,0.0007719821127062143,0.05326659184063342,0.14214062375785907,0.45947562624010707,0.09272276927076177,0.008113381843115209,0.14437647367541775,0.0991325512593992,1.0,2.0,5.0,-15.0,1.0,1.0,5.0,0.0
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,106,4,27,39,67,4,27,1,0,15,1,1,1,14,13,13,21,17,17,16,23,18,9,6,7,3,4,184,111,-1,-1,2,22,36,71,11,1,22,19,97,86,0.01740384168876938,0.18046705442133534,0.24311093076586,0.3164084833404401,0.031186052847499562,0.006907315391036321,0.09831412475209303,0.10620219679296637,0.0007719821127062143,0.05326659184063342,0.14214062375785907,0.45947562624010707,0.09272276927076177,0.008113381843115209,0.14437647367541775,0.0991325512593992,2.0,5.0,3.0,-4.0,-7.0,0.0,5.0,-4.0
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,107,1,22,36,65,9,24,0,1,18,1,0,2,14,13,15,16,20,16,15,16,16,10,8,9,1,5,176,111,-1,-1,2,22,35,67,10,1,21,18,96,80,0.01740384168876938,0.18046705442133534,0.24311093076586,0.3164084833404401,0.031186052847499562,0.006907315391036321,0.09831412475209303,0.10620219679296637,0.0007719821127062143,0.05326659184063342,0.14214062375785907,0.45947562624010707,0.09272276927076177,0.008113381843115209,0.14437647367541775,0.0991325512593992,-1.0,0.0,1.0,-2.0,-1.0,0.0,3.0,0.0
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,108,1,18,35,70,11,17,0,0,15,0,3,1,21,11,19,18,5,16,11,14,18,12,8,4,2,4,167,111,-1,-1,2,21,33,63,10,1,20,17,94,73,0.01740384168876938,0.18046705442133534,0.24311093076586,0.3164084833404401,0.031186052847499562,0.006907315391036321,0.09831412475209303,0.10620219679296637,0.0007719821127062143,0.05326659184063342,0.14214062375785907,0.45947562624010707,0.09272276927076177,0.008113381843115209,0.14437647367541775,0.0991325512593992,-1.0,-3.0,2.0,7.0,1.0,-1.0,-3.0,-2.0
DE LA ARAUCANIA,TEMUCO SUR,COLEGIO EMPRENDER ENSENANZA MEDIA,109,2,33,34,64,8,18,2,2,15,4,1,0,12,23,13,20,18,13,9,22,8,18,14,5,1,1,178,111,-1,-1,2,22,36,68,10,1,21,18,100,78,0.01740384168876938,0.18046705442133534,0.24311093076586,0.3164084833404401,0.031186052847499562,0.006907315391036321,0.09831412475209303,0.10620219679296637,0.0007719821127062143,0.05326659184063342,0.14214062375785907,0.45947562624010707,0.09272276927076177,0.008113381843115209,0.14437647367541775,0.0991325512593992,0.0,11.0,-2.0,-4.0,-2.0,3.0,-3.0,-3.0
